,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A15380403,0,0,0,0,0,0,14765548,63715650,-283710,26427290
1,A15380101,0,0,0,0,0,0,2019210,6965550,191500,3716400
2,A10023956,0,0,0,584550,0,0,11429366,5634140,1223390,1903650
3,A15382301,0,0,0,0,0,0,2840840,11739070,0,11515540
4,A15383601,0,0,0,0,0,0,1469390,4962090,193200,0
5,A15381402,0,0,0,0,0,0,2098090,5081490,579840,5078830
6,A15301105,0,0,0,0,0,0,533720,20426080,0,9730780
7,A15383308,0,23262000,0,0,0,13436500,807060,13273690,0,7987920
8,A15375810,0,0,0,0,0,0,2280460,7162190,0,3986330
9,A15370301,0,0,0,0,0,0,3112430,10015020,0,4811980
10,A15375809,-320190,47315550,0,0,0,7296000,518240,17782850,2445690,0
11,A15381706,0,0,0,0,0,0,3854380,37167650,0,0
12,A15383604,0,0,0,0,0,0,2684090,8370710,828460,3950740
13,A15381303,0,0,0,0,0,0,2257158,8406320,132680,0
14,A15383307,6963080,34659130,0,0,0,36659000,12814748,36540660,161580,19020400
15,A10027188,0,0,0,0,0,0,37538790,82132370,1634250,33382240
16,A10026024,,,,,,,,,,
17,A10025946,0,0,0,0,0,0,22903590,50460070,315870,18935020
18,A10025116,0,0,0,0,0,0,8002330,17552300,136430,6808930
19,A10024302,-145260,145260,0,0,0,0,15386720,32439770,1077110,14481830
20,A15383702,0,0,0,0,0,0,3270540,32883480,0,15851380
21,A15386506,0,0,0,0,0,0,5345632,24672670,-225070,14673860
22,A15303002,0,0,0,0,0,0,17215140,68870840,-4134300,33796320
23,A15386404,0,0,0,0,0,0,521450,6749840,0,0
24,A15384501,0,0,120260,0,0,0,11233230,11053270,4910850,4910850
25,A15303401,0,0,0,0,0,0,2419140,6879440,0,3155490
26,A15303203,0,0,0,0,0,0,7227830,25527380,0,13279500
27,A15303103,0,0,0,0,0,0,2659590,7082450,0,0
28,A15303202,0,0,0,0,0,0,2438650,6582760,-1018750,4601590
29,A15378501,0,0,0,0,0,0,2714070,7580330,7196430,0
30,A15383905,4202369,34959780,0,0,-6612000,6612000,5421560,14754710,-1059700,10076300
31,A15370103,0,0,27670,0,0,0,33133740,78679460,-2022600,38921240
32,A15384101,0,0,0,0,0,0,233440,7733770,0,0
33,A15303205,248870,0,0,0,0,0,32547127,104283020,160,54536340
34,A15303502,0,0,0,0,0,0,-347292,11788930,0,7871760
35,A15384603,0,0,0,0,0,0,1952741,16870169,123980,8729290
36,A15303204,0,0,5580,0,0,0,2503976,16004490,1462190,8109610
37,A15303003,,,,,,,,,,
38,A15303102,0,0,0,0,0,0,1152500,9859110,0,0
39,A10026187,,,,,,,,,,
40,A10025447,,,,,,,,,,
41,A10026792,,,,,,,,,,
