,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A15288812,0,0,0,0,0,0,10161111,51122020,211320,19705410
1,A15288806,0,0,0,0,0,0,4109426,15258260,0,0
2,A15288802,0,0,0,0,0,0,2007660,9603470,24120,4545250
3,A15288805,0,0,0,0,0,0,2807810,16364720,0,7548710
4,A15288813,0,0,0,0,0,0,12162330,42608110,666070,24092130
5,A15288801,0,0,70220,0,0,0,958350,0,7860,0
6,A15288814,0,0,0,0,0,0,25463694,72368670,34260,45208440
7,A15288809,0,0,0,0,0,0,5765380,20335600,328630,12616770
8,A15288803,0,0,0,0,0,0,2019554,7783240,-120,4973660
9,A15288804,0,0,0,0,0,0,2537710,9517030,0,0
10,A15288807,0,0,105530,0,0,0,5959290,16387520,0,8790860
11,A15288810,0,0,0,0,0,0,8261833,31396440,1113950,17156100
12,A15288611,33427600,0,0,0,-16216000,16216000,5813570,21182160,-205150,13415800
13,A10028063,0,0,0,0,0,0,9024980,0,3548790,0
14,A15288004,0,0,0,0,0,0,3829920,16473040,0,8864230
15,A15286806,67370,7814820,0,0,0,9898000,4423970,16401500,3889280,8125790
16,A15284305,0,0,1200,0,0,0,2656266,8831300,190240,5309350
17,A15205305,0,0,0,0,0,0,4976470,14668360,289120,8143410
18,A15288002,0,0,60810,0,0,0,5059890,15923480,610230,9587240
19,A15283809,0,0,151840,0,0,0,2392136,9462500,54170,0
20,A15205108,0,0,0,0,0,0,8714130,25897600,15072970,15051060
21,A15286809,-94100,25890170,0,0,0,53390000,17199360,49988310,3377310,33347640
22,A15283902,0,0,0,0,0,0,3390510,11049080,181970,6776970
23,A15205103,0,0,0,0,0,0,2769841,8719270,-70,5957680
24,A15284906,0,0,0,0,0,0,9159451,41595390,-1415850,23658620
25,A15205002,0,0,0,0,0,0,1224000,3552570,-299580,3043160
26,A15283806,0,0,0,0,0,0,1529790,10831060,0,5186610
27,A15205104,0,0,0,0,0,0,5338040,16144620,0,8894070
