,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A15106001,0,0,,,0,0,2970850,6246740,157180,2948100
1,A15192201,0,0,,,0,0,6037912,18493360,1167780,8126870
2,A15181602,0,0,,,0,0,11307157,0,4580220,0
3,A15178203,0,0,,,0,0,4550426,7299250,781980,4312920
4,A15105302,0,0,0,0,0,0,13919203,87929650,3259380,33982260
5,A15106103,0,0,0,0,0,0,1482610,12185700,211010,5433270
6,A15178201,0,0,,,0,0,19793419,83393800,0,46778280
7,A15178202,0,0,,,0,0,4788332,14494660,268090,5398710
8,A15180705,3273080,0,,,0,0,28619818,141620010,-374720,74100010
9,A15176202,0,0,0,0,0,0,15044016,50839980,178880,24701070
10,A15106101,0,0,,,0,0,2521460,9667940,0,3657500
11,A15105301,0,0,,,0,0,2582260,4269710,-208590,3025690
12,A15184101,0,0,403350,0,0,0,2009245,19534670,0,0
13,A15180701,0,0,155570,0,0,0,3026560,9627480,14180,4161940
14,A15105303,0,0,0,0,0,0,21689446,70050230,643210,38336250
15,A15105002,,,,,,,,,,
16,A15105005,0,0,,,0,0,4920118,8801900,0,0
17,A15105602,0,0,,,0,0,4009980,10808520,-353130,5477570
18,A15105004,0,0,0,0,0,0,5021480,27533120,914510,13634420
19,A15192202,0,0,0,0,0,0,5669920,13469440,0,7914900
20,A15106901,0,0,,,0,0,41720918,81663790,1396710,36766820
21,A15105503,0,0,654550,0,0,0,8290467,29686910,0,16384620
22,A15105006,0,0,,,0,0,4395102,17216580,108540,6580190
23,A15176602,0,0,0,0,0,0,8775120,0,6233810,0
24,A15105008,0,0,,,0,0,5526069,18966310,0,6955990
25,A15105603,0,129295630,,,48284500,48284500,8592490,273096910,1919760,20429870
26,A15178204,0,0,1086170,0,0,0,2559200,12594660,252240,5749570
27,A10025423,,,,,,,,,,
28,A10026710,0,0,0,0,0,0,2890790,2890790,2223650,2223650
29,A10025428,0,0,,,0,0,1525290,4818970,0,1763780
30,A10025092,0,0,,,0,0,29305089,58525680,176820,18954350
31,A10025422,,,,,,,,,,
32,A10024638,,,,,,,,,,
33,A10024894,0,0,0,0,0,0,-27222980,27058980,-8201190,8201190
34,A15177101,0,0,0,0,0,0,915280,7458920,0,0
35,A15101503,0,0,0,0,0,0,4894470,19022360,25250,7724380
36,A15176701,0,0,,,0,0,3151213,25894870,602880,0
37,A15186002,0,0,179400,0,0,0,6035455,10337700,580,5845490
38,A15101501,0,0,,,0,0,2599360,6314240,365000,5105940
39,A15188801,,,,,,,,,,
40,A15101101,0,0,0,0,0,0,5076110,15908200,1081650,8118930
41,A15185201,0,0,,,0,0,2047435,7409700,0,0
42,A15179403,0,0,0,0,0,0,4026570,24704310,0,9592280
43,A15187101,0,0,4220,0,0,0,2377730,7737200,0,3735430
44,A15101506,0,0,,,0,0,23564948,71360640,6166020,23277730
45,A15101505,0,0,,,0,0,945570,8238120,0,3617640
46,A15190301,0,0,,,0,0,10680370,0,0,0
47,A15179701,0,0,0,0,0,0,5533940,18102100,0,8811040
48,A15101802,0,0,,,0,0,15893285,14007700,0,0
49,A15101508,4070,207340030,,,0,43464000,22760036,45315650,7204280,23180650
50,A15188101,0,0,0,0,0,0,2703560,9582560,60660,5681120
51,A15185704,0,0,0,0,0,0,18070135,0,0,0
52,A15101504,0,0,,,0,0,60543810,112266410,4178010,58158160
53,A15102203,0,0,,,0,0,3211143,14648650,16830,7133510
54,A15101507,63185540,0,0,0,0,8769000,8524140,0,0,0
55,A15101702,0,0,,,0,0,4637816,11491290,474100,5616850
56,A15102202,0,0,,,0,0,1893280,11208100,0,4488580
57,A15190705,0,0,212850,0,0,0,20756663,77174980,2910220,26524870
58,A15101901,0,0,,,0,0,8697690,0,0,0
59,A15102902,0,0,0,0,0,0,2376130,9161530,115830,0
60,A15101509,0,0,,,0,0,3741520,0,1501250,0
61,A15101903,657030,0,0,0,0,0,3937680,28456850,481230,13139340
62,A15178401,,,,,,,,,,
63,A10026910,,,,,,,,,,
64,A10024621,,,,,,,,,,
65,A10023661,,,,,,,,,,
66,A10024749,,,,,,,,,,
67,A10024634,,,,,,,,,,
68,A15108003,224860,0,0,0,0,0,2221260,7239810,-6054580,6054580
69,A15108001,0,0,,,0,0,3050030,8628950,-5816750,5816750
70,A10025511,,,,,,,,,,
