,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A14322001,0,0,0,0,0,0,345480,9621190,0,6287550
1,A14322002,,,,,,,,,,
2,A14320001,0,0,2880,0,0,0,1184371,11862570,610650,4840960
3,A14383205,0,0,0,0,0,0,4919173,88127500,4519910,32777270
4,A14320302,0,0,0,0,0,0,1204060,20456010,0,0
5,A14383203,0,0,0,0,0,0,-518210,24196360,570675,0
6,A14320304,-107830,11089650,0,0,0,17804500,11526460,108770380,2594550,28704630
7,A14320004,,,,,,,,,,
8,A14382101,0,0,0,0,0,0,7616805,24009860,0,5876080
9,A10026874,0,0,0,0,0,0,5528780,15904740,376730,3654340
10,A10024667,,,,,,,,,,
11,A10025985,0,0,14770,0,0,0,22996499,60607360,999750,14970030
12,A10023951,0,0,0,0,0,0,83051452,0,19584340,0
13,A14381512,0,0,0,0,0,0,5887055,20703800,0,11062070
14,A14380605,0,0,0,0,0,0,5347950,24030100,322220,5848680
15,A14380414,12433520,0,0,0,-11577500,11577500,35284320,39925550,5788480,0
16,A14381508,0,0,0,0,0,0,4171640,22931980,11910,9626020
17,A14375301,0,0,0,0,0,0,11011388,65789320,1526680,10484070
18,A14381415,0,0,0,0,0,0,8840566,56266840,0,22748260
19,A14380211,1510924,0,0,0,0,11252736,40923144,62694980,345480,15405660
20,A14381516,0,0,12360,0,0,0,916624,81442270,0,25706400
21,A14375302,0,0,0,0,0,0,18858580,0,2909340,0
22,A14381513,0,0,4370,0,0,0,7431340,28557990,0,0
23,A14380409,5482016,1436380,0,0,0,2820920,3662351,40311250,1364380,1358700
24,A14381510,0,0,0,0,0,0,40224310,0,11677370,0
25,A14381506,0,0,0,0,0,0,2555782,16540490,1293620,7381610
26,A14381504,0,0,0,0,0,0,3294420,17216760,0,5121970
27,A14381407,0,0,0,0,0,0,4168860,23064730,14250,7373990
28,A14375303,,,,,,,,,,
29,A10026162,0,0,0,0,0,0,1297060,15667740,0,3715590
30,A10023281,,,,,,,,,,
31,A14319307,0,0,0,0,0,0,-18280,17156530,613150,5778580
32,A14386802,0,0,0,0,0,0,547378,9285250,0,4811930
33,A14319201,0,0,0,0,0,0,976980,13051300,306260,0
34,A14319204,0,0,0,0,0,0,-123130,26880310,202610,0
35,A14319002,0,0,0,0,0,0,1434350,5452460,0,3829030
36,A14386110,0,0,0,0,0,0,13846240,13893800,632210,7896550
37,A14377402,0,0,0,0,0,0,4999548,38410932,30,5576430
38,A14319203,0,0,0,0,0,0,4674360,17832110,50,5503470
39,A14319005,0,0,0,0,0,0,2249119,10326340,214200,0
40,A14319010,0,0,0,0,0,0,3968515,13070580,0,0
41,A14319303,0,0,3670,0,0,0,19291320,580000,0,0
42,A14376501,0,0,0,0,0,0,184610,13762330,-215810,3883510
43,A14319007,4760,0,0,0,0,0,2853634,10908180,0,11034500
44,A14319003,0,0,31080,0,0,0,1567610,7367150,169200,0
45,A14319011,0,0,0,0,0,0,28819938,27559320,0,0
46,A14319301,0,0,0,0,0,0,2512670,10046980,0,0
47,A14388208,0,0,0,0,0,0,525670,21638530,-440,8015040
48,A14319008,0,0,0,0,0,0,4303290,12380070,0,6388950
49,A14387605,0,0,1200,0,0,0,7337428,24635930,809670,10038390
50,A14388204,0,0,0,0,0,0,239620,14866620,0,5414360
51,A14319302,0,0,0,0,0,0,2204130,7926850,15960,4793700
52,A14319001,0,0,0,0,0,0,2101650,6088920,0,0
53,A14319006,0,0,0,0,0,0,2545360,8527510,0,4930230
54,A14319306,0,0,0,0,0,0,7902150,33102810,214220,5110820
55,A14375801,,,,,,,,,,
56,A14319009,0,0,0,0,0,0,3014280,15578810,573160,0
57,A14319311,0,0,0,0,0,0,352600,39290690,0,13382930
58,A14386109,0,0,0,0,0,0,2074133,15583650,743620,6198010
59,A10026720,0,0,0,0,0,0,2101680,27872740,363080,4762860
60,A10023336,,,,,,,,,,
61,A10024154,,,,,,,,,,
62,A14319013,,,,,,,,,,
63,A10024132,0,0,0,0,0,0,5712990,16556750,0,3239940
64,A10023282,,,,,,,,,,
65,A14313001,0,0,0,0,0,0,2857933,13699207,0,0
66,A14383901,0,0,0,0,0,0,2487500,0,519760,7263040
