,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A11007001,0,0,0,0,0,0,18136629,0,3398230,0
1,A11052201,0,0,242160,0,0,0,2424266,19852120,227600,7710710
2,A11076701,,,,,,,,,,
3,A10023741,,,,,,,,,,
4,A11054301,0,0,0,0,0,0,4171190,18154190,389020,0
5,A11054101,0,0,0,0,0,0,5921680,18123470,-500,9572930
6,A11077101,0,0,0,0,0,0,6307940,29658050,25240,0
7,A11055002,0,0,0,364230,0,0,5275328,14586160,1120460,5306290
8,A11087601,0,0,0,0,0,0,6075124,15014460,0,4107970
9,A11087602,0,0,0,0,0,0,5460161,0,90,0
10,A10026946,0,0,0,0,0,0,3715120,9533800,1026790,5361950
11,A11001203,0,0,0,0,0,0,3079590,6576370,0,0
12,A11084601,0,0,0,0,0,0,2917705,9195870,0,2851510
13,A11081503,0,0,855140,0,0,0,9789889,37679380,1220,35592230
14,A11008001,0,0,0,0,0,0,3654168,11059120,-119980,10199610
15,A11081302,0,0,0,0,0,0,15219814,37615090,164810,19788070
16,A10027708,0,0,0,0,0,0,6866610,8100130,88120,6606600
17,A10025710,0,0,0,0,0,0,6213670,9894680,540630,2565900
