,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A10071301,271360,0,0,0,0,0,9434225,19688020,225160,4115040
1,A10023352,,,,,,,,,,
2,A10026849,,,,,,,,,,
3,A10023356,,,,,,,,,,
4,A10023343,,,,,,,,,,
5,A10045403,0,0,0,0,0,0,8461576,31245580,2032030,19129890
6,A10045401,0,0,118350,0,0,0,7079620,0,4628200,0
7,A10045601,0,0,0,0,0,0,3669180,31017640,494025,0
8,A10045302,0,0,140910,0,0,0,26703266,97511360,0,55274170
9,A10045404,0,0,0,0,0,0,8285922,44494320,3703920,28517340
10,A10045001,0,0,0,0,0,0,7609220,16331010,975340,8756770
11,A10045402,0,0,69680,0,0,0,-219430,9682000,0,0
12,A10078901,0,0,0,0,0,0,8391495,31954350,-1433900,15394890
13,A10078902,0,0,0,0,0,0,0,3655940,0,2529520
14,A10045301,0,0,0,0,0,0,3150640,28897080,264630,21498110
15,A10078103,3480,0,0,0,0,0,0,3866520,0,2396710
16,A10078102,,,,,,,,,,
17,A10045002,0,0,0,0,0,0,14263655,34513262,8309750,16022710
18,A13302201,0,0,0,0,0,0,1672320,9271280,66600,4348490
19,A10025456,0,0,0,0,0,0,3006714,11374880,108960,5843680
20,A10025372,0,0,0,0,0,0,2307577,5947680,485590,2216060
21,A10044002,0,0,0,0,0,0,3604720,68827600,1822700,24547010
22,A10044001,0,0,0,0,0,0,3542030,5413100,66800,3656840
23,A10027364,0,0,0,0,0,0,4555211,11975590,78428,4232250
24,A10024756,,,,,,,,,,
25,A10085902,0,0,0,0,0,0,827230,0,612190,0
26,A10085903,0,0,21930,0,0,0,6812320,20134210,838460,13464440
27,A10080701,0,0,0,0,0,0,2189227,6520650,23570,3805080
28,A10026881,0,0,59580,0,0,0,15437950,40309970,3777680,19646380
29,A10026517,0,0,0,0,0,0,1618003,9526460,599970,3024160
