,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13120701,,,0,0,0,0,,,,
1,A13184401,,,,,,,,,0,0
2,A13183202,0,0,0,0,0,0,,,0,0
3,A13184301,,,0,0,0,0,,,-271320,9239500
4,A13183504,,,,,0,0,,,,
5,A13183701,0,0,0,0,,,,,,
6,A13181203,,,,,0,0,,,,
7,A13120403,,,0,0,,,,,0,7718650
8,A13184107,,,,,0,0,,,-738190,10747130
9,A13183405,0,0,,,,,2747922,14172770,0,0
10,A13120704,,,0,0,0,0,4366898,7288910,0,0
11,A13184502,,,,,,,,,0,0
12,A13183303,0,0,,,0,0,,,,
13,A13120001,1650000,0,0,0,,,,,,
14,A13188406,,,133940,0,,,,,,
15,A13177701,0,0,,,0,0,17318500,0,,
16,A13183204,0,0,0,0,0,0,,,,
17,A13184208,,,,,0,0,,,956250,0
18,A13183502,,,,,0,0,,,84320,0
19,A13181201,0,0,,,0,0,437650,7397260,1350,2919110
20,A13175103,0,0,,,0,0,,,0,0
21,A13175102,,,,,,,,,,
22,A10028033,,,,,,,,,0,0
23,A10025159,0,0,,,0,0,,,,
24,A13120003,,,,,,,,,,
25,A10024703,,,0,0,0,0,10641970,19005570,332980,7743710
26,A10023384,,,,,,,,,,
27,A10024443,0,0,,,0,0,3963640,11503700,0,4096290
28,A10024741,,,102620,0,,,,,,
29,A10024366,,,,,,,,,,
30,A10023606,,,,,,,,,,
31,A13185602,,,0,0,,,,,,
32,A13185603,,,,,0,0,2600310,17197720,,
33,A13170401,,,0,0,,,,,0,9437370
34,A13186306,,,0,0,18230950,0,,,,
35,A13186401,0,0,,,,,4651309,12947940,,
36,A13122104,,,,,,,31397864,0,,
37,A13186305,,,0,0,0,21779360,7295219,30457060,1332960,16635330
38,A13185607,0,0,0,0,0,0,,,,
39,A13122001,0,0,,,,,4350670,24317570,0,10245450
40,A13187501,0,0,0,0,,,1462130,6465200,,
41,A13187702,,,,,,,15900670,52140870,-77210,28394120
42,A10026046,,,,,,,,,,
43,A13176801,0,0,,,,,,,,
44,A13114103,,,,,0,0,2559770,10057860,,
45,A13184804,0,0,0,0,0,0,1908040,10145520,0,3131850
46,A13184609,,,,,0,21189460,1546930,26530760,-130,15390550
47,A13184610,,,0,0,,,24408110,55891570,,
48,A13114106,,,175750,0,,,,,,
49,A13185508,,,0,0,,,,,,
50,A13185501,,,,,0,0,996910,7498210,,
51,A13185507,0,0,0,0,,,,,0,10200610
52,A13185502,0,0,,,0,0,2018290,6316570,,
53,A13114002,0,0,,,0,1144310,950802,30285770,,
54,A13185402,,,182200,0,,,1276146,10532880,7602440,0
55,A13114201,0,0,,,,,,,3305670,3788230
56,A10025855,0,0,0,0,0,0,15600030,30682600,0,0
57,A10025187,,,,,,,,,,
58,A10026469,0,0,,,0,0,,,273630,5594470
59,A13123102,0,0,0,0,,,,,0,12773870
60,A13176102,0,0,53240,0,0,0,1096710,6092080,0,6063180
61,A13123002,,,,,0,0,,,,
62,A13123001,,,,,0,0,,,,
63,A13123101,,,,,0,0,,,,
64,A13176101,,,,,,,,,,
65,A10027498,,,,,,,,,,
66,A10023816,,,,,,,,,,
67,A10024008,,,-315110,315110,,,,,-1310510,3644620
68,A10024018,1616200,14846190,0,0,0,7834900,4099244,8778140,,
69,A10024214,,,0,0,,,8266200,23028960,160300,8483850
70,A10023952,,,,,,,,,,
71,A13186801,,,0,0,,,,,0,2598370
72,A13186503,,,0,0,,,,,,
73,A13176902,1567400,14106460,,,,,,,148900,0
74,A13113002,,,0,0,0,0,,,,
75,A13113006,-409000,407690,0,0,,,,,0,3722520
76,A13186905,,,313960,0,0,341210,2343520,0,0,0
77,A13113001,0,0,0,0,,,,,-80,3694460
78,A13186502,,,,,,,,,21110,4173760
79,A13178101,,,0,0,0,41129960,,,3094130,18205110
80,A13176901,,,,,0,17753800,5822947,46499680,,
81,A13113003,,,0,0,-14925000,14925000,4575690,17555820,1587900,8918000
82,A13187306,-220,53821870,0,0,-1710,20288590,,,32640,0
83,A13186504,,,,,,,,,,
84,A13187406,,,288790,0,0,0,7924371,20076770,,
85,A13113004,8169330,83580910,0,0,0,10349600,,,-625770,17796270
86,A13187302,,,,,0,15447300,,,943340,10406420
87,A13187305,,,,,0,14148400,,,-156990,15471370
88,A13186907,,,,,0,0,,,,
89,A13187004,0,0,,,,,41503353,0,0,0
90,A13186708,6070744,96356800,,,,,10268902,34384070,,
91,A13187201,,,,,,,8842517,24939980,,
92,A13187203,14711360,94638600,0,0,0,22175460,16872320,43026730,,
93,A13113008,0,0,0,0,0,0,18346274,52899120,,
94,A13113007,0,0,0,0,,,,,1272490,28512960
95,A10025397,0,0,0,0,0,0,3925050,3613950,,
96,A10027297,,,,,,,,,,
97,A10027775,0,0,0,0,0,0,,,805310,0
98,A10025137,,,,,6819280,0,,,,
