,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A12101001,,,0,0,0,0,,,,
1,A12175203,0,0,0,0,0,0,66325300,143859550,653760,72058710
2,A10027951,0,0,,,0,0,,,0,1839540
3,A10027906,,,,,,,,,22500,18514110
4,A10027090,,,,,,,-190099,26561610,,
5,A10023508,,,,,,,,,,
6,A12170601,0,0,,,,,6508433,19554976,0,10025550
7,A12102008,,,109790,0,0,0,6331726,23896670,,
8,A12102005,,,,,,,3309330,12805530,0,7944560
9,A12180404,162810,0,,,0,0,4089400,0,,
10,A12180407,,,0,0,,,0,26762910,,
11,A12170603,274880,0,0,0,0,0,7514696,34743470,,
12,A12170602,,,0,0,,,219910,4193920,-387490,2587140
13,A12102002,270250,0,,,0,0,,,,
14,A12180401,0,0,,,,,,,,
15,A12180506,0,0,,,,,,,0,11428270
16,A10024408,0,0,,,,,,,41960,5304220
17,A10024626,0,0,,,0,0,3133040,4413200,,
18,A12185304,,,0,0,0,0,,,450800,8204010
19,A12179001,0,0,,,,,4966910,9147990,,
20,A12179005,0,0,,,,,1163640,9242200,435270,3104840
21,A12179004,0,0,3760360,0,,,48650803,0,,
22,A12185303,786530,52039770,1036080,0,,,,,0,9528020
23,A12179002,,,,,0,0,,,,
24,A12179003,,,,,,,,,,
25,A12103002,0,0,,,0,0,,,0,6052850
26,A10027504,,,,,,,,,,
27,A12179006,,,,,,,,,,
28,A12181406,0,86398720,,,0,23404000,,,2299820,17564000
29,A12170401,,,,,0,0,,,,
30,A12104007,,,0,0,,,8897594,41876610,,
31,A12181403,0,0,,,,,1264130,10578450,,
32,A12104005,-599720,83721190,,,,,6896520,29669870,0,0
33,A12104001,0,0,0,0,,,1715520,5637520,0,0
34,A12181404,-1580,83399240,,,,,8355076,32544430,0,18116350
35,A12187602,,,,,,,,,22640,8265460
36,A10028006,19561500,13464380,,,-13990070,13955490,,,235450,9447820
37,A12187501,,,,,,,,,,
38,A12106001,3639930,21194460,,,,,,,939020,6438580
39,A12105001,0,0,0,0,,,4901898,10245660,398690,6123320
40,A10025672,,,,,,,,,,
41,A12181103,,,0,0,0,39153920,,,-10,30187160
42,A12172401,0,0,0,0,,,10115840,26314840,,
43,A12181101,0,0,0,0,,,2545960,5583040,7565440,0
44,A12181102,72000,13322330,0,0,,,,,642680,6035090
45,A10025003,,,,,0,0,12865973,57967710,567900,19091760
46,A12109002,,,0,0,0,0,,,506590,9405650
47,A12109001,,,,,80,13528710,,,,
48,A12187403,0,0,254190,0,0,0,,,322165,0
49,A10026036,,,,,,,11078080,35146250,-431690,15395110
50,A10024347,,,0,0,,,23787810,75912970,,
51,A12171201,0,0,0,0,,,3864150,12433960,5410,6267410
52,A12185602,,,0,0,,,766230,7644850,79420,3760190
53,A12185605,,,0,0,,,,,,
54,A12185606,,,0,0,,,,,,
55,A12111001,,,,,0,0,2010379,6365190,,
56,A12185504,,,,,0,0,,,,
57,A12185603,,,,,,,,,,
58,A10024974,,,0,0,,,14081331,42349810,3128870,15438660
59,A12112001,,,,,,,1512580,5760550,,
60,A12112002,0,0,,,0,0,,,0,0
61,A10027714,,,0,0,,,,,,
62,A12119007,0,0,197820,0,0,0,5761530,20534640,,
63,A12188201,,,69380,0,,,3752800,6605950,60,8304030
64,A12188205,,,,,0,0,3952958,21868720,0,11324500
65,A12188202,0,0,0,0,0,0,2042500,8792130,,
66,A12119006,0,0,0,0,0,0,,,1089860,11121860
67,A12119004,,,,,0,0,6518270,15147040,,
68,A10025633,0,0,,,0,0,,,663980,4122650
69,A12177802,0,0,,,,,244970,4603520,0,0
70,A10024425,,,,,,,,,700000,4071390
71,A12182901,,,,,,,3359440,9232690,0,4831380
72,A12170702,2857980,19302500,,,0,15408630,6661101,26230480,,
73,A10028177,2387470,11170200,,,,,9598380,14090630,1027730,7764690
74,A12115001,5253190,21021010,0,0,,,,,0,10832800
75,A12114001,,,,,,,,,,
76,A12174601,0,0,1396080,0,0,0,19632260,70057350,,
77,A10024784,,,,,,,,,,
78,A10024891,0,0,0,0,0,0,,,96350,7571550
79,A12123001,0,0,0,0,,,62040,7434950,,
80,A12182101,,,,,0,0,376740,7085790,-180,6422330
81,A12182401,0,0,0,0,0,0,,,0,0
82,A10026053,,,0,0,0,0,7672190,17795030,,
83,A10024150,,,,,,,,,,
84,A10023665,,,,,,,,,,
85,A12186901,,,276150,0,,,7774972,17156430,,
86,A10024587,,,,,,,,,,
87,A12185001,,,0,0,0,0,,,,
88,A12125001,798750,8583290,0,0,0,4326000,3372930,6814160,,
89,A12185003,7197660,36861760,,,,,3727450,15348150,-304700,0
90,A12185004,187720260,0,0,0,,,,,25000000,0
91,A12171101,0,0,,,0,0,2070820,14026930,,
92,A12125202,3765890,39260760,,,0,28591200,,,,
93,A10027157,,,181760,0,,,,,,
94,A12187901,0,0,0,0,,,3525180,6739240,,
95,A12187906,0,0,,,0,0,,,,
96,A12187904,-13943160,42459550,0,0,,,,,889600,0
97,A12187703,0,0,0,0,,,,,71070,5542400
98,A12187905,0,0,,,,,,,949600,9602420
99,A12187902,0,0,,,0,0,,,156800,7957000
100,A12127007,,,0,0,4333850,12370200,1357430,14587990,,
101,A12127004,20896190,25810400,0,0,-18888300,18855750,7461959,16688438,,
102,A12127005,,,0,0,0,10181050,,,421400,14785700
103,A12127003,,,,,0,15776000,6804170,17541090,262610,11059190
104,A12127001,2252610,27011350,,,0,8665920,,,58760,8828510
105,A12127006,12052090,32367920,,,,,,,,
106,A12179508,4905710,34941780,0,0,,,8790040,29683300,4913670,14939340
107,A12179504,26091770,37809680,,,-22594290,22535710,9665460,32611370,,
108,A12179503,,,,,,,6863410,19525790,-711290,11351010
109,A12127002,2766210,30067150,0,0,0,11728900,,,0,10593450
110,A12179502,1257360,14118910,,,,,,,,
111,A12127008,,,,,-16932300,16878400,,,520710,12155460
112,A12179501,,,,,,,,,,
113,A12179505,,,,,,,,,,
