,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A12101001,0,0,0,0,0,0,2660100,7328700,201660,3174290
1,A12175203,0,0,0,0,0,0,60699594,170215980,1246620,71177740
2,A10027951,0,0,0,0,0,0,2319710,4613810,0,2185260
3,A10027906,-1777930,148614820,0,0,0,25641000,36718713,50634920,530170,17079750
4,A10027090,0,0,0,0,0,0,16220423,30945250,-304020,8193640
5,A10023508,0,0,0,1660,0,0,0,7749300,0,2753070
6,A12170601,0,0,0,0,0,0,9979059,22678360,191760,11250280
7,A12102008,0,0,102590,0,0,0,8079963,27197130,350,12842410
8,A12102005,0,0,0,0,0,0,6939990,15098130,0,7370940
9,A12180404,59890,0,0,0,0,0,5277610,0,1979900,0
10,A12180407,388220,0,0,0,0,0,0,30459090,0,10337390
11,A12170603,517050,0,0,0,0,0,12829287,42828480,420330,12966230
12,A12170602,0,0,0,0,0,0,1211190,4007580,-91450,2426660
13,A12102002,203540,0,0,0,0,0,3483320,9593180,0,3506370
14,A12180401,0,0,0,0,0,0,1545360,6282100,226500,3045950
15,A12180506,0,0,225680,0,0,0,7749994,25845600,-149410,10862780
16,A10024408,0,0,0,0,0,0,7045919,18834950,84400,5329180
17,A10024626,0,0,-157320,157320,0,0,4474740,5564370,40740,2131540
18,A12185304,0,0,0,0,0,0,4021030,22492200,450800,8429400
19,A12179001,0,0,0,0,0,0,5439080,11322320,0,9498310
20,A12179005,0,0,0,0,0,0,1256610,12519820,300000,3545210
21,A12179004,0,0,16892800,0,0,0,32508957,31044220,4163086,7731350
22,A12185303,6899370,131244710,598340,0,0,25054800,16095130,30430350,0,10111380
23,A12179002,0,0,335660,0,0,0,2982390,6097230,628250,3555590
24,A12179003,,,,,,,,,,
25,A12103002,0,0,0,0,0,0,5730210,13096390,0,6098480
26,A10027504,,,,,,,,,,
27,A12179006,,,,,,,,,,
28,A12181406,-332390,195765980,0,0,0,24720000,14105098,38195540,1220790,22018470
29,A12170401,0,0,0,0,0,0,1352560,5862880,0,2721790
30,A12104007,0,243547680,0,0,0,28669500,15035701,43864050,4797810,23329790
31,A12181403,0,0,0,0,0,0,2130780,11035360,0,5722370
