,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13991017,0,0,0,0,0,0,945582,10663260,495520,3732780
1,A13905208,20651260,0,0,0,-5775000,5775000,2622450,0,2827100,6217550
2,A13905202,82370,0,0,0,0,0,1278330,10145410,0,4634540
3,A13985107,1429910,17255800,0,0,0,10930500,2544100,0,-41250,8127330
4,A13984604,0,0,0,0,0,0,27399870,22261000,500000,0
5,A13984411,5479270,25909500,0,0,4566000,4555500,3521070,0,1391720,8987250
6,A13905102,0,0,0,0,0,0,2808650,6862100,0,0
7,A13984603,0,0,0,0,0,0,2385548,7992280,2476770,10007780
8,A13905204,11199110,0,0,0,8542500,0,1766410,0,5695310,0
9,A13985201,0,0,0,0,0,0,9436180,8082240,263675,0
10,A13985106,13223950,23995660,0,0,-9530400,9530400,3710010,0,1557320,7906360
11,A13984813,61851215,0,0,0,0,32685000,10259140,0,0,0
12,A13987501,0,0,0,0,0,0,2074779,5082910,0,3006260
13,A13905105,0,0,0,0,0,0,14383966,35757130,1413150,24253880
14,A13987503,0,0,0,0,0,0,223839,7109670,0,3430160
15,A13984814,0,0,0,0,0,0,12048990,0,0,0
16,A13984004,0,0,0,0,0,0,3034730,138090670,2210440,57237090
17,A13991016,0,0,99680,0,0,0,508912,8467030,0,4588990
18,A13985103,5523980,21538620,0,0,0,11774700,5126650,17207320,717980,7143870
19,A13985105,1030640,14471490,0,0,0,9366400,2148350,0,85120,7033530
20,A13984409,7210090,17676560,0,0,-8172360,8172360,2118550,0,2353765,0
21,A13984003,-845570,44086700,0,0,0,23455080,3714100,20938960,-470410,0
22,A13995602,3859380,25407190,0,0,0,10326000,0,0,1225230,0
23,A13905003,0,0,0,0,0,0,5077350,16290140,-6020,8945270
24,A13905301,0,0,0,0,0,0,1943680,8042990,570,5404310
25,A13987502,0,0,0,0,0,0,2085790,8323070,20140,5294680
26,A13991018,0,0,0,0,0,0,7846020,35802970,4490,16845610
27,A13905302,5057200,17320500,0,0,0,12690000,3817790,0,3194535,0
28,A13991015,0,0,0,0,0,0,1141057,5704320,804930,2265270
29,A13905101,0,0,0,0,0,0,603089,6572200,0,3649620
30,A13984005,15776560,98471330,0,0,0,58698500,15237380,86570370,13473490,47107440
31,A10027121,0,0,0,0,0,0,4517741,10578770,138020,4691920
32,A10027716,0,0,0,0,0,0,5993700,19432590,1021820,7883520
33,A10025097,0,0,331390,0,0,0,43701590,0,17224650,0
34,A10024636,,,,,,,,,,
35,A10024812,,,,,,,,,,
36,A13980513,0,0,0,0,0,0,460708,55843170,861260,30195030
37,A13924003,0,0,0,0,0,0,4732280,19402440,0,11655610
38,A13994501,0,0,0,0,0,0,2852926,6139896,225000,0
39,A13980801,189110,0,0,0,0,0,889037,5512920,-14180,2655580
40,A13980010,1698130,23107210,-796430,783290,0,11116800,8223680,14960270,56360,9339510
41,A13980415,0,0,0,0,0,0,23172071,0,9013790,0
42,A13980018,1677410,30061470,0,0,0,11533460,8388800,14781930,87880,11261420
43,A13980107,0,0,0,0,0,0,4402570,15962600,-747020,7424740
44,A13980509,1777310,11861100,0,0,0,12854880,3203930,0,1523950,3142590
45,A13980009,0,0,131780,0,0,0,604784,13236420,41900,0
46,A13980014,21951370,39666610,0,0,-26613600,26613600,6691270,28930210,5635620,8426160
47,A13980012,1989080,25727650,0,0,0,9530400,4403830,13544530,150380,10678330
48,A13924004,0,0,0,0,0,0,5765235,24742680,1886800,14716550
49,A13980510,1157860,17670910,0,0,8088000,8058000,2849670,0,277000,6421410
50,A13924205,0,0,273180,0,0,0,3349560,8667280,0,5666500
51,A13980102,0,0,0,0,0,0,771022,4705180,155590,2859370
52,A13980604,0,0,0,0,0,0,1143117,6349730,0,3601210
53,A13980413,0,0,0,0,0,0,605970,8863420,0,4247280
54,A13980511,3626710,18313780,0,0,0,11033400,5393560,0,102420,10448650
55,A13980105,0,0,0,0,0,0,855980,8256130,27870,3718880
56,A13980402,210180,0,0,0,0,0,2087360,8796460,0,3091830
57,A13980108,0,0,78160,0,0,0,3165220,11120020,261360,6505390
58,A13980407,1115260,23112140,0,0,0,6771200,1674180,11798300,229830,2293200
59,A13980803,0,0,0,0,0,0,1234925,5360430,0,3127850
60,A13980004,8637940,15010260,0,0,-6764400,6764400,3137020,11796160,0,6030080
61,A13980706,0,0,0,0,0,0,819791,6995950,211350,4027370
62,A13980403,0,0,0,0,0,0,2212940,7324520,70,3787560
63,A13980401,0,0,0,0,0,0,601117,9820870,599610,3777180
64,A13980017,-13869260,16373630,0,0,-5956520,6390720,-1425640,7853680,7008710,3159950
65,A13980512,2637110,23688140,0,0,0,13527500,0,0,2602245,0
66,A13980411,0,0,0,0,0,0,2349940,17441320,0,8580590
67,A13980019,4054650,58752730,0,0,0,30467500,11453450,39854840,-660,22957490
68,A10026289,,,,,,,,,,
69,A13980006,1857080,12668110,0,0,0,8981700,5646944,10498610,-90,6316280
70,A10023991,0,0,0,0,0,0,17044830,59836790,1136170,20685000
71,A10023990,0,0,0,0,0,0,2580000,2729470,20800,1957280
72,A13987305,7296490,39569250,0,0,12887250,27824320,19364040,49562150,5272510,19357480
73,A13987303,145364040,0,0,0,-230,31362270,5480925,38477690,-149090,23783190
74,A13993502,-20,25423720,0,0,0,10968000,8401560,27459610,-34800,11905530
75,A13923104,23372620,25234940,0,0,-16259200,16246400,5387114,20402070,0,12666390
76,A13923106,8309775,36705685,0,0,0,20961500,3478401,27688500,837305,10510320
77,A13923102,0,0,0,0,0,0,3356820,9612080,-650,10670460
78,A13987304,92935400,0,0,0,0,28399520,8083841,30070600,7483480,0
79,A13977913,0,36120540,0,0,0,30132000,0,0,0,149100
80,A13987205,0,0,807280,0,0,0,0,31758430,140000,14201250
81,A13923108,61133970,61132600,0,0,19782800,19782800,2518972,21541330,4897930,0
82,A13993901,11026400,0,0,0,2759840,0,10306310,0,6010300,0
83,A13987301,13643840,0,0,0,3345000,3345000,0,5219630,0,975570
84,A13987302,320000,21143290,0,0,0,7433300,-2803060,6297350,0,0
85,A13987306,18258320,85150740,0,0,0,32672500,15850810,52491430,584450,0
86,A13993503,1704390,30148000,0,0,0,11587200,2720177,13931570,0,3367530
87,A13993501,0,0,0,0,0,0,21102166,0,9813880,0
88,A13923103,6731900,29123600,0,0,4120200,9025200,3493056,20007860,2100,0
89,A10026660,,,,,,,,,,
90,A13983810,4850990,25641000,0,0,0,12033000,4096540,21569990,331340,9451890
91,A13973202,,,,,,,,,,
92,A13974103,12262420,18717700,-385430,373860,-12264000,12210000,2287,16769360,-3500,8340000
93,A13983712,5166110,17714710,0,0,0,13172000,4976905,15742330,163360,11553420
94,A13920804,15415410,77773880,0,0,0,44243500,21322960,55903210,8707700,0
95,A13920106,0,0,75910,0,0,0,2079700,10127620,2133460,7898800
96,A13981608,0,0,0,0,0,0,2195580,17893560,0,9238660
97,A13920707,30905790,63489020,0,0,0,58863000,15550866,49621590,14454025,0
98,A13920209,0,0,422950,0,0,0,37780300,0,16286160,0
99,A13981402,0,0,0,0,0,0,2955376,8412590,40,4777280
100,A13982701,4956350,22120550,0,0,0,8792400,5267210,16680670,154820,8736080
101,A13920205,0,0,0,0,0,0,1301770,11207340,-150,7590100
102,A13920001,0,0,0,0,0,0,3088300,13420150,0,10638400
103,A13982301,12422020,67350950,0,0,0,34391000,16487425,45628890,4717925,0
104,A13983815,9561262,34267770,1100,0,0,27788400,8142844,29915600,0,27518920
105,A13981604,0,0,0,0,0,0,2537670,10095040,378140,4584160
106,A13981407,0,0,0,0,0,0,4126960,20535170,0,11736040
107,A13921005,25839622,75001140,0,0,20105250,68236000,6817685,67523110,1149435,0
108,A13983707,0,0,0,0,0,0,356860,12327240,0,6561260
109,A13981405,0,38559040,0,0,0,9894000,5505538,13339460,0,10323970
110,A13983608,0,0,0,0,0,0,3595760,12414610,0,7749120
111,A13982002,0,0,378810,0,0,0,14323530,0,0,0
112,A13982604,26393610,102705490,0,0,0,56144000,23319667,93941890,24486470,0
113,A13982103,0,0,0,0,0,0,-367490,12738910,0,5193080
114,A13920706,47496600,51610420,0,0,-41346000,41346000,6935701,46073650,13329750,0
115,A13981901,6165050,24017120,0,0,0,14217000,5069980,17252940,5488700,0
116,A13982003,4726710,14879280,0,0,-3370650,11430900,2684150,15121550,503150,5281680
117,A13920105,0,0,196110,0,0,0,473030,9967270,45590,4858920
118,A13971501,6926450,11616460,0,0,0,11582400,7969177,22831600,910530,11763790
119,A13920102,0,0,0,0,0,0,675560,7410870,87100,3695320
120,A13989701,0,0,978630,0,0,0,5629340,24267340,-12710,14424800
121,A13920803,18734820,70029730,0,0,0,33519500,9508470,50492420,13000000,0
122,A13994302,27354700,0,0,0,9492000,0,3140014,0,3500000,0
123,A13983713,43803550,0,0,1055050,4130139,0,3060590,0,741396,0
124,A13983709,0,0,0,0,0,0,20868432,0,10234360,0
125,A13981606,0,0,0,0,0,0,4166242,12216940,-200,6287280
126,A13981304,1328145,13746600,0,2710000,432705,4327050,0,12561850,642640,0
127,A13983803,0,0,35190,0,0,0,2744860,7356160,793840,3611700
128,A13980903,0,0,0,0,0,0,3485580,6834070,497700,0
129,A13982702,16851930,22476300,0,0,-12127110,12127110,4567110,20681410,6060,10425090
130,A13983816,3061230,41601240,0,0,0,29773000,12581790,32226920,578880,22216780
131,A13981001,0,0,296840,0,0,0,473800,2794320,385980,1402800
132,A13982005,4661220,14230000,0,0,0,11033680,1499866,12707610,674100,0
133,A13974101,2537590,19407310,0,0,0,7688700,3239397,13986620,-330,9810030
134,A13982704,18659890,71981000,0,0,0,36379000,10486160,46845610,3451780,0
135,A13982202,15724460,42230060,0,0,0,35308000,5337160,34529750,6865860,0
136,A13982101,0,0,0,0,0,0,7740400,0,3691120,0
137,A13920207,0,0,0,0,0,0,4234274,13701080,0,8756930
138,A13981903,22157690,55064260,0,0,0,47240000,10534479,44618430,5439190,0
139,A13983101,384210,2768730,2650,0,-50,882350,21980,1743270,-23790,0
140,A13920506,87445530,0,0,0,0,24031000,6831097,42527621,6953620,16304130
141,A13920703,0,0,222240,0,0,0,366180,0,1000000,0
142,A13920202,0,0,0,0,0,0,11086140,0,0,0
143,A13981006,0,0,0,0,0,0,5637046,22074790,300840,12388230
144,A13983811,3998960,32124960,0,0,0,17248500,6399031,23472160,0,6952910
145,A13971502,17377840,78117738,0,0,9676700,26391000,11002585,53458790,12439560,19922100
146,A13989702,0,0,0,0,0,0,937180,3496060,-13920,2124830
147,A13920104,0,0,0,0,0,0,-130513,13173100,-64800,5293120
148,A13983801,0,0,0,0,0,0,1945760,6492609,17570,6058750
149,A13973201,,,,,,,,,,
150,A13981204,0,0,0,0,0,0,663000,4244060,132970,2196780
151,A13983004,13832810,51986800,0,0,0,43032080,6887020,42627960,21915950,0
152,A13920501,0,0,0,0,0,0,1831231,8027380,0,0
153,A13920802,60919900,0,0,0,0,35490000,4692330,28106520,6393120,16976340
154,A13981208,559710,0,0,0,0,0,34634340,34593630,15701230,15701340
155,A13983105,20850060,57463120,0,0,0,37934000,7024694,43710970,3539870,0
156,A10027601,289770,3410280,0,0,0,4543620,5578950,14825090,30750,8102390
157,A10025133,0,0,0,0,0,0,10002054,31706410,1056780,11926550
158,A10027533,,,,,,,,,,
159,A10024547,0,0,0,0,0,0,9226640,46262710,0,18444760
160,A10024770,,,,,,,,,,
161,A10024434,,,,,,,,,,
162,A13985402,0,0,136500,0,0,0,2123893,9489940,254600,0
