,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13991017,0,0,0,0,0,0,1073973,10496570,,
1,A13905208,7045800,0,,,,,,,2473170,7434000
2,A13905202,39090,0,0,0,,,,,5320990,0
3,A13985107,,,0,0,,,,,-103020,8627370
4,A13984604,,,0,0,,,4568396,26260470,,
5,A13984411,,,,,0,2120000,,,,
6,A13905102,,,0,0,,,2607750,8032820,455680,0
7,A13984603,,,0,0,,,1601092,9644650,,
8,A13905204,,,0,0,0,3187500,,,,
9,A13985201,0,0,0,0,,,3277679,7261330,,
10,A13985106,5929660,0,0,0,-5934460,5934460,2726580,0,,
11,A13984813,5833250,0,0,0,0,17265000,8317580,0,,
12,A13987501,,,0,0,0,0,2233220,4684450,0,3526880
13,A13905105,0,0,,,,,,,,
14,A13987503,,,,,,,0,7059690,0,4052990
15,A13984814,,,,,0,0,,,0,0
16,A13984004,,,0,0,0,0,2283720,134561570,640350,67224260
17,A13991016,0,0,1220,0,,,972190,7730610,0,4580350
18,A13985103,2410620,0,,,,,,,581750,7087910
19,A13985105,1066450,0,,,,,1961420,0,90430,7130340
20,A13984409,2858190,736280,,,,,1885130,0,,
21,A13984003,,,0,0,,,,,2552500,0
22,A13995602,186470,1673780,,,,,,,546830,0
23,A13905003,0,0,,,0,0,,,-420,10612250
24,A13905301,0,0,0,0,,,,,410,5341590
25,A13987502,0,0,0,0,,,2154650,8399430,,
26,A13991018,,,0,0,,,8008780,36132870,110,15761420
27,A13905302,1620720,0,0,0,0,4222200,,,,
28,A13991015,,,0,0,0,0,0,5925602,,
29,A13905101,,,,,,,,,0,3685440
30,A13984005,,,,,0,39182500,,,,
31,A10027121,,,,,,,7198113,16358090,,
32,A10027716,0,0,0,0,0,0,,,,
33,A10025097,0,0,101320,0,,,67556080,0,,
34,A10024636,,,,,,,,,,
35,A10024812,,,,,,,,,,
36,A13980513,,,0,0,0,0,700083,64091080,,
37,A13924003,0,0,,,,,4783880,18341400,,
38,A13994501,0,0,0,0,0,0,,,378000,0
39,A13980801,0,0,,,0,0,,,-840,2371970
40,A13980010,,,-794870,781910,0,3708000,6133950,14889100,,
41,A13980415,0,0,0,0,0,0,,,,
42,A13980018,1682740,833450,0,0,,,6163750,16147380,89520,10977970
43,A13980107,0,0,0,0,,,2811260,15897930,52170,7694000
44,A13980509,4235610,0,,,-4271200,4271200,2215940,0,2705100,5752540
45,A13980009,,,,,,,956781,14051750,,
46,A13980014,,,0,0,,,,,2669680,10491510
47,A13980012,1905810,0,0,0,0,5649600,3499690,15922410,,
48,A13924004,0,0,0,0,0,0,,,,
49,A13980510,1194850,0,,,,,,,277000,8277720
50,A13924205,0,0,13050,0,0,0,1226900,12953210,0,6043710
51,A13980102,,,,,0,0,283030,5711850,,
52,A13980604,0,0,,,0,0,974582,7549330,,
53,A13980413,,,,,,,775860,8386290,,
54,A13980511,2707970,0,0,0,-1001700,5106750,,,29860,10011590
55,A13980105,0,0,,,0,0,905480,8068980,-14550,3697330
56,A13980402,,,,,,,,,,
57,A13980108,,,,,,,,,224440,7352480
58,A13980407,,,0,0,,,-613350,15785740,,
59,A13980803,0,0,0,0,,,,,,
60,A13980004,3741100,0,,,-2608200,2608200,2638530,11551920,0,5618260
61,A13980706,0,0,0,0,,,101374,8261070,,
62,A13980403,,,0,0,,,,,-4220,4321420
63,A13980401,,,,,0,0,,,,
64,A13980017,,,0,0,,,-4735930,8847290,7037200,3789990
65,A13980512,213310,1902950,,,0,7276500,0,0,,
66,A13980411,0,0,0,0,0,0,1192200,21710000,0,8986460
67,A13980019,,,0,0,,,,,,
68,A10026289,,,,,,,,,,
69,A13980006,1191410,0,0,0,,,4551128,10221200,,
70,A10023991,,,,,,,,,,
71,A10023990,0,0,0,0,0,0,,,,
72,A13987305,3403030,0,0,0,8393670,5212440,10727980,55860460,3609240,22915300
73,A13987303,,,0,0,,,,,-350100,24460690
74,A13993502,0,0,,,,,,,-169870,11121640
75,A13923104,,,0,0,-6514000,6510000,3470109,23660390,,
76,A13923106,0,0,0,0,,,,,,
77,A13923102,0,0,,,,,3267790,9455210,590,10996160
78,A13987304,,,0,0,0,17536940,7623072,40473430,,
79,A13977913,0,0,0,0,0,17892000,,,0,456350
80,A13987205,0,0,3950,0,,,0,30340240,0,16549840
81,A13923108,,,,,11978090,0,32841017,0,871530,0
82,A13993901,0,0,,,1869870,1869870,8631320,7211270,,
83,A13987301,,,0,0,,,-570109,5832250,0,1196910
84,A13987302,320310,196850,0,0,0,5538900,-2099100,7441970,0,0
85,A13987306,,,0,0,0,20779760,,,,
86,A13993503,1704390,94000,0,0,,,2448107,19464210,755074,2235450
87,A13993501,,,,,,,,,9261280,0
88,A13923103,,,0,0,2788800,6108800,-484621,22826860,,
89,A10026660,,,,,,,,,,
90,A13983810,,,,,0,3188700,,,,
91,A13973202,,,,,,,,,,
92,A13974103,,,,,-4897500,4862500,,,220,8274130
93,A13983712,,,0,0,-250,4778310,3256771,19712510,2073660,10574260
94,A13920804,7502480,242000,,,,,8100293,68208060,,
95,A13920106,,,1780,0,,,423124,11756770,,
96,A13981608,0,0,,,0,0,,,,
97,A13920707,,,,,-9956,21523920,8588720,65760710,,
98,A13920209,0,0,,,,,,,15294330,0
