,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13679903,0,0,0,0,0,0,2261620,14592830,137550,4399370
1,A13606002,0,0,0,0,0,0,5058500,14587360,0,6402340
2,A13606101,0,0,0,0,0,0,4440780,16585510,-114320,17004120
3,A13606003,0,0,0,0,0,0,11318071,30968830,79550,13086910
4,A13606106,0,0,0,0,0,0,2399203,11739360,1886770,6668580
5,A13681303,0,0,0,0,0,0,1316850,27204060,0,0
6,A13606105,0,0,0,0,0,0,964030,4995030,0,2906620
7,A13606107,0,0,0,0,0,0,14970469,46700960,1050,22840670
8,A13679902,0,0,0,0,0,0,2378070,8125290,0,3775500
9,A13606005,10197610,6879720,230360,0,633500,2915500,1943882,8917160,505470,5166630
10,A13606201,0,0,126050,0,0,0,7138692,44897950,-239650,21086300
11,A13606102,220090,0,0,0,0,0,4711120,17055450,0,0
12,A13681304,0,0,0,0,0,0,1651090,17186610,289050,0
13,A10027350,,,,,,,,,,
14,A10027227,0,0,19310,0,0,0,4608399,30454730,0,10489110
15,A13606004,78549263,343159650,0,0,3549000,69545000,34793809,160628730,7073410,69635320
16,A10028001,0,0,0,0,0,0,1808833,19803450,-102510,7763960
17,A10025140,,,,,,,,,,
18,A13603401,0,0,2020,0,0,0,2970387,10593340,69000,6157840
19,A13603701,0,0,0,0,0,0,19417560,0,8255290,0
20,A13603702,0,0,0,0,0,0,3024540,10332000,-213170,4036210
21,A13672101,0,0,0,0,0,0,7647670,44076910,0,16806330
22,A13672102,0,0,243330,0,0,0,1631970,18755830,1230,7296540
23,A13604301,0,0,0,0,0,0,,,,
24,A13670801,0,0,0,0,0,0,5403200,20580700,43960,8794480
25,A13604401,0,0,0,0,0,0,93700,17388020,-320,7328750
26,A13607101,97580,0,0,0,,,5915678,19173530,168090,9258540
27,A13607301,0,0,0,0,0,0,1757134,8608760,0,0
28,A13607302,0,0,0,0,0,0,0,8318690,0,4085750
29,A13608601,0,0,0,0,0,0,1240460,9169490,21690,4027460
30,A10027189,0,0,0,0,0,0,16152792,42295830,-19583910,19492040
31,A10023669,0,0,0,0,0,0,28475750,0,15163650,0
32,A13608301,0,0,225610,0,0,0,1996230,17610360,1029040,7244660
33,A13677401,0,0,0,0,0,0,6948770,23238470,40340,8715400
34,A13676501,0,0,0,306650,0,0,0,7598970,0,3291310
35,A13610007,0,0,0,0,0,0,19152092,75507190,0,38363880
36,A13685104,0,0,194120,0,0,0,4725906,17110260,182500,16466590
37,A13684306,0,0,0,0,0,0,8877649,28658870,0,14591960
38,A13684701,0,0,0,0,0,0,2009330,8942280,0,0
39,A13677101,0,0,0,0,0,0,7506340,23507870,280690,10156620
40,A13677206,0,0,0,0,0,0,6080777,28720590,706260,27717290
41,A13610003,0,0,0,0,0,0,3649840,9509280,100210,5175770
42,A13610001,0,0,0,0,0,0,2694860,6914440,6763070,0
43,A13684605,0,0,0,0,0,0,5937939,19056030,0,10402920
44,A13676605,0,0,0,0,0,0,4284845,16672450,0,8968140
45,A13610004,0,0,0,0,0,0,7002370,6337720,0,0
46,A13677807,0,0,0,0,0,0,2592300,10483010,42910,8143740
47,A13610107,0,0,0,0,0,0,5264560,31347150,0,0
48,A13610202,0,0,312460,0,0,0,1583129,18576290,-64680,7430860
49,A13610301,0,0,0,0,0,0,4031760,9225660,9264600,0
50,A13610103,0,0,0,0,0,0,1017357,16482990,0,7262340
51,A13676504,0,0,0,0,0,0,2890590,16971200,0,7089410
52,A13676703,0,0,0,0,0,0,8822634,29070890,2094520,12202520
53,A13676702,0,0,0,0,0,0,6073687,23449890,-225320,24230130
54,A13610005,0,0,197130,0,0,0,6292330,21283940,91630,10520260
55,A13610201,0,0,0,0,0,0,8843540,0,3341910,0
56,A13676704,0,0,0,0,0,0,2094340,5621160,-21470,3458870
57,A13610102,0,0,0,0,0,0,6477330,11430750,0,4543250
58,A10028000,0,0,0,0,0,0,2276930,17908080,253160,4970650
59,A13611202,0,0,0,0,0,0,11508778,53279190,-5330,14815610
60,A13611011,0,0,0,0,0,0,23523413,0,0,0
61,A13611201,0,0,0,0,0,0,8054410,25693820,35000,10586460
62,A13611005,0,0,0,0,0,0,7943595,44484530,628200,17224690
63,A13611007,0,0,0,0,0,0,21201420,94424160,407710,43422140
64,A13611006,0,0,0,0,0,0,7906109,78154160,0,30312450
65,A13680701,0,0,0,0,0,0,1465288,8945850,0,0
66,A13611103,0,0,0,0,0,0,5533870,46333510,1620,20924800
67,A13679403,0,0,0,0,0,0,5505805,27384420,0,7623280
68,A13611002,0,0,120430,0,0,0,7112616,7029370,2743560,2371500
69,A13611004,0,0,0,0,0,0,4600307,22191940,0,0
70,A13611010,0,0,0,0,0,0,1517780,2089180,0,1178930
71,A13611009,0,0,0,0,0,0,783700,1121630,-21760,733670
72,A13611001,0,0,0,0,0,0,194358,4127090,0,2271500
73,A13611102,0,0,0,0,0,0,532126,4444070,0,2260690
74,A13611008,0,0,0,56295300,0,0,30758104,74028390,0,29699880
75,A13679402,0,0,0,0,0,0,2139400,4518160,0,2365320
76,A13606006,,,,,,,,,,
77,A10025638,0,0,0,0,0,0,24066930,103470110,810930,33617080
78,A13611012,0,0,0,0,0,0,347610,1626000,0,943860
79,A10023926,0,0,0,0,0,0,34934132,91778110,-3300,23900820
80,A10025753,0,0,0,0,0,0,5051850,18770470,349450,7166560
81,A13671204,0,0,0,0,0,0,6204750,36033270,748550,14435520
82,A13671210,0,0,0,0,0,0,1158100,5654430,493050,3150990
83,A13671209,0,0,0,0,0,0,13165737,48869790,775780,14563520
84,A13671212,0,0,26720,0,0,0,1824552,5095130,14160,2473180
85,A13671203,0,0,0,0,0,0,1899570,6774400,147560,4053130
86,A13671207,0,0,0,0,0,0,3481190,10075310,0,5610260
87,A13671208,0,0,0,0,0,0,5484493,46512700,-4070,17813420
88,A13671205,0,0,0,0,0,0,14438614,47396990,0,26134350
89,A13671213,0,0,35680,0,0,0,6090509,17863760,15400,6815650
90,A13671206,0,0,0,0,0,0,2365500,23073570,135770,10487700
91,A13686302,0,0,0,0,0,0,5044276,49354870,0,22542930
92,A13671211,0,0,186200,0,0,0,1895414,3724330,0,2236960
93,A10024603,,,,,,,,,,
94,A13613005,0,0,0,0,0,0,3044410,29318340,-1026320,13236690
95,A13613001,0,0,0,0,0,0,4048440,6446660,0,0
96,A13613201,0,0,0,0,0,0,3297097,13344490,0,0
97,A13613003,0,0,0,0,0,0,1131912,4597470,380830,2696210
98,A13613010,0,0,0,0,0,0,12642090,0,5336420,0
99,A13613009,0,0,0,0,0,0,8976810,29507320,0,15337900
100,A13613008,0,0,0,0,0,0,24779542,87458130,-1606240,43606280
101,A13613007,0,0,0,0,0,0,10503593,63520890,-37050,28479420
102,A13613002,0,0,0,0,0,0,5281310,0,2403610,0
103,A13613006,0,0,0,0,0,0,11419084,31322140,0,16282200
104,A13612001,6660,0,0,0,0,0,1834450,7933840,138880,0
105,A13612002,0,0,0,0,0,0,7047698,48747810,350170,25713560
106,A13678401,0,0,0,0,0,0,245250,4916570,233870,2834750
107,A13614001,0,0,0,0,0,0,7840049,28973100,279920,11782930
108,A13614301,0,0,0,0,0,0,1468330,6000270,314810,3015720
109,A13614302,0,0,0,0,0,0,19052912,0,7815120,0
