,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,쌍문삼성래미안,A13203302,1132010500,407,20020726,개별난방,아파트
1,쌍문한양1차,A13203303,1132010500,824,19861202,개별난방,아파트
2,브라운스톤쌍문,A13295201,1132010500,155,20061226,개별난방,아파트
3,쌍문한양6차,A13286107,1132010500,582,20020326,개별난방,아파트
4,쌍문현대3차,A13287801,1132010500,287,19950609,개별난방,아파트
5,쌍문경남,A13286203,1132010500,264,19880315,개별난방,아파트
6,쌍문현대1차,A13286109,1132010500,783,19901019,개별난방,아파트
7,쌍문금호2차,A13203403,1132010500,386,19911227,개별난방,아파트
8,"쌍문한양2,3,4차",A13286110,1132010500,1635,19881130,개별난방,아파트
9,쌍문동익파크,A13287503,1132010500,495,19870522,개별난방,아파트
10,쌍문청구,A13203202,1132010500,236,19960718,개별난방,아파트
11,쌍문삼익,A13286304,1132010500,1541,19881219,개별난방,아파트
12,쌍문성원,A13286106,1132010500,498,19891017,개별난방,아파트
13,쌍문금호1차아파트,A13203408,1132010500,690,19900924,개별난방,아파트
14,쌍문한양7차,A13286904,1132010500,408,19930917,개별난방,아파트
15,북한산코오롱하늘채,A13203002,1132010500,293,20140401,개별난방,아파트
16,쌍문극동,A13203102,1132010500,315,19960826,개별난방,아파트
17,쌍문한양5차,A13286105,1132010500,414,19910528,개별난방,아파트
18,쌍문동북한산월드메르디앙,A13203001,1132010500,154,20050602,개별난방,아파트
19,쌍문대우파크힐아파트,A13203401,1132010500,190,20040401,개별난방,아파트
20,쌍문현대2차,A13286002,1132010500,192,19931130,개별난방,아파트
21,쌍문염광아파트,A10026175,1132010500,103,19961217,개별난방,아파트
22,쌍문e-편한세상아파트,A10024827,1132010500,141,20070426,개별난방,아파트
23,에드가 쌍문 청년주택,A10023732,1132010500,253,20220513,개별난방,아파트
24,쌍문동 에덴아파트,A10023827,1132010500,82,20010504,개별난방,
25,인히어쌍문아파트,A10023914,1132010500,288,20220208,개별난방,도시형 생활주택(아파트)
26,방학명품ESA1단지,A13285404,1132010600,296,20031001,개별난방,주상복합
27,방학한화성원,A13202306,1132010600,336,19960402,개별난방,아파트
28,방학동양크레오,A13285503,1132010600,212,20041215,개별난방,아파트
29,방학우성2차,A13282510,1132010600,558,19930916,개별난방,아파트
30,방학명품ESA2단지,A13272101,1132010600,225,20030903,개별난방,주상복합
31,방학우성1차,A13276416,1132010600,658,19920715,개별난방,아파트
32,방학극동아파트,A13202302,1132010600,167,19930917,개별난방,아파트
33,방학삼성래미안1단지,A13285406,1132010600,603,20021019,개별난방,아파트
34,방학벽산2차,A13283405,1132010600,318,19980601,개별난방,아파트
35,방학삼익세라믹,A13202308,1132010600,476,19880719,개별난방,아파트
36,방학신동아3단지,A13276414,1132010600,210,19920926,개별난방,아파트
37,방학성원,A13202102,1132010600,258,19960612,개별난방,아파트
38,방학청구,A13276415,1132010600,978,19940620,개별난방,아파트
39,방학4단지신동아,A13285507,1132010600,361,19950527,개별난방,아파트
40,방학삼성래미안2단지,A13202103,1132010600,288,20021019,개별난방,아파트
41,대상타운현대,A13202002,1132010600,1278,20011029,개별난방,아파트
42,브라운스톤 방학아파트,A13285401,1132010600,174,20030430,개별난방,아파트
43,대원그린아파트,A13202304,1132010600,220,19870629,개별난방,아파트
44,방학동부센트레빌,A13272102,1132010600,258,20051121,개별난방,아파트
45,방학신동아2단지,A13283611,1132010600,660,19920926,개별난방,아파트
46,벽산1,A13276417,1132010600,489,19910902,개별난방,아파트
47,방학신동아1단지,A13202312,1132010600,3169,19861231,개별난방,아파트
48,방학거성학마을,A13285305,1132010600,347,19941213,개별난방,아파트
49,방학신동아5단지,A13285601,1132010600,153,19981002,개별난방,아파트
50,신동아 타워 아파트,A10026856,1132010600,104,19970821,개별난방,아파트
51,방학금광포란재아파트,A10026279,1132010600,105,20050614,개별난방,아파트
52,방학동효성하이타운,A10027555,1132010600,122,20020516,개별난방,아파트
53,송학휴스테이아파트,A10024822,1132010600,134,20161201,개별난방,아파트
54,방학지음재힐스,A10024463,1132010600,187,20180112,개별난방,도시형 생활주택(주상복합)
55,창동동아그린,A13204506,1132010700,449,19961130,개별난방,아파트
56,북한산한신휴플러스,A13204502,1132010700,194,20070731,개별난방,아파트
57,창동대동,A13204501,1132010700,188,19990619,개별난방,아파트
58,창동상아2차,A13204505,1132010700,427,19880211,개별난방,아파트
59,창동금호어울림,A13290404,1132010700,299,20040105,개별난방,아파트
60,창동현대,A13204503,1132010700,205,20000508,개별난방,아파트
61,창동현대4차아이파크,A13204402,1132010700,202,20030529,개별난방,아파트
62,창동북한산아이파크,A13204510,1132010700,2061,20040730,개별난방,아파트
63,창동한신,A13292002,1132010700,202,20020709,개별난방,아파트
64,창동동아청솔,A13204409,1132010700,1981,19970324,지역난방,아파트
65,창동주공2단지,A13204508,1132010700,750,19900712,개별난방,아파트
66,상계17단지,A13204408,1132010700,1980,19890731,중앙난방,아파트
67,창동대우그린아파트,A13272201,1132010700,366,20001130,개별난방,아파트
68,창동상아1차,A13204507,1132010700,694,19871127,개별난방,아파트
69,창동신창,A13204302,1132010700,609,19980707,중앙난방,아파트
70,창동대림,A13204001,1132010700,205,20031008,개별난방,아파트
71,창동쌍용,A13204406,1132010700,1352,19970228,지역난방,아파트
72,창동주공3단지,A13204105,1132010700,2856,19900906,지역난방,아파트
73,창동주공18단지,A13290105,1132010700,910,19881026,지역난방,아파트
74,창동동아,A13290003,1132010700,600,19881229,지역난방,아파트
75,창동주공1단지,A13290809,1132010700,808,19900906,개별난방,아파트
76,창동대우,A13204204,1132010700,952,19951124,개별난방,아파트
77,창동신도브래뉴,A13204002,1132010700,456,20030915,개별난방,아파트
78,창동주공19단지,A13290107,1132010700,1764,19881125,지역난방,아파트
79,창동성원,A13292701,1132010700,194,20010602,개별난방,아파트
80,창동금용,A13204201,1132010700,183,19970509,개별난방,아파트
81,창동삼성,A13204103,1132010700,1668,19920731,지역난방,아파트
82,창동주공4단지,A13204104,1132010700,1710,19911112,중앙난방,아파트
83,초안산신도브래뉴,A13204301,1132010700,213,20051028,개별난방,아파트
84,창동태영데시앙,A13204205,1132010700,958,20030714,개별난방,아파트
85,창동건영캐스빌,A13204203,1132010700,300,20020819,개별난방,아파트
86,창동한승미메이드,A13204003,1132010700,135,20040625,개별난방,아파트
87,창동수산트리플아파트,A13275001,1132010700,111,20040630,개별난방,아파트
88,창동현대타운(주복),A13292501,1132010700,158,19990922,개별난방,아파트
89,창동아이파크(창동2.3차현대),A13204404,1132010700,797,20010614,개별난방,아파트
90,도봉중흥S클래스,A13201003,1132010700,50,,,
91,창동서울가든아파트,A10026109,1132010700,160,19920806,개별난방,아파트
92,창동한신아파트,A10024782,1132010700,121,19990408,개별난방,
93,도봉삼환,A13201207,1132010800,660,19871029,중앙난방,아파트
94,도봉파크빌3단지,A13201202,1132010800,200,20021202,개별난방,아파트
95,도봉동아에코빌,A13201206,1132010800,526,20030315,개별난방,아파트
96,도봉현대성우,A13201201,1132010800,190,19981201,개별난방,아파트
97,도봉극동아파트,A13201203,1132010800,205,19911219,개별난방,아파트
98,도봉서원제2,A13275302,1132010800,734,19961012,지역난방,아파트
99,도봉래미안,A13293505,1132010800,448,20050218,개별난방,아파트
100,도봉럭키,A13281802,1132010800,630,19920905,개별난방,아파트
101,도봉파크빌2단지,A13275303,1132010800,139,20021202,개별난방,아파트
102,도봉서울가든,A13281201,1132010800,348,19870718,개별난방,아파트
103,서원아파트,A13201208,1132010800,1716,19961012,지역난방,아파트
104,도봉양우내안애아파트,A13275301,1132010800,147,20050629,개별난방,아파트
105,도봉한신,A13201209,1132010800,2678,19950930,개별난방,아파트
106,도봉서광,A13201001,1132010800,159,19990907,개별난방,아파트
107,서울도봉,A13201002,1132010800,245,20021118,개별난방,아파트
108,도봉유원아파트,A13280104,1132010800,286,19901105,개별난방,아파트
109,도봉숲 아뜨리움,A10027136,1132010800,172,20160913,개별난방,아파트
110,도봉중흥S클래스,A10026714,1132010800,141,20041013,개별난방,아파트
