Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A13203302,1132010500,407,20020726.0,개별난방,아파트,단일계약,15,116,346
1,A13203303,1132010500,824,19861202.0,개별난방,아파트,단일계약,16,600,0
2,A13295201,1132010500,155,20061226.0,개별난방,아파트,단일계약,6,23,146
3,A13286107,1132010500,582,20020326.0,개별난방,아파트,단일계약,22,281,148
4,A13287801,1132010500,287,19950609.0,개별난방,아파트,단일계약,13,198,23
5,A13286203,1132010500,264,19880315.0,개별난방,아파트,종합계약,5,150,0
6,A13286109,1132010500,783,19901019.0,개별난방,아파트,단일계약,25,277,33
7,A13203403,1132010500,386,19911227.0,개별난방,아파트,단일계약,13,220,0
8,A13286110,1132010500,1635,19881130.0,개별난방,아파트,단일계약,26,514,0
9,A13287503,1132010500,495,19870522.0,개별난방,아파트,단일계약,12,370,0
10,A13203202,1132010500,236,19960718.0,개별난방,아파트,종합계약,7,96,100
11,A13286304,1132010500,1541,19881219.0,개별난방,아파트,단일계약,31,502,0
12,A13286106,1132010500,498,19891017.0,개별난방,아파트,단일계약,17,311,0
13,A13203408,1132010500,690,19900924.0,개별난방,아파트,단일계약,18,690,0
14,A13286904,1132010500,408,19930917.0,개별난방,아파트,종합계약,16,172,87
15,A13203002,1132010500,293,20140401.0,개별난방,아파트,단일계약,9,3,318
16,A13203102,1132010500,315,19960826.0,개별난방,아파트,기타,15,89,173
17,A13286105,1132010500,414,19910528.0,개별난방,아파트,단일계약,11,182,98
18,A13203001,1132010500,154,20050602.0,개별난방,아파트,단일계약,8,111,66
19,A13203401,1132010500,190,20040401.0,개별난방,아파트,단일계약,14,71,189
20,A13286002,1132010500,192,19931130.0,개별난방,아파트,단일계약,7,83,53
21,A10026175,1132010500,103,19961217.0,개별난방,아파트,종합계약,2,0,86
22,A10024827,1132010500,141,20070426.0,개별난방,아파트,,,,
23,A10023732,1132010500,253,20220513.0,개별난방,아파트,종합계약,4,0,112
24,A10023827,1132010500,82,20010504.0,개별난방,,단일계약,1,20,66
25,A10023914,1132010500,288,20220208.0,개별난방,도시형 생활주택(아파트),종합계약,4,8,76
26,A13285404,1132010600,296,20031001.0,개별난방,주상복합,종합계약,10,0,512
27,A13202306,1132010600,336,19960402.0,개별난방,아파트,단일계약,7,103,130
28,A13285503,1132010600,212,20041215.0,개별난방,아파트,종합계약,9,61,180
29,A13282510,1132010600,558,19930916.0,개별난방,아파트,단일계약,19,189,236
30,A13272101,1132010600,225,20030903.0,개별난방,주상복합,단일계약,8,0,367
31,A13276416,1132010600,658,19920715.0,개별난방,아파트,단일계약,25,120,275
32,A13202302,1132010600,167,19930917.0,개별난방,아파트,단일계약,7,65,82
33,A13285406,1132010600,603,20021019.0,개별난방,아파트,단일계약,14,176,848
34,A13283405,1132010600,318,19980601.0,개별난방,아파트,종합계약,11,27,207
35,A13202308,1132010600,476,19880719.0,개별난방,아파트,단일계약,10,260,0
36,A13276414,1132010600,210,19920926.0,개별난방,아파트,종합계약,9,190,30
37,A13202102,1132010600,258,19960612.0,개별난방,아파트,단일계약,20,75,157
38,A13276415,1132010600,978,19940620.0,개별난방,아파트,단일계약,41,401,146
39,A13285507,1132010600,361,19950527.0,개별난방,아파트,단일계약,9,122,164
40,A13202103,1132010600,288,20021019.0,개별난방,아파트,종합계약,8,71,267
41,A13202002,1132010600,1278,20011029.0,개별난방,아파트,단일계약,31,0,1948
42,A13285401,1132010600,174,20030430.0,개별난방,아파트,단일계약,4,82,123
43,A13202304,1132010600,220,19870629.0,개별난방,아파트,단일계약,2,80,30
44,A13272102,1132010600,258,20051121.0,개별난방,아파트,단일계약,8,57,323
45,A13283611,1132010600,660,19920926.0,개별난방,아파트,단일계약,22,398,185
46,A13276417,1132010600,489,19910902.0,개별난방,아파트,단일계약,12,310,0
47,A13202312,1132010600,3169,19861231.0,개별난방,아파트,단일계약,67,1603,171
48,A13285305,1132010600,347,19941213.0,개별난방,아파트,종합계약,10,117,197
49,A13285601,1132010600,153,19981002.0,개별난방,아파트,단일계약,3,48,148
50,A10026856,1132010600,104,19970821.0,개별난방,아파트,종합계약,4,2,113
51,A10026279,1132010600,105,20050614.0,개별난방,아파트,,,,
52,A10027555,1132010600,122,20020516.0,개별난방,아파트,종합계약,5,10,128
53,A10024822,1132010600,134,20161201.0,개별난방,아파트,종합계약,7,39,62
54,A10024463,1132010600,187,20180112.0,개별난방,도시형 생활주택(주상복합),종합계약,3,8,94
55,A13204506,1132010700,449,19961130.0,개별난방,아파트,단일계약,13,161,236
56,A13204502,1132010700,194,20070731.0,개별난방,아파트,단일계약,5,31,301
57,A13204501,1132010700,188,19990619.0,개별난방,아파트,단일계약,4,32,181
58,A13204505,1132010700,427,19880211.0,개별난방,아파트,단일계약,9,240,0
59,A13290404,1132010700,299,20040105.0,개별난방,아파트,단일계약,9,124,289
60,A13204503,1132010700,205,20000508.0,개별난방,아파트,단일계약,4,2,202
61,A13204402,1132010700,202,20030529.0,개별난방,아파트,단일계약,7,50,279
62,A13204510,1132010700,2061,20040730.0,개별난방,아파트,종합계약,50,222,2988
63,A13292002,1132010700,202,20020709.0,개별난방,아파트,단일계약,6,109,222
64,A13204409,1132010700,1981,19970324.0,지역난방,아파트,단일계약,36,978,1920
65,A13204508,1132010700,750,19900712.0,개별난방,아파트,단일계약,8,313,0
66,A13204408,1132010700,1980,19890731.0,중앙난방,아파트,단일계약,22,537,0
67,A13272201,1132010700,366,20001130.0,개별난방,아파트,단일계약,9,76,295
68,A13204507,1132010700,694,19871127.0,개별난방,아파트,단일계약,10,350,0
69,A13204302,1132010700,609,19980707.0,중앙난방,아파트,종합계약,9,141,180
70,A13204001,1132010700,205,20031008.0,개별난방,아파트,종합계약,5,94,153
71,A13204406,1132010700,1352,19970228.0,지역난방,아파트,종합계약,58,418,1068
72,A13204105,1132010700,2856,19900906.0,지역난방,아파트,단일계약,37,1516,0
73,A13290105,1132010700,910,19881026.0,지역난방,아파트,단일계약,9,450,0
74,A13290003,1132010700,600,19881229.0,지역난방,아파트,단일계약,20,450,0
75,A13290809,1132010700,808,19900906.0,개별난방,아파트,단일계약,10,618,0
76,A13204204,1132010700,952,19951124.0,개별난방,아파트,단일계약,28,277,739
77,A13204002,1132010700,456,20030915.0,개별난방,아파트,종합계약,11,98,513
78,A13290107,1132010700,1764,19881125.0,지역난방,아파트,단일계약,27,1073,0
79,A13292701,1132010700,194,20010602.0,개별난방,아파트,단일계약,6,0,218
80,A13204201,1132010700,183,19970509.0,개별난방,아파트,단일계약,4,55,138
81,A13204103,1132010700,1668,19920731.0,지역난방,아파트,단일계약,84,727,525
