,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,신설동 지웰홈스,A10026147,1123010100,170,20171130,개별난방,도시형 생활주택(아파트)
1,용두롯데캐슬피렌체,A13007002,1123010200,435,20090205,개별난방,아파트
2,래미안용두1차,A13070302,1123010200,210,20110428,개별난방,아파트
3,용두신동아,A13007004,1123010200,772,19941014,개별난방,아파트
4,용두 롯데 캐슬리치 아파트,A10028080,1123010200,311,20150313,개별난방,아파트
5,래미안허브리츠,A13070301,1123010200,844,20110428,개별난방,아파트
6,용두두산위브,A13007001,1123010200,338,20090618,개별난방,아파트
7,동대문푸르지오시티,A10027274,1123010200,299,20160909,개별난방,도시형 생활주택(주상복합)
8,e편한세상 청계 센트럴포레,A10024042,1123010200,823,20211125,개별난방,아파트
9,청량리역해링턴플레이스,A10023389,1123010200,220,20230130,개별난방+기타,아파트
10,래미안 엘리니티,A10023633,1123010200,1048,20220830,개별난방,
11,제기경동미주,A13006001,1123010300,228,19770630,개별난방,아파트
12,제기안암골벽산,A13086101,1123010300,640,20030613,개별난방,아파트
13,제기한신,A13006101,1123010300,1070,20040511,개별난방,아파트
14,제기이수브라운스톤,A13006003,1123010300,299,20050314,개별난방,아파트
15,제기현대,A13006002,1123010300,261,19991113,개별난방,아파트
16,제기한신제2임대아파트,A13077201,1123010300,260,20040511,개별난방,아파트
17,전농SK제2(임대),A13084802,1123010400,848,20000529,개별난방,아파트
18,전농우성,A13084803,1123010400,1234,19920311,개별난방,아파트
19,래미안크레시티,A13071302,1123010400,2397,20141023,개별난방,아파트
20,래미안아름숲,A13002002,1123010400,719,20120726,개별난방,아파트
21,전농SK,A13084804,1123010400,1830,20000706,개별난방,아파트
22,전농동아,A13085901,1123010400,360,19971222,개별난방+기타,아파트
23,전농동아임대,A13071301,1123010400,220,19971222,개별난방,아파트
24,전농동신성미소지움아파트,A13085902,1123010400,385,20051005,개별난방,아파트
25,전농삼성,A13085301,1123010400,463,20000513,개별난방,아파트
26,롯데캐슬노블레스,A10026180,1123010400,584,20180629,개별난방,아파트
27,래미안엘파인,A13075402,1123010500,472,20110623,개별난방,아파트
28,답십리동아,A13003406,1123010500,741,20011123,개별난방,아파트
29,답십리우성그린,A13003404,1123010500,496,19970523,개별난방,아파트
30,답십리대림,A13080801,1123010500,228,20030108,개별난방,아파트
31,답십리청솔우성,A13003202,1123010500,1110,20000318,개별난방,아파트
32,답십리두산,A13003201,1123010500,739,20000802,개별난방,아파트
33,답십리동아제2,A13075404,1123010500,492,20011123,개별난방,아파트
34,답십리대우,A13080201,1123010500,319,20020429,개별난방,아파트
35,신답경남아파트,A13080702,1123010500,225,19910619,개별난방,아파트
36,답십리두산제2,A13075405,1123010500,310,20000802,개별난방,아파트
37,답십리청솔우성제2,A13075403,1123010500,432,20000318,개별난방,아파트
38,청계한신휴플러스,A13003005,1123010500,725,20100812,개별난방,아파트
39,답십리동서울한양,A13003002,1123010500,499,19890725,개별난방,아파트
40,세양청마루,A13003402,1123010500,231,20050427,개별난방,아파트
41,답십리동답한신,A13003405,1123010500,600,19920103,개별난방,아파트
42,답십리두산위브,A13003003,1123010500,516,20070426,개별난방,아파트
43,센시티16 ,A10028042,1123010500,243,20130809,개별난방,
44,래미안미드카운티,A10026232,1123010500,1009,20190405,개별난방,아파트
45,답십리파크자이,A10025754,1123010500,802,20190122,개별난방,아파트
46,래미안위브,A13003007,1123010500,2652,20141013,개별난방,아파트
47,힐스테이트청계,A10026104,1123010500,764,20181130,개별난방,아파트
48,현대썬앤빌청계,A10027089,1123010500,269,20161222,개별난방,아파트
49,답십리한화아파트,A10026779,1123010500,146,20010928,개별난방,아파트
50,청계푸르지오시티,A10023891,1123010500,298,20150217,개별난방,도시형 생활주택(주상복합)
51,장안현대홈타운,A13010006,1123010600,2182,20031028,개별난방,아파트
52,장안현대힐스테이트,A13010004,1123010600,859,20070804,개별난방,아파트
53,장안한신,A13084701,1123010600,300,19960611,개별난방,아파트
54,장안삼성쉐르빌,A13010002,1123010600,254,20020805,개별난방,주상복합
55,장안현대,A13010003,1123010600,456,19840630,중앙난방,아파트
56,장안위더스빌,A13078701,1123010600,157,20110804,개별난방,주상복합
57,래미안장안2차,A13010005,1123010600,1786,20070628,개별난방,아파트
58,래미안장안,A13084101,1123010600,558,20030430,개별난방,아파트
59,장안2차현대홈타운,A13010001,1123010600,193,20051220,개별난방,아파트
60,현대썬앤빌601,A10027877,1123010600,193,20151002,개별난방,도시형 생활주택(주상복합)
61,동대문서희스타힐스,A10025509,1123010600,132,20131204,개별난방,주상복합
62,동대문더퍼스트데시앙아파트,A10025227,1123010600,469,20191022,개별난방,아파트
63,신일해피트리2차아파트,A10023253,1123010600,98,20051011,개별난방,
64,금강아미움아파트,A10024892,1123010600,75,20070124,개별난방,아파트
65,청량리한신1차,A13086703,1123010700,610,19971216,개별난방,아파트
66,청량리한신,A13086704,1123010700,960,19971216,개별난방,아파트
67,청량리미주,A13086705,1123010700,1089,19780927,중앙난방,아파트
68,청량리홍릉동부,A13086802,1123010700,371,20010924,개별난방,아파트
69,청량리현대,A13086701,1123010700,241,19870616,중앙난방,아파트
70,청량리홍릉동부임대,A13071201,1123010700,150,20010924,개별난방,아파트
71,회기힐스테이트,A13070101,1123010800,190,20111220,개별난방,아파트
72,청량리신현대,A13087201,1123010800,736,19890526,개별난방,아파트
73,한일베라체캠퍼스,A10023539,1123010800,264,20130624,개별난방,도시형 생활주택(주상복합)
74,휘경동양1.2차,A13009001,1123010900,490,20000527,개별난방,아파트
75,휘경동일스위트리버,A13009206,1123010900,445,20070518,개별난방,아파트
76,휘경동일하이빌,A13009202,1123010900,216,20051005,개별난방,아파트
77,휘경롯데1차,A13077703,1123010900,265,20000825,개별난방,아파트
78,휘경롯데낙천대,A13009101,1123010900,239,20030715,개별난방,아파트
79,휘경베스트빌현대,A13087405,1123010900,372,20000515,개별난방,아파트
