Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A10026147,1123010100,170,20171130,개별난방,도시형 생활주택(아파트),종합계약,3,0,143
1,A13007002,1123010200,435,20090205,개별난방,아파트,단일계약,11,13,426
2,A13070302,1123010200,210,20110428,개별난방,아파트,단일계약,2,0,215
3,A13007004,1123010200,772,19941014,개별난방,아파트,단일계약,15,270,178
4,A10028080,1123010200,311,20150313,개별난방,아파트,종합계약,16,0,337
5,A13070301,1123010200,844,20110428,개별난방,아파트,단일계약,24,0,1208
6,A13007001,1123010200,338,20090618,개별난방,아파트,종합계약,10,24,395
7,A10027274,1123010200,299,20160909,개별난방,도시형 생활주택(주상복합),종합계약,3,0,450
8,A10024042,1123010200,823,20211125,개별난방,아파트,종합계약,20,0,1112
9,A10023389,1123010200,220,20230130,개별난방+기타,아파트,종합계약,8,0,180
10,A10023633,1123010200,1048,20220830,개별난방,,종합계약,36,0,1209
11,A13006001,1123010300,228,19770630,개별난방,아파트,단일계약,3,162,0
12,A13086101,1123010300,640,20030613,개별난방,아파트,단일계약,15,104,786
13,A13006101,1123010300,1070,20040511,개별난방,아파트,단일계약,21,283,1053
14,A13006003,1123010300,299,20050314,개별난방,아파트,단일계약,9,0,345
15,A13006002,1123010300,261,19991113,개별난방,아파트,단일계약,5,53,250
16,A13077201,1123010300,260,20040511,개별난방,아파트,단일계약,3,114,104
17,A13084802,1123010400,848,20000529,개별난방,아파트,단일계약,10,103,222
18,A13084803,1123010400,1234,19920311,개별난방,아파트,단일계약,30,642,247
19,A13071302,1123010400,2397,20141023,개별난방,아파트,종합계약,79,0,2901
20,A13002002,1123010400,719,20120726,개별난방,아파트,종합계약,28,0,987
21,A13084804,1123010400,1830,20000706,개별난방,아파트,단일계약,37,688,1254
22,A13085901,1123010400,360,19971222,개별난방+기타,아파트,단일계약,6,60,248
23,A13071301,1123010400,220,19971222,개별난방,아파트,단일계약,3,27,19
24,A13085902,1123010400,385,20051005,개별난방,아파트,단일계약,8,42,404
25,A13085301,1123010400,463,20000513,개별난방,아파트,단일계약,11,98,434
26,A10026180,1123010400,584,20180629,개별난방,아파트,단일계약,32,0,672
27,A13075402,1123010500,472,20110623,개별난방,아파트,단일계약,14,8,550
28,A13003406,1123010500,741,20011123,개별난방,아파트,단일계약,18,227,596
29,A13003404,1123010500,496,19970523,개별난방,아파트,단일계약,23,261,163
30,A13080801,1123010500,228,20030108,개별난방,아파트,단일계약,7,88,173
31,A13003202,1123010500,1110,20000318,개별난방,아파트,종합계약,50,244,966
32,A13003201,1123010500,739,20000802,개별난방,아파트,단일계약,17,237,521
33,A13075404,1123010500,492,20011123,개별난방,아파트,단일계약,5,27,89
34,A13080201,1123010500,319,20020429,개별난방,아파트,단일계약,7,100,285
35,A13080702,1123010500,225,19910619,개별난방,아파트,단일계약,4,150,0
36,A13075405,1123010500,310,20000802,개별난방,아파트,종합계약,4,40,82
37,A13075403,1123010500,432,20000318,개별난방,아파트,단일계약,5,57,110
38,A13003005,1123010500,725,20100812,개별난방,아파트,단일계약,18,0,877
39,A13003002,1123010500,499,19890725,개별난방,아파트,단일계약,6,244,85
40,A13003402,1123010500,231,20050427,개별난방,아파트,종합계약,7,65,198
41,A13003405,1123010500,600,19920103,개별난방,아파트,단일계약,11,204,0
42,A13003003,1123010500,516,20070426,개별난방,아파트,단일계약,32,124,473
43,A10028042,1123010500,243,20130809,개별난방,,,,,
44,A10026232,1123010500,1009,20190405,개별난방,아파트,단일계약,28,2,1196
45,A10025754,1123010500,802,20190122,개별난방,아파트,종합계약,22,9,878
46,A13003007,1123010500,2652,20141013,개별난방,아파트,단일계약,83,0,3190
47,A10026104,1123010500,764,20181130,개별난방,아파트,종합계약,18,7,903
48,A10027089,1123010500,269,20161222,개별난방,아파트,종합계약,2,0,84
49,A10026779,1123010500,146,20010928,개별난방,아파트,종합계약,4,0,168
50,A10023891,1123010500,298,20150217,개별난방,도시형 생활주택(주상복합),종합계약,6,0,324
51,A13010006,1123010600,2182,20031028,개별난방,아파트,단일계약,45,133,2786
52,A13010004,1123010600,859,20070804,개별난방,아파트,종합계약,20,0,981
53,A13084701,1123010600,300,19960611,개별난방,아파트,종합계약,10,89,200
54,A13010002,1123010600,254,20020805,개별난방,주상복합,종합계약,5,0,289
55,A13010003,1123010600,456,19840630,중앙난방,아파트,종합계약,19,350,0
56,A13078701,1123010600,157,20110804,개별난방,주상복합,단일계약,6,0,212
57,A13010005,1123010600,1786,20070628,개별난방,아파트,종합계약,39,217,1853
58,A13084101,1123010600,558,20030430,개별난방,아파트,단일계약,14,17,665
59,A13010001,1123010600,193,20051220,개별난방,아파트,단일계약,9,20,217
60,A10027877,1123010600,193,20151002,개별난방,도시형 생활주택(주상복합),단일계약,2,0,71
61,A10025509,1123010600,132,20131204,개별난방,주상복합,,,,
62,A10025227,1123010600,469,20191022,개별난방,아파트,단일계약,14,0,569
63,A10023253,1123010600,98,20051011,개별난방,,단일계약,5,43,72
64,A10024892,1123010600,75,20070124,개별난방,아파트,,,,
65,A13086703,1123010700,610,19971216,개별난방,아파트,단일계약,7,35,129
66,A13086704,1123010700,960,19971216,개별난방,아파트,단일계약,23,317,881
67,A13086705,1123010700,1089,19780927,중앙난방,아파트,단일계약,20,798,0
68,A13086802,1123010700,371,20010924,개별난방,아파트,단일계약,18,22,430
69,A13086701,1123010700,241,19870616,중앙난방,아파트,단일계약,6,178,0
70,A13071201,1123010700,150,20010924,개별난방,아파트,종합계약,2,0,91
71,A13070101,1123010800,190,20111220,개별난방,아파트,종합계약,8,0,248
72,A13087201,1123010800,736,19890526,개별난방,아파트,단일계약,23,496,0
73,A10023539,1123010800,264,20130624,개별난방,도시형 생활주택(주상복합),단일계약,2,0,139
