,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,신동아리버파크,A15605103,1159010100,1696,20010215,중앙난방,아파트
1,신동아리버파크제2관리사무소,A15676701,1159010100,925,20010215,개별난방,아파트
2,노량진우성,A15605002,1159010100,901,19971216,중앙난방,아파트
3,노량진쌍용예가,A15605003,1159010100,299,20100826,개별난방,아파트
4,노량진삼익,A15605001,1159010100,175,20010711,개별난방,주상복합
5,상도건영,A15603205,1159010100,824,19970912,중앙난방,아파트
6,어바니엘한강,A10023966,1159010100,207,20180724,개별난방,도시형 생활주택(주상복합)
7,더클래식동작,A10024524,1159010100,272,20201117,개별난방,도시형 생활주택(주상복합)
8,상도경향렉스빌,A15603401,1159010200,197,20021015,개별난방,아파트
9,브라운스톤상도,A15603002,1159010200,415,20071226,개별난방,아파트
10,힐스테이트상도프레스티지,A15603008,1159010200,882,20130814,개별난방,아파트
11,상도건영제2 관리사무소,A15603003,1159010200,552,19970912,개별난방,아파트
12,상도1동대림,A15683601,1159010200,279,19951204,개별난방,아파트
13,상도sh-ville,A15603004,1159010200,953,20061103,개별난방,아파트
14,상도더샵,A15603206,1159010200,1122,20070928,개별난방,아파트
15,래미안상도2차,A15603502,1159010200,431,20031030,개별난방,아파트
16,래미안상도3차,A15603006,1159010200,1656,20041224,개별난방,아파트
17,상도두산위브,A15671801,1159010200,190,20100315,개별난방,아파트
18,상도쌍용,A15683901,1159010200,389,20031120,개별난방,아파트
19,상도현대,A15678101,1159010200,194,20030616,개별난방,아파트
20,상도동중앙하이츠빌아파트,A15683402,1159010200,544,20031030,개별난방,아파트
21,상도래미안1차,A15603204,1159010200,517,20041206,개별난방,아파트
22,힐스테이트상도센트럴파크,A15678103,1159010200,1559,20120925,개별난방,아파트
23,상도동원베네스트,A15603001,1159010200,162,20081031,개별난방,아파트
24,아이파크상도동,A15603203,1159010200,400,20040427,개별난방,아파트
25,상도더샵2차,A15603009,1159010200,138,20140407,개별난방,아파트
26,상도래미안1차제2,A15603007,1159010200,164,20041206,개별난방,아파트
27,상도삼호,A15678102,1159010200,682,19940225,중앙난방,아파트
28,상도효성해링턴플레이스,A10027472,1159010200,202,20160203,개별난방,아파트
29,상도2차 두산위브트레지움 아파트,A10027633,1159010200,582,20160127,개별난방,아파트
30,상도 휴엔하임 도시형생횔주택,A10027614,1159010200,298,20160224,개별난방,도시형 생활주택(주상복합)
31,이편한세상 상도노빌리티,A10025768,1159010200,893,20181203,개별난방,아파트
32,상도파크자이 아파트,A10027424,1159010200,471,20160826,개별난방,아파트
33,상도동 롯데캐슬 비엔,A10024777,1159010200,141,20101230,개별난방,
34,상도역롯데캐슬파크엘,A10024365,1159010200,950,20210218,개별난방,아파트
35,본동한신휴플러스제2,A15606006,1159010400,134,20040807,개별난방,아파트
36,유원강변,A15606002,1159010400,306,20000809,개별난방,아파트
37,래미안트윈파크,A15606007,1159010400,523,20111104,개별난방,아파트
38,경동윈츠리버,A15606001,1159010400,272,20041230,개별난방,아파트
39,본동한신휴플러스,A15605102,1159010400,247,20040807,개별난방,아파트
40,본동신동아,A15606004,1159010400,765,19930626,중앙난방,아파트
41,본동SH-ville,A15676702,1159010400,176,20061103,개별난방,아파트
42,본동삼성래미안아파트,A15606003,1159010400,477,20041021,개별난방,아파트
43,한강쌍용,A15606005,1159010400,161,19990430,개별난방,아파트
44,극동강변아파트,A10026873,1159010400,123,19920309,개별난방,아파트
45,우리유앤미,A15679103,1159010500,206,20031226,개별난방,아파트
46,흑석한강센트레빌2차,A15679109,1159010500,963,20121224,개별난방,아파트
47,흑석청호,A15679104,1159010500,346,19971014,개별난방,아파트
48,흑석한강푸르지오,A15679108,1159010500,863,20120802,개별난방,아파트
49,흑석동양,A15607001,1159010500,423,20031104,개별난방,아파트
50,명수대현대아파트,A15679105,1159010500,660,19880829,중앙난방,아파트
51,흑석한강현대,A15685702,1159010500,960,19880907,중앙난방,아파트
52,흑석한강센트레빌,A15679107,1159010500,655,20110916,개별난방,아파트
53,흑석해가든,A15679106,1159010500,154,20101229,개별난방,주상복합
54,아크로 리버하임,A10025770,1159010500,1073,20191224,개별난방,아파트
55,흑석롯데캐슬에듀포레,A10025867,1159010500,545,20181129,개별난방,아파트
56,흑석자이,A10023350,1159010500,1772,20230227,개별난방,아파트
57,동작금강KCC,A15608002,1159010600,276,20031030,개별난방,아파트
58,이수힐스테이트,A15608003,1159010600,680,20130219,개별난방,아파트
59,이수교스위첸,A15608001,1159010600,178,20060330,개별난방,아파트
60,신동아갯마을아파트,A10025175,1159010600,44,20010704,개별난방,아파트
61,이수스위첸포레힐즈아파트,A10023898,1159010600,366,20220228,개별난방,아파트
62,사당롯데캐슬샤인,A15609305,1159010700,444,20031017,개별난방,아파트
63,사당휴먼시아,A15609003,1159010700,480,20090305,개별난방,아파트
64,사당현대아파트,A15681802,1159010700,265,19910424,개별난방,아파트
65,사당신동아4단지,A15677204,1159010700,912,19931221,지역난방,아파트
66,사당자이,A15609502,1159010700,719,19991228,개별난방,아파트
67,사당경남아너스빌,A15609303,1159010700,340,19970228,개별난방,아파트
68,사당유니드,A15609001,1159010700,151,20090203,개별난방,아파트
69,사당4-3우성,A15681501,1159010700,855,19931221,중앙난방,아파트
70,사당삼익그린뷰,A15609401,1159010700,183,20031002,개별난방,아파트
71,사당삼호그린,A15609002,1159010700,211,19991016,개별난방,아파트
72,사당극동,A15681503,1159010700,1550,19931221,중앙난방,아파트
73,사당 대림아파트,A15609005,1159010700,1152,19900807,중앙난방,아파트
74,사당우성2단지,A15681502,1159010700,1080,19931221,중앙난방,아파트
75,사당롯데캐슬,A15609301,1159010700,223,20040922,개별난방,아파트
76,남성두산위브트레지움,A15677501,1159010700,451,20111028,개별난방,아파트
77,사당제일,A15609501,1159010700,296,19870213,개별난방,아파트
78,신동아5,A15609006,1159010700,333,19981120,지역난방,아파트
