Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A15605103,1159010100,1696,20010215.0,중앙난방,아파트,종합계약,34,374,1749
1,A15676701,1159010100,925,20010215.0,개별난방,아파트,단일계약,14,112,217
2,A15605002,1159010100,901,19971216.0,중앙난방,아파트,종합계약,21,327,591
3,A15605003,1159010100,299,20100826.0,개별난방,아파트,단일계약,10,0,333
4,A15605001,1159010100,175,20010711.0,개별난방,주상복합,단일계약,3,1,151
5,A15603205,1159010100,824,19970912.0,중앙난방,아파트,단일계약,21,179,748
6,A10023966,1159010100,207,20180724.0,개별난방,도시형 생활주택(주상복합),종합계약,3,27,113
7,A10024524,1159010100,272,20201117.0,개별난방,도시형 생활주택(주상복합),종합계약,2,79,0
8,A15603401,1159010200,197,20021015.0,개별난방,아파트,단일계약,4,23,231
9,A15603002,1159010200,415,20071226.0,개별난방,아파트,단일계약,13,49,410
10,A15603008,1159010200,882,20130814.0,개별난방,아파트,단일계약,28,0,1185
11,A15603003,1159010200,552,19970912.0,개별난방,아파트,단일계약,8,20,113
12,A15683601,1159010200,279,19951204.0,개별난방,아파트,단일계약,5,50,241
13,A15603004,1159010200,953,20061103.0,개별난방,아파트,단일계약,10,86,689
14,A15603206,1159010200,1122,20070928.0,개별난방,아파트,단일계약,41,47,1591
15,A15603502,1159010200,431,20031030.0,개별난방,아파트,단일계약,17,33,455
16,A15603006,1159010200,1656,20041224.0,개별난방,아파트,종합계약,58,277,1995
17,A15671801,1159010200,190,20100315.0,개별난방,아파트,종합계약,8,5,250
18,A15683901,1159010200,389,20031120.0,개별난방,아파트,단일계약,15,124,328
19,A15678101,1159010200,194,20030616.0,개별난방,아파트,단일계약,6,11,195
20,A15683402,1159010200,544,20031030.0,개별난방,아파트,종합계약,17,135,573
21,A15603204,1159010200,517,20041206.0,개별난방,아파트,단일계약,15,86,563
22,A15678103,1159010200,1559,20120925.0,개별난방,아파트,종합계약,57,9,1958
23,A15603001,1159010200,162,20081031.0,개별난방,아파트,단일계약,6,23,162
