Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A12287204,1138010100,976,20030710.0,개별난방,아파트,단일계약,29,282,779
1,A12287203,1138010100,464,20030710.0,개별난방,아파트,단일계약,6,32,131
2,A12287202,1138010100,280,20030725.0,개별난방,아파트,단일계약,10,18,289
3,A12275501,1138010100,209,20090924.0,개별난방,주상복합,종합계약,10,0,476
4,A12209001,1138010100,196,20000316.0,개별난방,아파트,종합계약,8,50,176
5,A10024828,1138010100,1192,20211209.0,개별난방,아파트,단일계약,34,12,1356
6,A10024086,1138010100,644,20211029.0,개별난방,아파트,종합계약,17,0,785
7,A12283603,1138010200,370,19930928.0,개별난방,아파트,종합계약,10,115,157
8,A12283602,1138010200,341,20020930.0,개별난방,아파트,단일계약,7,79,237
9,A12283601,1138010200,192,20010524.0,개별난방,아파트,종합계약,8,67,199
10,A10027816,1138010200,1230,20150722.0,개별난방,아파트,단일계약,42,0,1532
11,A10025836,1138010200,952,20181010.0,개별난방,아파트,종합계약,29,0,1056
12,A10025846,1138010200,1305,20181227.0,개별난방,아파트,단일계약,54,0,1395
13,A10024774,1138010200,111,20011104.0,개별난방,아파트,종합계약,4,63,97
14,A12284701,1138010300,198,20000902.0,개별난방,아파트,단일계약,8,0,212
15,A12285703,1138010300,1340,19881013.0,중앙난방,아파트,단일계약,23,578,212
16,A12204002,1138010300,256,20040630.0,개별난방,아파트,종합계약,7,14,263
17,A12204004,1138010300,1185,20100825.0,개별난방,아파트,단일계약,43,17,1220
18,A12204006,1138010300,488,20130926.0,개별난방,아파트,단일계약,19,0,593
19,A12204001,1138010300,155,20060901.0,개별난방,아파트,단일계약,6,37,114
20,A12204003,1138010300,603,20090716.0,개별난방,아파트,종합계약,31,3,677
21,A12204102,1138010300,662,20040529.0,개별난방,아파트,종합계약,26,109,660
22,A12275201,1138010300,647,20100830.0,개별난방,아파트,종합계약,24,0,755
23,A12275202,1138010300,882,20110729.0,개별난방,아파트,종합계약,35,1236,0
24,A10028056,1138010300,188,20110729.0,개별난방,아파트,단일계약,2,0,192
25,A12204005,1138010300,135,20100830.0,개별난방,아파트,,0,,
26,A10026061,1138010300,103,19920328.0,개별난방,아파트,종합계약,3,39,35
27,A10027568,1138010300,100,20050904.0,개별난방,아파트,단일계약,1,0,70
28,A10027569,1138010300,147,20100825.0,개별난방,아파트,,,,
29,A10024026,1138010300,201,20210430.0,개별난방,아파트,종합계약,3,6,120
30,A10024198,1138010300,100,20181129.0,개별난방,아파트,,,,
31,A12281801,1138010400,193,19971209.0,개별난방,아파트,단일계약,6,76,132
32,A12271402,1138010400,175,20040630.0,개별난방,주상복합,종합계약,4,20,250
33,A12281702,1138010400,278,19970508.0,개별난방,아파트,단일계약,7,94,192
34,A12205001,1138010400,200,19970507.0,개별난방,아파트,단일계약,8,47,162
35,A12281701,1138010400,191,20030923.0,개별난방,아파트,단일계약,8,32,203
36,A10024128,1138010400,110,20000421.0,개별난방,아파트,단일계약,4,20,200
37,A12282201,1138010500,171,19891110.0,개별난방,아파트,종합계약,4,180,10
38,A12282203,1138010500,475,20040813.0,개별난방,아파트,단일계약,28,171,456
39,A12282102,1138010500,189,20060327.0,개별난방,아파트,종합계약,8,0,228
40,A12205004,1138010500,366,19981128.0,개별난방,아파트,종합계약,8,91,276
41,A12205003,1138010500,327,20041011.0,개별난방,아파트,단일계약,9,40,347
