,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,미아동부센트레빌,A14280502,1130510100,480,20060425,개별난방,아파트
1,SK북한산시티아파트,A14272304,1130510100,3830,20040507,개별난방,아파트
2,한일유앤아이,A14272303,1130510100,384,20021129,개별난방,아파트
3,미아2동경남아너스빌,A14282301,1130510100,208,20080125,개별난방,아파트
4,삼각산아이원임대,A14210001,1130510100,673,20031230,개별난방,아파트
5,SK북한산시티임대,A14272311,1130510100,1497,20040507,개별난방,아파트
6,미아경남아너스빌,A14272306,1130510100,860,20030620,개별난방,아파트
7,래미안트리베라2차,A14272308,1130510100,1330,20100528,개별난방,아파트
8,벽산라이브파크,A14272305,1130510100,1585,20040807,개별난방,아파트
9,송천센트레빌,A14272313,1130510100,376,20100910,개별난방,아파트
10,벽산라이브파크2차,A14272310,1130510100,490,20040807,개별난방,아파트
11,미아현대,A14272307,1130510100,231,19921221,개별난방,아파트
12,현대성우,A14281701,1130510100,216,19981027,개별난방,주상복합
13,삼각산아이원,A14210002,1130510100,1344,20031230,개별난방,아파트
14,래미안미아1차,A14277601,1130510100,306,20061109,개별난방,아파트
15,래미안트리베라1차,A14272309,1130510100,1247,20100528,개별난방,아파트
16,미아뉴타운두산위브트레지움,A14272314,1130510100,1370,20111031,개별난방,아파트
17,꿈의숲롯데캐슬아파트,A10026947,1130510100,615,20170227,개별난방,아파트
18,꿈의숲한신더휴아파트,A10023829,1130510100,203,20220428,개별난방,아파트
19,수유역푸르지오시티,A10024034,1130510100,298,20141017,개별난방,도시형 생활주택(주상복합)
20,꿈의숲 해링턴 플레이스 아파트,A10025241,1130510100,1028,20190927,개별난방,아파트
21,번동한솔솔파크,A14206303,1130510200,225,20050901,개별난방,아파트
22,번동솔그린,A14206307,1130510200,380,19990916,개별난방,아파트
23,번동주공4단지,A14206202,1130510200,900,19910423,개별난방,아파트
24,번동신원,A14206306,1130510200,285,20000608,개별난방,아파트
25,수유역두산위브,A14270301,1130510200,292,20090629,개별난방,아파트
26,번동한진,A14206302,1130510200,202,20001229,개별난방,아파트
27,번동삼성,A14206001,1130510200,228,19981203,개별난방,아파트
28,번동한양,A14286104,1130510200,261,19921106,개별난방,아파트
29,번동금호어울림,A14206002,1130510200,284,19980624,개별난방,아파트
30,번동1단지주공아파트,A14206003,1130510200,1430,19910518,중앙난방,아파트
31,번동기산그린,A14206305,1130510200,263,20000224,개별난방,아파트
32,번동주공2단지,A14206310,1130510200,1766,19910518,중앙난방,아파트
33,번동주공5단지,A14286203,1130510200,1123,19910513,중앙난방,아파트
34,해모로,A14286108,1130510200,430,20030728,개별난방,아파트
35,번동동문아파트,A14206301,1130510200,167,19980814,개별난방,아파트
36,번동주공3단지,A14276311,1130510200,1292,19901109,중앙난방,아파트
37,오동공원현대홈타운,A14206201,1130510200,245,20010911,개별난방,아파트
38,쌍용,A14206004,1130510200,99,19970531,개별난방,아파트
39,수유극동아파트,A14278101,1130510300,574,19920323,개별난방,아파트
40,수유벽산,A14207203,1130510300,1454,19931117,개별난방,아파트
41,래미안수유(임대),A14207201,1130510300,180,20011129,개별난방,아파트
42,래미안수유,A14207202,1130510300,510,20011129,개별난방,아파트
43,에피소드수유838,A10023955,1130510300,558,20211210,개별난방+기타,아파트
44,칸타빌수유팰리스,A10023268,1130510300,216,20220629,개별난방,아파트
45,우이대우,A14209001,1130510400,260,20001116,개별난방,아파트
46,우이동성원아파트,A14287102,1130510400,262,19901019,개별난방,아파트
