Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A14280502,1130510100,480,20060425,개별난방,아파트,단일계약,15,29,534
1,A14272304,1130510100,3830,20040507,개별난방,아파트,종합계약,84,734,4082
2,A14272303,1130510100,384,20021129,개별난방,아파트,단일계약,12,130,401
3,A14282301,1130510100,208,20080125,개별난방,아파트,단일계약,8,88,144
4,A14210001,1130510100,673,20031230,개별난방,아파트,단일계약,6,90,258
5,A14272311,1130510100,1497,20040507,개별난방,아파트,단일계약,17,115,579
6,A14272306,1130510100,860,20030620,개별난방,아파트,종합계약,19,221,848
7,A14272308,1130510100,1330,20100528,개별난방,아파트,단일계약,36,1565,300
8,A14272305,1130510100,1585,20040807,개별난방,아파트,단일계약,34,1868,38
9,A14272313,1130510100,376,20100910,개별난방,아파트,단일계약,14,0,402
10,A14272310,1130510100,490,20040807,개별난방,아파트,단일계약,6,25,322
11,A14272307,1130510100,231,19921221,개별난방,아파트,기타,10,96,108
12,A14281701,1130510100,216,19981027,개별난방,주상복합,종합계약,5,0,271
13,A14210002,1130510100,1344,20031230,개별난방,아파트,단일계약,33,291,1374
14,A14277601,1130510100,306,20061109,개별난방,아파트,종합계약,11,0,329
15,A14272309,1130510100,1247,20100528,개별난방,아파트,기타,43,21,1539
16,A14272314,1130510100,1370,20111031,개별난방,아파트,단일계약,44,1753,0
17,A10026947,1130510100,615,20170227,개별난방,아파트,종합계약,25,9,707
18,A10023829,1130510100,203,20220428,개별난방,아파트,기타,8,0,227
19,A10024034,1130510100,298,20141017,개별난방,도시형 생활주택(주상복합),단일계약,2,0,71
20,A10025241,1130510100,1028,20190927,개별난방,아파트,종합계약,47,0,1365
21,A14206303,1130510200,225,20050901,개별난방,아파트,단일계약,8,127,128
22,A14206307,1130510200,380,19990916,개별난방,아파트,단일계약,8,65,246
23,A14206202,1130510200,900,19910423,개별난방,아파트,단일계약,20,519,0
24,A14206306,1130510200,285,20000608,개별난방,아파트,단일계약,5,44,190
25,A14270301,1130510200,292,20090629,개별난방,아파트,단일계약,8,49,340
26,A14206302,1130510200,202,20001229,개별난방,아파트,종합계약,6,38,139
27,A14206001,1130510200,228,19981203,개별난방,아파트,단일계약,6,52,150
28,A14286104,1130510200,261,19921106,개별난방,아파트,종합계약,9,198,20
29,A14206002,1130510200,284,19980624,개별난방,아파트,종합계약,8,22,211
30,A14206003,1130510200,1430,19910518,중앙난방,아파트,단일계약,16,554,0
31,A14206305,1130510200,263,20000224,개별난방,아파트,단일계약,5,95,117
32,A14206310,1130510200,1766,19910518,중앙난방,아파트,단일계약,24,437,0
33,A14286203,1130510200,1123,19910513,중앙난방,아파트,단일계약,17,477,0
34,A14286108,1130510200,430,20030728,개별난방,아파트,단일계약,10,52,459
35,A14206301,1130510200,167,19980814,개별난방,아파트,단일계약,10,19,181
36,A14276311,1130510200,1292,19901109,중앙난방,아파트,단일계약,16,358,0
37,A14206201,1130510200,245,20010911,개별난방,아파트,종합계약,9,40,296
38,A14206004,1130510200,99,19970531,개별난방,아파트,종합계약,3,18,66
39,A14278101,1130510300,574,19920323,개별난방,아파트,단일계약,23,315,0
40,A14207203,1130510300,1454,19931117,개별난방,아파트,종합계약,46,890,240
41,A14207201,1130510300,180,20011129,개별난방,아파트,단일계약,2,7,117
42,A14207202,1130510300,510,20011129,개별난방,아파트,단일계약,13,51,559
43,A10023955,1130510300,558,20211210,개별난방+기타,아파트,단일계약,10,0,557
44,A10023268,1130510300,216,20220629,개별난방,아파트,종합계약,7,0,232
45,A14209001,1130510400,260,20001116,개별난방,아파트,종합계약,28,34,253
46,A14287102,1130510400,262,19901019,개별난방,아파트,단일계약,9,161,0
