,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,명일신동아,A13407204,1174010100,570,19860208,중앙난방,아파트
1,명일삼익그린2차,A13407104,1174010100,2400,19831217,중앙난방,아파트
2,고덕현대아파트,A13478601,1174010100,524,19860207,중앙난방,아파트
3,"명일삼익가든1,2차",A13407002,1174010100,768,19841016,개별난방,아파트
4,고덕주공9단지,A13482706,1174010100,1320,19851125,중앙난방,아파트
5,명일현대,A13482801,1174010100,226,19881004,개별난방,아파트
6,명일삼익그린11차,A13407201,1174010100,152,19860630,개별난방,아파트
7,명일삼환아파트,A13407202,1174010100,306,19920630,개별난방,아파트
8,명일한양,A13482603,1174010100,540,19860510,중앙난방,아파트
9,명일동우성,A13482505,1174010100,572,19860523,중앙난방,아파트
10,명일진로,A13478602,1174010100,68,,,
11,래미안솔베뉴,A10025415,1174010100,1900,20190624,개별난방,아파트
12,삼환고덕아파트,A10026002,1174010100,120,19870627,중앙난방,아파트
13,명일지에스,A13483002,1174010100,772,19991227,개별난방,아파트
14,고덕현대,A13480401,1174010200,448,19951130,개별난방,아파트
15,고덕아이파크아파트,A13408003,1174010200,1142,20111228,지역난방,아파트
16,고덕주공8단지상록,A13480402,1174010200,700,19841207,개별난방,아파트
17,고덕아남,A13480403,1174010200,807,19960329,개별난방,아파트
18,래미안힐스테이트 고덕 ,A10027207,1174010200,3658,20161229,지역난방,아파트
19,고덕 그라시움 아파트,A10025263,1174010200,4932,20190927,지역난방,아파트
20,고덕센트럴푸르지오,A10024562,1174010200,656,20200820,지역난방,주상복합
21,명일중앙하이츠아파트,A13483803,1174010300,410,19920509,개별난방,아파트
22,고덕리엔파크3단지,A13472701,1174010300,2283,20110127,지역난방,아파트
23,상일동아,A13409001,1174010300,186,19970621,개별난방,아파트
24,고덕숲아이파크아파트,A10026403,1174010300,687,20180308,지역난방,아파트
25,고덕롯데캐슬베네루체,A10025112,1174010300,1859,20191230,지역난방,아파트
26,고덕센트럴 아이파크,A10025104,1174010300,1745,20191230,지역난방,아파트
27,강동리엔파크13단지아파트,A10023855,1174010300,675,20220415,지역난방,아파트
28,강동리엔파크11단지,A10024420,1174010300,600,20210215,지역난방,아파트
29,고덕자이 아파트,A10024473,1174010300,1824,20210107,지역난방,아파트
30,상일우성타운,A10024798,1174010300,105,19890504,개별난방,연립주택
31,고덕 아르테온 아파트,A10025010,1174010300,4066,20200226,지역난방,아파트
32,강동리엔파크 14단지 아파트,A10024412,1174010300,943,20210210,지역난방,아파트
