Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A13407204,1174010100,570,19860208.0,중앙난방,아파트,종합계약,19,355,0
1,A13407104,1174010100,2400,19831217.0,중앙난방,아파트,단일계약,49,2300,0
2,A13478601,1174010100,524,19860207.0,중앙난방,아파트,종합계약,18,462,0
3,A13407002,1174010100,768,19841016.0,개별난방,아파트,단일계약,18,654,0
4,A13482706,1174010100,1320,19851125.0,중앙난방,아파트,단일계약,22,1104,0
5,A13482801,1174010100,226,19881004.0,개별난방,아파트,종합계약,4,49,32
6,A13407201,1174010100,152,19860630.0,개별난방,아파트,단일계약,5,155,0
7,A13407202,1174010100,306,19920630.0,개별난방,아파트,단일계약,9,76,145
8,A13482603,1174010100,540,19860510.0,중앙난방,아파트,단일계약,18,356,0
9,A13482505,1174010100,572,19860523.0,중앙난방,아파트,종합계약,20,640,0
10,A13478602,1174010100,68,,,,,,,
11,A10025415,1174010100,1900,20190624.0,개별난방,아파트,종합계약,42,0,2304
12,A10026002,1174010100,120,19870627.0,중앙난방,아파트,,,,
13,A13483002,1174010100,772,19991227.0,개별난방,아파트,단일계약,15,149,670
14,A13480401,1174010200,448,19951130.0,개별난방,아파트,단일계약,10,67,389
15,A13408003,1174010200,1142,20111228.0,지역난방,아파트,종합계약,38,0,2011
16,A13480402,1174010200,700,19841207.0,개별난방,아파트,종합계약,,461,0
17,A13480403,1174010200,807,19960329.0,개별난방,아파트,단일계약,22,168,524
18,A10027207,1174010200,3658,20161229.0,지역난방,아파트,종합계약,96,0,3972
19,A10025263,1174010200,4932,20190927.0,지역난방,아파트,종합계약,135,0,6905
20,A10024562,1174010200,656,20200820.0,지역난방,주상복합,종합계약,18,0,647
21,A13483803,1174010300,410,19920509.0,개별난방,아파트,단일계약,12,350,15
22,A13472701,1174010300,2283,20110127.0,지역난방,아파트,단일계약,55,0,2604
23,A13409001,1174010300,186,19970621.0,개별난방,아파트,단일계약,4,23,162
24,A10026403,1174010300,687,20180308.0,지역난방,아파트,종합계약,18,0,914
25,A10025112,1174010300,1859,20191230.0,지역난방,아파트,종합계약,51,0,2392
26,A10025104,1174010300,1745,20191230.0,지역난방,아파트,종합계약,51,0,2550
27,A10023855,1174010300,675,20220415.0,지역난방,아파트,단일계약,24,6,620
28,A10024420,1174010300,600,20210215.0,지역난방,아파트,종합계약,11,0,369
29,A10024473,1174010300,1824,20210107.0,지역난방,아파트,종합계약,59,0,2400
30,A10024798,1174010300,105,19890504.0,개별난방,연립주택,,,,
31,A10025010,1174010300,4066,20200226.0,지역난방,아파트,종합계약,100,0,6405
32,A10024412,1174010300,943,20210210.0,지역난방,아파트,종합계약,23,0,823
33,A13481305,1174010500,811,19941029.0,개별난방,아파트,종합계약,21,179,296
34,A13480803,1174010500,264,19960809.0,개별난방,아파트,종합계약,8,55,209
35,A13488104,1174010500,596,20031112.0,개별난방,아파트,단일계약,16,20,957
36,A13470104,1174010500,207,20141006.0,개별난방,주상복합,단일계약,3,68,0
37,A13470103,1174010500,128,19980915.0,개별난방,아파트,단일계약,3,21,114
38,A13470101,1174010500,1092,19820904.0,개별난방,아파트,단일계약,24,880,0
39,A13481001,1174010500,162,19891006.0,개별난방,아파트,단일계약,9,120,44
40,A13470102,1174010500,236,20130430.0,개별난방,주상복합,단일계약,4,3,0
41,A10024972,1174010500,95,19991126.0,개별난방,아파트,,,,
42,A10024932,1174010500,366,20200414.0,개별난방,아파트,종합계약,8,0,482
43,A13470503,1174010600,800,20100312.0,개별난방,아파트,단일계약,21,11,1144
44,A13406204,1174010600,357,20021115.0,개별난방,아파트,종합계약,8,37,331
45,A13406003,1174010600,232,19980501.0,개별난방,아파트,기타,5,60,184
46,A13406002,1174010600,170,19971231.0,개별난방,아파트,단일계약,5,52,120
47,A13470502,1174010600,278,20001209.0,개별난방,아파트,단일계약,6,18,330
48,A13406005,1174010600,354,19841210.0,개별난방,아파트,단일계약,12,444,0
49,A13406205,1174010600,460,19980502.0,개별난방,아파트,종합계약,7,132,349
50,A13481802,1174010600,235,19960229.0,개별난방,아파트,단일계약,7,81,102
51,A13406201,1174010600,196,19880129.0,개별난방,아파트,단일계약,3,81,0
52,A13470504,1174010600,160,19880602.0,개별난방,아파트,단일계약,4,127,33
53,A13406007,1174010600,74,,,,,,,
54,A13485401,1174010700,203,20020129.0,개별난방,아파트,단일계약,9,74,177
55,A13405002,1174010700,490,20021101.0,개별난방,아파트,단일계약,12,73,554
56,A13405201,1174010700,2938,20000615.0,개별난방,아파트,단일계약,48,608,2403
57,A13471501,1174010700,417,19990531.0,개별난방,아파트,단일계약,9,86,388
58,A13405003,1174010700,1622,20070709.0,개별난방,아파트,종합계약,35,0,2185
59,A13485302,1174010700,3226,20080925.0,개별난방+기타,아파트,단일계약,62,0,4633
60,A13485301,1174010700,568,20040827.0,개별난방,아파트,종합계약,12,85,597
61,A10025174,1174010700,460,20191112.0,개별난방,아파트,단일계약,11,0,587
62,A13484501,1174010800,222,19990311.0,개별난방,아파트,종합계약,5,55,167
63,A13403001,1174010800,151,20041124.0,개별난방,아파트,종합계약,7,28,156
64,A13484102,1174010800,257,19990518.0,개별난방,아파트,종합계약,6,61,229
65,A13403002,1174010800,349,20020725.0,개별난방,아파트,단일계약,7,44,299
66,A13403101,1174010800,1220,19990901.0,중앙난방,아파트,단일계약,27,370,892
67,A13484201,1174010800,203,20031114.0,개별난방,아파트,종합계약,8,68,195
68,A13484004,1174010800,325,20041021.0,개별난방,주상복합,단일계약,6,16,228
69,A13484003,1174010800,277,19871212.0,개별난방,아파트,단일계약,4,277,0
70,A13403005,1174010800,65,,,,,,,
71,A10027354,1174010800,482,20160818.0,개별난방,아파트,단일계약,12,0,583
72,A13403004,1174010800,46,20080724.0,,주상복합,,0,,
73,A13402103,1174010900,479,19850202.0,개별난방,아파트,단일계약,14,342,0
74,A13487102,1174010900,185,19990202.0,개별난방,주상복합,종합계약,5,0,192
75,A13402304,1174010900,264,19991121.0,개별난방,아파트,단일계약,3,11,90
76,A13402002,1174010900,385,19991120.0,개별난방,아파트,종합계약,8,59,376
77,A13486703,1174010900,174,19970826.0,개별난방,아파트,단일계약,5,10,145
