Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A13508012,1168010100,411,20140124.0,지역난방,아파트,단일계약,11,0,588
1,A13579501,1168010100,332,20060814.0,지역난방,아파트,종합계약,9,0,552
2,A13592604,1168010100,738,20060102.0,지역난방,아파트,단일계약,20,0,743
3,A13508009,1168010100,541,20060928.0,지역난방,아파트,단일계약,14,0,914
4,A13508004,1168010100,206,19980421.0,중앙난방,아파트,종합계약,5,48,160
5,A13579504,1168010100,294,20010130.0,개별난방,주상복합,단일계약,3,0,213
6,A13508003,1168010100,168,20040525.0,개별난방,아파트,기타,6,13,276
7,A13508010,1168010100,166,20070119.0,개별난방,주상복합,종합계약,10,0,238
8,A13508002,1168010100,164,20020501.0,개별난방,주상복합,단일계약,5,0,228
9,A13579506,1168010100,240,20120817.0,지역난방,아파트,종합계약,6,0,387
10,A13508006,1168010100,288,20071130.0,지역난방,아파트,단일계약,8,0,665
11,A13508011,1168010100,464,20100604.0,지역난방,아파트,종합계약,11,0,626
12,A13592601,1168010100,438,20060831.0,지역난방,아파트,단일계약,14,0,771
13,A13592002,1168010100,457,20020625.0,지역난방,주상복합,기타,5,0,330
14,A13592706,1168010100,1050,20051026.0,지역난방,아파트,단일계약,24,126,927
15,A13579505,1168010100,476,20091228.0,지역난방,아파트,종합계약,13,0,582
16,A13508001,1168010100,160,19990619.0,개별난방,주상복합,단일계약,4,0,121
17,A13508005,1168010100,216,19961126.0,개별난방,아파트,종합계약,2,10,156
18,A13579503,1168010100,150,20081202.0,개별난방,아파트,단일계약,5,13,187
19,A13508013,1168010100,56,,,,,,,
20,A13592605,1168010100,840,20051216.0,지역난방,아파트,종합계약,23,0,852
21,A13591402,1168010100,183,20031202.0,개별난방,아파트,종합계약,7,84,250
22,A10027474,1168010100,408,20160622.0,지역난방,아파트,종합계약,11,0,615
23,A10023825,1168010100,499,20220428.0,지역난방,아파트,종합계약,34,0,904
24,A10024820,1168010100,137,20011109.0,개별난방,아파트,,,,
25,A10024813,1168010100,117,20070226.0,개별난방,아파트,,,,
26,A13599303,1168010300,1060,19831026.0,지역난방,아파트,단일계약,19,800,0
27,A13594007,1168010300,822,19921014.0,지역난방,아파트,기타,6,249,27
28,A13580602,1168010300,678,19840308.0,지역난방,아파트,단일계약,26,747,0
29,A13524004,1168010300,405,19841231.0,지역난방,아파트,단일계약,11,419,0
30,A13599402,1168010300,940,19831026.0,지역난방,아파트,단일계약,12,652,0
31,A13524005,1168010300,416,19840420.0,지역난방,아파트,단일계약,16,453,0
32,A13593908,1168010300,1623,19911120.0,지역난방,아파트,기타,12,389,0
33,A13580001,1168010300,198,19860331.0,지역난방,아파트,단일계약,11,230,0
34,A13524006,1168010300,558,19860131.0,지역난방,아파트,종합계약,31,500,0
35,A13593901,1168010300,212,20040617.0,지역난방,아파트,종합계약,6,19,483
36,A13524009,1168010300,1753,19921014.0,지역난방,아파트,단일계약,14,438,73
37,A13580002,1168010300,261,19870921.0,지역난방,아파트,단일계약,14,138,0
38,A13599301,1168010300,900,19831026.0,지역난방,아파트,단일계약,8,1100,0
39,A10025203,1168010300,1320,20190829.0,지역난방,아파트,종합계약,37,0,2103
40,A10025675,1168010300,1957,20190226.0,지역난방,아파트,종합계약,65,0,3153
41,A10023565,1168010300,270,19871121.0,개별난방,아파트,단일계약,,275,0
42,A10024564,1168010300,2296,20200928.0,지역난방,아파트,종합계약,83,8,3953
43,A10023996,1168010300,232,20211201.0,지역난방,아파트,종합계약,9,8,297
44,A10023348,1168010300,3375,20230228.0,지역난방,,,,,
45,A13510003,1168010400,196,20040422.0,지역난방,아파트,단일계약,7,15,358
46,A13510001,1168010400,158,19971219.0,개별난방,아파트,단일계약,4,25,135
47,A13510201,1168010400,184,19991130.0,지역난방,아파트,종합계약,5,69,137
48,A13510203,1168010400,217,19991029.0,개별난방,아파트,단일계약,5,44,275
49,A13510102,1168010400,317,19990619.0,지역난방,아파트,단일계약,9,60,354
50,A13510006,1168010400,271,20021230.0,개별난방,아파트,단일계약,8,115,285
51,A13510103,1168010400,391,19990830.0,지역난방,아파트,단일계약,26,100,454
52,A13510202,1168010400,214,19880530.0,지역난방,아파트,단일계약,9,113,75
53,A13576201,1168010400,240,19940905.0,개별난방,아파트,단일계약,7,60,149
54,A13510005,1168010400,630,19840718.0,지역난방,아파트,종합계약,17,1050,0
55,A13510002,1168010400,191,20051021.0,개별난방,주상복합,종합계약,3,142,142
56,A13510009,1168010400,177,19920131.0,개별난방,아파트,단일계약,7,49,167
57,A13510007,1168010400,708,20111021.0,지역난방,아파트,종합계약,19,0,905
58,A10025280,1168010400,108,19921028.0,개별난방,아파트,단일계약,3,14,129
59,A10025755,1168010400,106,19970220.0,개별난방,아파트,종합계약,4,17,82
60,A10024640,1168010400,142,20060427.0,개별난방,아파트,종합계약,7,72,145
61,A10024186,1168010400,100,19991029.0,지역난방,,종합계약,3,9,132
62,A13509001,1168010500,198,19990416.0,개별난방,아파트,단일계약,4,30,245
63,A13570501,1168010500,926,20081210.0,지역난방,아파트,종합계약,21,0,1291
64,A13550701,1168010500,298,20041229.0,지역난방,아파트,종합계약,7,0,520
65,A13509005,1168010500,275,20070525.0,지역난방,아파트,종합계약,10,0,484
66,A13509004,1168010500,263,19981116.0,개별난방,아파트,단일계약,4,31,272
67,A13509010,1168010500,713,20070326.0,지역난방,아파트,종합계약,19,10,1368
68,A13509006,1168010500,304,19981106.0,개별난방,아파트,단일계약,10,38,259
69,A13509003,1168010500,252,19980727.0,개별난방,아파트,단일계약,5,61,220
70,A13587603,1168010500,293,20040622.0,개별난방,주상복합,단일계약,4,0,341
71,A13509012,1168010500,1144,20081210.0,지역난방,아파트,단일계약,28,0,1514
72,A13509007,1168010500,339,20000415.0,지역난방,아파트,종합계약,8,100,400
73,A13570502,1168010500,77,20051229.0,개별난방,아파트,,,,
74,A13509013,1168010500,112,20051219.0,개별난방,아파트,종합계약,8,30,210
75,A13509015,1168010500,36,,,,,,,
76,A13509101,1168010500,167,19900818.0,개별난방,아파트,단일계약,7,104,61
77,A13509009,1168010500,449,20040318.0,지역난방,아파트,종합계약,12,0,1247
78,A13509014,1168010500,133,20060427.0,개별난방,아파트,,,,
79,A10026350,1168010500,416,20180330.0,지역난방,아파트,종합계약,11,0,743
80,A10026934,1168010500,118,20051129.0,개별난방,아파트,단일계약,18,0,276
81,A10024131,1168010500,679,20210917.0,지역난방,아파트,종합계약,19,0,1211
82,A10023939,1168010500,139,19960408.0,개별난방,아파트,종합계약,3,25,123
83,A10024819,1168010500,127,20011227.0,개별난방,아파트,,,,
84,A10024435,1168010500,59,20040701.0,개별난방,,,,,
85,A13528102,1168010600,768,20080603.0,지역난방,아파트,종합계약,17,0,1171
86,A13528103,1168010600,805,20050128.0,지역난방,아파트,종합계약,21,0,1804
87,A13528004,1168010600,2436,19831128.0,지역난방,아파트,단일계약,73,2997,0
88,A13583604,1168010600,1034,19831212.0,중앙난방,아파트,단일계약,36,1059,0
89,A13583701,1168010600,630,19990614.0,지역난방,아파트,종합계약,15,74,612
90,A13528003,1168010600,960,20000731.0,지역난방,아파트,종합계약,25,227,1011
91,A13528007,1168010600,354,19891206.0,지역난방,아파트,종합계약,16,0,461
92,A13528005,1168010600,372,20040429.0,개별난방,주상복합,단일계약,5,0,280
93,A13528105,1168010600,1140,19831217.0,중앙난방,아파트,단일계약,38,1200,0
94,A13528001,1168010600,210,20040223.0,개별난방,주상복합,단일계약,4,9,201
95,A13584101,1168010600,276,20040930.0,지역난방,아파트,종합계약,7,0,655
96,A13583507,1168010600,4424,19790830.0,지역난방,아파트,단일계약,42,3021,0
97,A13528008,1168010600,83,,,,,,,
98,A13583403,1168010600,476,19840127.0,지역난방,아파트,단일계약,17,498,0
99,A13583404,1168010600,630,19830307.0,지역난방,아파트,종합계약,21,670,0
100,A13583402,1168010600,364,19831130.0,지역난방,아파트,단일계약,13,468,0
101,A10027800,1168010600,1608,20150922.0,지역난방,아파트,종합계약,41,0,3119
102,A10025646,1168010600,19,20030828.0,개별난방,아파트,단일계약,5,10,119
103,A10026526,1168010600,75,20040630.0,개별난방,아파트,단일계약,8,21,104
104,A10024102,1168010600,273,20210917.0,개별난방,아파트,종합계약,15,0,412
105,A10024815,1168010600,144,20080222.0,지역난방,아파트,,,,
106,A10026924,1168010600,239,20170620.0,지역난방,아파트,종합계약,8,0,411
107,A10024821,1168010600,142,20020829.0,지역난방,,,,,
108,A10024799,1168010600,120,19900419.0,지역난방,아파트,종합계약,4,93,0
109,A10028094,1168010700,86,20040420.0,개별난방,아파트,종합계약,4,8,230
110,A10024029,1168010700,63,20081006.0,개별난방,아파트,종합계약,,0,82
111,A10024814,1168010700,139,19981116.0,지역난방,아파트,,,,
112,A10024805,1168010700,130,20010720.0,개별난방,아파트,종합계약,6,4,166
113,A13501004,1168010800,644,19970704.0,개별난방,아파트,단일계약,20,226,458
114,A13501001,1168010800,203,20040602.0,개별난방,아파트,종합계약,8,0,572
115,A13572601,1168010800,236,20120817.0,개별난방,주상복합,종합계약,5,0,189
116,A13582002,1168010800,548,19850803.0,지역난방,아파트,종합계약,21,580,0
117,A13501007,1168010800,111,19960724.0,개별난방,아파트,,,,
118,A13501008,1168010800,113,,,아파트,,,,
119,A13583301,1168010800,160,20031224.0,개별난방,아파트,단일계약,5,13,226
120,A13501006,1168010800,368,20141208.0,지역난방,아파트,종합계약,10,0,645
121,A13501002,1168010800,260,20041126.0,개별난방,주상복합,단일계약,4,16,184
122,A10024457,1168010800,136,20040630.0,개별난방,,,,,
123,A10023245,1168010800,283,20230113.0,개별난방,,,0,,
