Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A15786116,1150010100,290,19990402.0,개별난방,아파트,단일계약,8,40,238
1,A15704015,1150010100,284,20050328.0,개별난방,아파트,종합계약,12,0,450
2,A15786118,1150010100,330,19950708.0,개별난방,아파트,단일계약,9,204,117
3,A15786426,1150010100,498,19940421.0,개별난방,아파트,단일계약,21,215,181
4,A15704025,1150010100,455,20050923.0,개별난방,아파트,단일계약,13,145,385
5,A15776001,1150010100,164,20100330.0,개별난방,아파트,종합계약,6,0,231
6,A15786321,1150010100,350,19970801.0,개별난방,아파트,단일계약,9,123,203
7,A15786314,1150010100,277,19991111.0,개별난방,아파트,단일계약,6,43,264
8,A15704006,1150010100,196,19930115.0,개별난방,아파트,종합계약,8,83,77
9,A15786222,1150010100,356,19941005.0,개별난방,아파트,단일계약,9,198,115
10,A15786420,1150010100,348,19951213.0,개별난방,아파트,단일계약,8,67,224
11,A15786111,1150010100,249,20000527.0,개별난방,아파트,단일계약,6,47,238
12,A15786405,1150010100,186,19920520.0,개별난방,아파트,단일계약,6,144,0
13,A15786424,1150010100,422,20050401.0,개별난방,아파트,종합계약,11,6,502
14,A15786104,1150010100,178,19940222.0,개별난방,아파트,단일계약,5,40,90
15,A15786510,1150010100,212,19980721.0,개별난방,아파트,단일계약,5,28,227
16,A15704028,1150010100,778,19980629.0,개별난방,아파트,단일계약,19,193,576
17,A15704009,1150010100,206,19981105.0,개별난방,아파트,단일계약,5,48,125
18,A15786312,1150010100,256,19991027.0,개별난방,아파트,단일계약,7,44,212
19,A15704007,1150010100,202,20080110.0,개별난방,아파트,단일계약,7,0,275
20,A15704023,1150010100,417,20050628.0,개별난방,아파트,단일계약,13,120,343
21,A15704017,1150010100,297,20010630.0,개별난방,아파트,단일계약,6,58,291
22,A15786227,1150010100,570,19990118.0,개별난방,아파트,단일계약,28,74,535
23,A15704003,1150010100,168,20040701.0,개별난방,아파트,단일계약,6,32,152
24,A15704002,1150010100,166,20041119.0,개별난방,아파트,종합계약,6,37,150
25,A15704001,1150010100,163,20060427.0,개별난방,아파트,종합계약,8,22,162
26,A15786213,1150010100,273,19990331.0,개별난방,아파트,단일계약,7,73,220
27,A15786408,1150010100,206,20010531.0,개별난방,아파트,단일계약,8,32,285
28,A15776003,1150010100,105,20040924.0,개별난방,아파트,,,,
29,A15776004,1150010100,127,19961005.0,개별난방,아파트,단일계약,3,8,100
30,A15785919,1150010100,339,19901109.0,개별난방,아파트,종합계약,10,314,12
31,A10025600,1150010100,499,20190308.0,개별난방,아파트,단일계약,13,0,604
32,A15776002,1150010100,65,,,,,,,
33,A10027541,1150010100,152,20140611.0,개별난방,아파트,종합계약,5,0,191
34,A10024353,1150010100,136,20050722.0,개별난방,,단일계약,5,60,124
35,A10024436,1150010100,500,20201230.0,개별난방,도시형 생활주택(주상복합),종합계약,5,0,246
36,A10025049,1150010100,115,19990930.0,개별난방,아파트,종합계약,4,25,148
37,A15783907,1150010200,339,19990629.0,개별난방,아파트,단일계약,20,67,284
38,A15783703,1150010200,222,20020518.0,개별난방,아파트,단일계약,7,17,298
39,A15703004,1150010200,712,19941207.0,지역난방,아파트,단일계약,13,396,363
40,A15703304,1150010200,505,19950605.0,지역난방,아파트,종합계약,6,198,0
41,A15703303,1150010200,488,19941029.0,지역난방,아파트,종합계약,20,263,255
42,A15703301,1150010200,445,19941104.0,지역난방,아파트,기타,5,176,0
43,A15784008,1150010200,430,19990401.0,지역난방,아파트,단일계약,13,92,363
44,A15772902,1150010200,110,19920527.0,개별난방,아파트,,4,72,0
45,A15703302,1150010200,457,19951127.0,지역난방,아파트,종합계약,14,312,484
46,A15772901,1150010200,134,19920527.0,개별난방,아파트,,5,81,0
47,A15703002,1150010200,241,20000727.0,개별난방,아파트,종합계약,5,53,240
48,A15703005,1150010200,196,20031030.0,개별난방,아파트,종합계약,7,30,214
49,A15703309,1150010200,1045,19951010.0,지역난방,아파트,단일계약,14,376,274
50,A15703307,1150010200,680,19950713.0,지역난방,아파트,단일계약,18,410,487
51,A15776916,1150010200,1445,19941104.0,지역난방,아파트,단일계약,18,331,0
52,A15703001,1150010200,200,20031119.0,개별난방,아파트,단일계약,6,86,124
53,A15784402,1150010200,221,19950915.0,개별난방,아파트,기타,9,69,143
54,A15776414,1150010200,1575,19950520.0,지역난방,아파트,기타,20,322,0
55,A15703308,1150010200,1016,19951010.0,지역난방,아파트,단일계약,14,400,273
56,A15783806,1150010200,317,19971029.0,지역난방,아파트,종합계약,7,95,247
57,A15776617,1150010200,559,19951010.0,지역난방,아파트,기타,7,172,72
58,A15783905,1150010200,244,19971217.0,개별난방,아파트,단일계약,7,104,150
59,A15703318,1150010200,350,20041004.0,지역난방,아파트,종합계약,12,70,222
60,A15703204,1150010200,1653,20040107.0,개별난방,아파트,단일계약,45,354,2342
61,A15703313,1150010200,1670,19941104.0,지역난방,아파트,단일계약,22,327,0
62,A15783902,1150010200,186,19980625.0,개별난방,아파트,단일계약,4,37,144
63,A15776715,1150010200,1146,19941104.0,지역난방,아파트,단일계약,15,245,0
64,A15783701,1150010200,168,20000512.0,개별난방,아파트,단일계약,4,15,198
65,A15784003,1150010200,191,19990614.0,개별난방,아파트,단일계약,4,13,178
66,A15703306,1150010200,566,19951010.0,지역난방,아파트,단일계약,7,275,110
67,A15784201,1150010200,170,19950713.0,개별난방,아파트,종합계약,5,78,87
68,A10025703,1150010200,87,20010925.0,개별난방,아파트,종합계약,6,12,103
69,A10024768,1150010200,285,20200501.0,개별난방,도시형 생활주택(주상복합),종합계약,2,0,106
70,A10023934,1150010200,252,20220110.0,개별난방,,종합계약,3,0,101
71,A10023543,1150010200,220,20220311.0,개별난방,아파트,종합계약,5,0,213
72,A15701004,1150010300,187,20041130.0,개별난방,아파트,단일계약,11,0,280
73,A15701601,1150010300,206,20040806.0,개별난방,아파트,단일계약,10,71,191
74,A15788302,1150010300,416,19920831.0,개별난방,아파트,단일계약,14,230,131
75,A15770102,1150010300,159,20100630.0,개별난방,주상복합,,8,,
76,A15788901,1150010300,228,19870502.0,개별난방,아파트,단일계약,5,149,0
77,A15792602,1150010300,2176,20021031.0,지역난방,아파트,단일계약,80,654,3536
78,A15701602,1150010300,1164,20030906.0,개별난방,아파트,종합계약,31,91,1868
79,A15770801,1150010300,626,19981116.0,지역난방,아파트,단일계약,14,157,267
80,A15701002,1150010300,203,20061026.0,개별난방,아파트,단일계약,9,265,0
81,A15701003,1150010300,2517,20080108.0,지역난방,아파트,단일계약,71,3134,116
82,A15788203,1150010300,473,19881212.0,개별난방,아파트,단일계약,7,163,0
83,A15770101,1150010300,187,20041101.0,개별난방,아파트,단일계약,7,56,164
84,A15791001,1150010300,225,20040916.0,개별난방,주상복합,단일계약,5,0,265
85,A15701007,1150010300,2603,20150819.0,지역난방,아파트,종합계약,77,5,4413
86,A10025201,1150010300,75,20060629.0,개별난방,아파트,종합계약,3,3,142
87,A15701005,1150010300,62,,,,,,,
88,A15701006,1150010300,91,20050816.0,개별난방,아파트,,,,
89,A10023515,1150010300,576,20221201.0,지역난방,아파트,종합계약,50,0,815
90,A10024145,1150010300,429,20210903.0,개별난방,아파트,종합계약,10,0,260
91,A10024391,1150010300,148,20000929.0,개별난방,,단일계약,10,13,156
92,A15780604,1150010400,990,19930615.0,지역난방,아파트,종합계약,33,561,513
93,A15780605,1150010400,1624,19921118.0,지역난방,아파트,단일계약,21,801,72
94,A15780905,1150010400,1476,19921118.0,지역난방,아파트,단일계약,19,397,280
95,A15780002,1150010400,414,19901030.0,지역난방,아파트,단일계약,14,382,0
96,A15781002,1150010400,914,19921118.0,지역난방,아파트,기타,11,176,78
97,A15780701,1150010400,164,19990429.0,지역난방,아파트,종합계약,6,70,254
98,A15780806,1150010400,2411,19921130.0,지역난방,아파트,기타,34,459,137
99,A15780705,1150010400,1998,19921130.0,지역난방,아파트,기타,25,370,78
100,A15720101,1150010400,177,20041223.0,개별난방,아파트,단일계약,6,71,122
101,A15780703,1150010400,540,19930917.0,지역난방,아파트,종합계약,18,433,416
102,A15774708,1150010400,1998,19920705.0,지역난방,아파트,단일계약,24,471,0
103,A15780401,1150010400,642,19990326.0,지역난방,아파트,단일계약,17,63,589
104,A15780904,1150010400,1110,19921118.0,지역난방,아파트,기타,14,354,93
105,A15780602,1150010400,359,19990210.0,개별난방,아파트,종합계약,13,74,225
106,A15780603,1150010400,660,19930617.0,지역난방,아파트,단일계약,22,524,551
107,A15780704,1150010400,1556,19921202.0,지역난방,아파트,단일계약,23,474,145
