Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A15380403,1154510100,1495,19980309,개별난방,아파트,단일계약,66,546,1176
1,A15380101,1154510100,210,19980721,개별난방,아파트,단일계약,5,38,174
2,A10025913,1154510100,238,20180829,개별난방,주상복합,단일계약,4,0,170
3,A10023956,1154510100,299,20171201,개별난방,아파트,단일계약,5,32,284
4,A10023288,1154510100,282,20230316,개별난방,,종합계약,5,,
5,A15382301,1154510200,341,20021024,개별난방,아파트,단일계약,8,116,255
6,A15383601,1154510200,154,19971017,개별난방,아파트,단일계약,3,41,98
7,A15381402,1154510200,154,19980924,개별난방,아파트,단일계약,8,9,123
8,A15301105,1154510200,554,20041027,개별난방,아파트,단일계약,13,152,490
9,A15383308,1154510200,1226,19901114,지역난방,아파트,단일계약,16,413,0
10,A15375810,1154510200,187,20080421,개별난방,아파트,단일계약,5,22,194
11,A15370301,1154510200,246,20110930,개별난방,아파트,단일계약,10,52,206
12,A15375809,1154510200,840,19901114,중앙난방,아파트,단일계약,13,266,0
13,A15381706,1154510200,996,20020905,개별난방,아파트,단일계약,46,242,611
14,A15383604,1154510200,245,19991217,개별난방,아파트,단일계약,5,60,179
15,A15381303,1154510200,214,19990820,개별난방,아파트,종합계약,5,83,129
16,A15383307,1154510200,1000,19910820,지역난방,아파트,단일계약,32,499,342
17,A10027188,1154510200,1743,20161130,개별난방,아파트,단일계약,34,0,2265
18,A10026024,1154510200,109,19960313,개별난방,아파트,종합계약,3,28,64
19,A10026626,1154510200,292,20170928,개별난방,주상복합,종합계약,4,0,360
20,A10025946,1154510200,1236,20181030,개별난방,아파트,종합계약,28,0,1351
21,A10025116,1154510200,432,20191128,개별난방,아파트,종합계약,12,0,449
22,A15301001,1154510200,98,19960625,개별난방,,,,,
23,A10024179,1154510200,90,20010427,개별난방,,단일계약,2,6,113
24,A10024302,1154510200,927,20210429,개별난방+기타,아파트,종합계약,28,0,1144
25,A15383702,1154510300,786,19990920,개별난방,아파트,단일계약,15,169,768
26,A15386506,1154510300,986,19811223,개별난방,아파트,단일계약,11,630,0
27,A15303002,1154510300,1772,20000216,개별난방,아파트,단일계약,45,892,624
28,A15386404,1154510300,260,19821207,개별난방,아파트,단일계약,2,168,0
29,A15384501,1154510300,270,19981028,개별난방,아파트,종합계약,6,103,168
30,A15303401,1154510300,185,20000907,개별난방,아파트,종합계약,5,29,171
31,A15303203,1154510300,671,20021230,개별난방,아파트,단일계약,14,125,641
32,A15303103,1154510300,233,19860813,개별난방,아파트,단일계약,4,200,0
33,A15303202,1154510300,564,20000216,개별난방,아파트,단일계약,6,26,112
34,A15378501,1154510300,202,20060103,개별난방,아파트,종합계약,6,68,126
35,A15383905,1154510300,639,19801224,중앙난방,아파트,단일계약,7,575,0
36,A15370103,1154510300,1764,20140814,개별난방,아파트,단일계약,92,82,2188
37,A15384101,1154510300,197,19960624,개별난방,아파트,단일계약,6,91,52
38,A15303205,1154510300,2810,20040806,개별난방,아파트,단일계약,64,977,2169
39,A15303502,1154510300,206,20061128,개별난방,아파트,종합계약,8,78,169
40,A15386303,1154510300,330,19890525,개별난방,연립주택,단일계약,,144,0
41,A15384603,1154510300,619,19891021,개별난방,아파트,단일계약,6,202,0
42,A15303204,1154510300,1288,20040806,개별난방,아파트,단일계약,15,80,450
43,A15303003,1154510300,173,19960914,개별난방,아파트,단일계약,3,68,0
44,A15303102,1154510300,229,20040525,개별난방,아파트,단일계약,7,61,192
45,A10026187,1154510300,114,20030927,개별난방,아파트,단일계약,4,36,86
46,A10025447,1154510300,123,19981219,개별난방,아파트,종합계약,3,15,109
47,A10026792,1154510300,112,20080115,개별난방,아파트,단일계약,6,54,63
