Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A15288812,1153010100,853,20030517.0,개별난방,아파트,단일계약,19,42,1442
1,A15288806,1153010100,408,19921204.0,개별난방,아파트,단일계약,14,159,93
2,A15288802,1153010100,204,20010920.0,개별난방,아파트,종합계약,5,34,226
3,A15288805,1153010100,362,20030816.0,개별난방,아파트,단일계약,10,37,374
4,A15288813,1153010100,1095,19991130.0,개별난방,아파트,단일계약,22,152,1359
5,A15288801,1153010100,154,19941215.0,개별난방,아파트,단일계약,2,84,52
6,A15288814,1153010100,2298,19991127.0,개별난방,아파트,종합계약,47,556,2228
7,A15288809,1153010100,655,20000517.0,개별난방,아파트,단일계약,13,65,714
8,A15288803,1153010100,260,19990413.0,개별난방,아파트,단일계약,5,92,120
9,A15288804,1153010100,284,19931213.0,개별난방,아파트,단일계약,10,149,32
10,A15288807,1153010100,411,20040616.0,개별난방,아파트,단일계약,9,17,545
11,A15288810,1153010100,813,20001114.0,개별난방,아파트,단일계약,32,123,891
12,A15277302,1153010100,524,20110718.0,지역난방,주상복합,종합계약,12,0,862
13,A15288611,1153010100,824,19871211.0,중앙난방,아파트,단일계약,7,450,90
14,A10028063,1153010100,189,20150206.0,개별난방,아파트,종합계약,5,0,190
15,A15288808,1153010100,304,20060424.0,개별난방,주상복합,종합계약,6,43,343
16,A15288004,1153010200,591,19920518.0,개별난방,아파트,종합계약,10,368,0
17,A15286806,1153010200,579,19871117.0,중앙난방,아파트,단일계약,10,408,0
18,A15284305,1153010200,272,19960701.0,개별난방,아파트,단일계약,6,38,186
19,A15205305,1153010200,660,20060728.0,개별난방,아파트,단일계약,14,0,585
20,A15288002,1153010200,497,19980715.0,개별난방,아파트,단일계약,12,134,359
21,A15283809,1153010200,344,19850628.0,개별난방,아파트,단일계약,8,288,0
22,A15205108,1153010200,829,19980516.0,개별난방,아파트,단일계약,16,220,573
23,A15286809,1153010200,2126,19860630.0,중앙난방,아파트,단일계약,34,1082,0
24,A15283902,1153010200,397,19880617.0,개별난방,아파트,단일계약,6,180,0
25,A15205103,1153010200,296,19951116.0,개별난방,아파트,단일계약,18,88,140
26,A15284906,1153010200,1244,20040529.0,개별난방,아파트,단일계약,27,110,1360
27,A15205002,1153010200,442,19981130.0,개별난방,아파트,단일계약,5,35,101
28,A15283806,1153010200,285,19951116.0,개별난방,아파트,단일계약,4,42,179
29,A15205104,1153010200,454,20060627.0,개별난방,아파트,단일계약,11,77,462
30,A15286210,1153010200,450,19940121.0,개별난방,아파트,종합계약,11,185,194
31,A15205508,1153010200,299,20070511.0,개별난방,주상복합,단일계약,7,496,0
32,A15283807,1153010200,299,20040207.0,개별난방,아파트,단일계약,5,42,300
33,A15205303,1153010200,498,20070517.0,개별난방,아파트,단일계약,12,0,498
34,A15285503,1153010200,340,19840629.0,개별난방,아파트,기타,,340,0
35,A15286807,1153010200,735,19890828.0,중앙난방,아파트,단일계약,22,450,0
36,A15286802,1153010200,290,19871029.0,개별난방,아파트,종합계약,10,141,43
37,A15284101,1153010200,166,20050615.0,개별난방,주상복합,단일계약,2,6,188
38,A15285004,1153010200,493,19841208.0,개별난방,아파트,단일계약,9,258,0
39,A15283801,1153010200,155,20061130.0,개별난방,아파트,종합계약,12,0,258
40,A15205301,1153010200,240,20031204.0,개별난방,아파트,단일계약,8,98,154
41,A15205001,1153010200,216,20041112.0,개별난방,아파트,종합계약,5,67,156
42,A15286805,1153010200,488,19881217.0,개별난방,아파트,단일계약,3,126,0
43,A15284603,1153010200,427,19920625.0,개별난방,아파트,단일계약,5,246,0
44,A15205513,1153010200,1252,20001222.0,중앙난방,아파트,단일계약,26,291,1699
45,A15283803,1153010200,166,19970602.0,개별난방,아파트,단일계약,2,27,100
46,A15284204,1153010200,206,20020506.0,개별난방,주상복합,단일계약,2,14,149
47,A15285804,1153010200,597,20010920.0,개별난방,아파트,단일계약,13,75,542
48,A15286602,1153010200,189,19981224.0,개별난방,아파트,종합계약,4,115,82
49,A15286801,1153010200,256,19930922.0,중앙난방,아파트,단일계약,4,127,76
50,A15205405,1153010200,1285,19981130.0,개별난방,아파트,단일계약,19,40,774
