Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A15106001,1162010100,277,19990511.0,개별난방,아파트,단일계약,6,39,100
1,A15192201,1162010100,487,20040528.0,개별난방,아파트,단일계약,34,96,428
2,A15181602,1162010100,251,19880311.0,개별난방,아파트,단일계약,5,224,0
3,A15178203,1162010100,560,20001228.0,개별난방,아파트,단일계약,5,42,222
4,A15105302,1162010100,2104,20040826.0,개별난방,아파트,단일계약,36,120,1990
5,A15106103,1162010100,384,20000918.0,개별난방,아파트,단일계약,7,13,324
6,A15178201,1162010100,2105,20050630.0,개별난방,아파트,단일계약,43,326,1850
7,A15178202,1162010100,281,20041220.0,개별난방,아파트,단일계약,8,112,217
8,A15180705,1162010100,3544,20030906.0,개별난방,아파트,단일계약,92,975,4429
9,A15176202,1162010100,1261,20000509.0,개별난방,아파트,단일계약,26,291,1373
10,A15106101,1162010100,180,20010625.0,개별난방,아파트,단일계약,8,0,208
11,A15105301,1162010100,392,20040826.0,개별난방,아파트,단일계약,8,26,254
12,A15184101,1162010100,374,20061130.0,개별난방,아파트,단일계약,14,111,306
13,A15180701,1162010100,203,20030612.0,개별난방,아파트,종합계약,5,0,218
14,A15105303,1162010100,2134,19920427.0,개별난방,아파트,단일계약,61,785,438
15,A15105002,1162010100,216,19981022.0,개별난방,아파트,단일계약,4,102,11
16,A15105005,1162010100,254,19991028.0,개별난방,아파트,종합계약,6,42,251
17,A15105602,1162010100,717,20001213.0,개별난방,아파트,단일계약,5,67,150
18,A15105004,1162010100,710,19960425.0,개별난방,아파트,단일계약,25,215,496
19,A15192202,1162010100,836,20000509.0,개별난방,아파트,단일계약,10,63,437
20,A15106901,1162010100,2001,20001228.0,개별난방,아파트,단일계약,47,443,2009
21,A15105503,1162010100,1843,20030906.0,개별난방,아파트,단일계약,24,169,729
22,A15176603,1162010100,95,,,,,,,
23,A15105006,1162010100,297,20020225.0,개별난방,아파트,종합계약,10,64,362
24,A15176602,1162010100,184,19990517.0,개별난방,아파트,단일계약,3,10,158
25,A15105008,1162010100,363,20140919.0,개별난방,아파트,종합계약,11,0,417
26,A15105603,1162010100,1597,20001213.0,중앙난방,아파트,단일계약,31,381,1386
27,A15178204,1162010100,799,20050705.0,개별난방,아파트,종합계약,9,37,387
28,A15105007,1162010100,53,,,,,,,
29,A10025423,1162010100,711,20190625.0,개별난방,아파트,종합계약,26,0,851
30,A10026710,1162010100,208,20130227.0,개별난방,아파트,단일계약,2,3,64
31,A10025428,1162010100,206,20190625.0,개별난방,아파트,종합계약,8,0,166
32,A10025092,1162010100,1276,20190625.0,개별난방,아파트,종합계약,49,0,1520
33,A10025422,1162010100,565,20190625.0,개별난방,아파트,종합계약,23,669,0
34,A10024638,1162010100,118,20051202.0,개별난방,아파트,종합계약,6,38,92
35,A10024666,1162010100,142,20150910.0,개별난방,,종합계약,5,0,156
36,A10024514,1162010100,108,20100222.0,개별난방,주상복합,종합계약,6,0,248
37,A10023372,1162010100,201,20220510.0,개별난방,,종합계약,2,73,0
38,A10023490,1162010100,204,19851120.0,개별난방,연립주택,,0,,
39,A10024894,1162010100,519,20200429.0,개별난방,아파트,종합계약,34,0,770
40,A15177101,1162010200,171,19960327.0,개별난방,아파트,단일계약,4,37,95
41,A15101503,1162010200,349,20070206.0,개별난방,아파트,단일계약,24,83,351
42,A15176701,1162010200,630,19930824.0,개별난방,아파트,종합계약,19,176,196
43,A15186002,1162010200,336,19911012.0,개별난방,아파트,종합계약,14,115,54
44,A15101501,1162010200,157,20031231.0,개별난방,아파트,종합계약,5,36,115
45,A15188801,1162010200,197,19990707.0,개별난방,아파트,단일계약,2,20,111
46,A15101101,1162010200,592,19930719.0,개별난방,아파트,단일계약,9,114,287
47,A15185201,1162010200,156,19981026.0,개별난방,아파트,종합계약,4,32,143
48,A15179403,1162010200,818,20000803.0,개별난방,아파트,단일계약,11,70,417
49,A15187101,1162010200,201,19991130.0,개별난방,아파트,단일계약,4,32,190
50,A15101506,1162010200,1482,20000803.0,개별난방,아파트,단일계약,29,163,1767
51,A15101505,1162010200,177,20050929.0,개별난방,아파트,단일계약,7,134,56
52,A15190301,1162010200,280,19821023.0,개별난방,아파트,단일계약,4,235,0
53,A15179701,1162010200,465,20030929.0,개별난방,아파트,단일계약,11,20,498
54,A15101802,1162010200,304,20030401.0,개별난방,아파트,단일계약,10,78,305
55,A15101508,1162010200,1634,19930525.0,중앙난방,아파트,단일계약,38,654,413
56,A15188101,1162010200,338,19880105.0,개별난방,아파트,단일계약,6,123,0
57,A15185704,1162010200,492,19841016.0,개별난방,아파트,종합계약,6,307,0
58,A15101504,1162010200,2810,20080313.0,개별난방,아파트,단일계약,81,760,2626
59,A15102203,1162010200,373,19980227.0,개별난방,아파트,단일계약,8,12,385
60,A15101507,1162010200,960,19951006.0,중앙난방,아파트,기타,14,196,159
61,A15101702,1162010200,512,20080313.0,개별난방,아파트,종합계약,6,362,0
62,A15102202,1162010200,213,20060424.0,개별난방,아파트,단일계약,6,1,240
63,A15190705,1162010200,1456,20050621.0,개별난방,아파트,단일계약,33,227,1890
64,A15101901,1162010200,227,19970502.0,개별난방,아파트,종합계약,4,55,131
65,A15102902,1162010200,236,19970523.0,개별난방,아파트,단일계약,7,87,90
66,A15101509,1162010200,150,20071126.0,개별난방,아파트,단일계약,2,9,98
67,A15101903,1162010200,783,19960618.0,개별난방,아파트,단일계약,17,523,17
68,A15178401,1162010200,112,19961220.0,개별난방,아파트,종합계약,0,77,19
69,A10026910,1162010200,140,20040611.0,개별난방,아파트,단일계약,5,77,81
70,A10024621,1162010200,127,19950327.0,개별난방,아파트,,,,
71,A10023661,1162010200,1143,20220829.0,개별난방,아파트,종합계약,28,0,1303
72,A10024749,1162010200,126,19980601.0,개별난방,아파트,단일계약,3,1,140
73,A10024634,1162010200,109,20030902.0,개별난방,아파트,,,,
74,A15108003,1162010300,174,20041229.0,개별난방,아파트,단일계약,9,27,159
75,A15108001,1162010300,170,20050330.0,개별난방,아파트,종합계약,9,38,170
76,A10025511,1162010300,88,20030628.0,개별난방,아파트,단일계약,4,39,73
