,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,중곡SK,A14322001,1121510100,182,19991130,개별난방,아파트
1,성원상떼빌,A14322002,1121510100,91,19980410,개별난방,아파트
2,리마크빌 군자,A10023395,1121510100,299,20220830,개별난방,
3,구의현대7단지,A14320001,1121510300,273,19971226,개별난방,아파트
4,구의현대2단지,A14383205,1121510300,1606,19961206,개별난방,아파트
5,구의강변우성,A14320302,1121510300,354,19921226,개별난방,아파트
6,구의대림아크로리버,A14320002,1121510300,220,20040113,개별난방,주상복합
7,구의현대6단지,A14383203,1121510300,421,19940429,개별난방,아파트
8,구의현대프라임,A14320304,1121510300,1592,19970328,중앙난방,아파트
9,아차산휴먼시아,A14320004,1121510300,125,20101230,개별난방,아파트
10,구의삼성쉐르빌,A14382101,1121510300,252,20011110,개별난방,아파트
11,세림리오빌아파트,A10025573,1121510300,60,20050902,개별난방,
12,구의현대13차폴라트리움,A14320003,1121510300,92,,개별난방,주상복합
13,강변에스케이뷰,A10026874,1121510300,197,20170714,개별난방,아파트
14,구의세양아파트 ,A10024667,1121510300,130,20020123,개별난방,아파트
15,래미안 구의 파크스위트 아파트,A10025985,1121510300,854,20180927,개별난방,아파트
16,광진그랜드파크,A10023951,1121510300,730,20211230,개별난방,아파트
17,광장현대5단지,A14381512,1121510400,581,19890421,개별난방,아파트
18,광장11현대홈타운,A14321001,1121510400,159,20031028,개별난방,연립주택
19,광장신동아파밀리에,A14380605,1121510400,302,20071015,개별난방,아파트
20,극동2차아파트,A14380414,1121510400,896,19890324,중앙난방,아파트
21,광장현대9차,A14381508,1121510400,437,19990430,개별난방,아파트
22,광장힐스테이트,A14375301,1121510400,453,20120328,개별난방,아파트
23,광장현대3단지아파트,A14381415,1121510400,1056,19901020,개별난방,아파트
24,워커힐아파트,A14380211,1121510400,576,19781113,중앙난방,아파트
25,광장현대파크빌,A14381516,1121510400,1170,20000831,개별난방,아파트
26,워커힐푸르지오,A14375302,1121510400,200,19870302,개별난방,아파트
27,광장청구,A14381513,1121510400,654,19960705,개별난방,아파트
28,광장극동1차,A14380409,1121510400,448,19850914,중앙난방,아파트
29,광장현대8단지,A14381510,1121510400,537,19950327,개별난방,아파트
30,"광장삼성1,2차",A14381506,1121510400,360,19871229,개별난방,아파트
31,광장동금호베스트빌,A14381504,1121510400,242,20010618,개별난방,아파트
32,광장동 광나루현대,A14381407,1121510400,380,19960417,개별난방,아파트
33,현대홈타운12차,A14375303,1121510400,119,20040901,개별난방,아파트
34,상록타워 아파트,A10026162,1121510400,200,19970113,개별난방,아파트
35,광장자이아파트,A10024751,1121510400,122,20081202,개별난방,
36,광장 유진스웰,A10023281,1121510400,52,20110209,개별난방,아파트
37,광진트라팰리스,A14319305,1121510500,204,20060721,개별난방,주상복합
38,자양한라,A14319307,1121510500,329,19960831,개별난방,아파트
39,자양경남,A14386802,1121510500,232,19990601,개별난방,아파트
40,현대강변,A14319201,1121510500,208,19911210,개별난방,아파트
41,자양현대3차,A14319204,1121510500,439,19961209,개별난방,아파트
42,자양한강극동,A14319002,1121510500,158,19910808,개별난방,아파트
43,자양우성3차,A14386110,1121510500,464,19891230,개별난방,아파트
44,이튼타워리버5차,A14377402,1121510500,279,20090915,개별난방,아파트
45,자양현대5차,A14319203,1121510500,270,19980624,개별난방,아파트
46,자양한강현대,A14319005,1121510500,204,19931120,개별난방,아파트
47,한강우성아파트,A14319010,1121510500,355,19931221,개별난방,아파트
48,자양현대홈타운10차,A14319303,1121510500,245,20021030,개별난방,아파트
49,한솔리베르,A14376501,1121510500,185,20020124,개별난방,아파트
50,자양더샵스타시티,A14319012,1121510500,1177,20070122,개별난방,주상복합
51,자양현대홈타운8차,A14319007,1121510500,257,20020508,개별난방,아파트
52,자양현대,A14319003,1121510500,182,19930527,개별난방,아파트
53,자양우성1차,A14319011,1121510500,656,19880913,개별난방,아파트
54,자양현대6차,A14319301,1121510500,178,19990203,개별난방,아파트
55,자양동삼성아파트,A14388208,1121510500,375,19990414,개별난방,아파트
56,자양대동,A14319008,1121510500,314,19990310,개별난방,아파트
57,자양한양,A14387605,1121510500,444,19830527,개별난방,아파트
58,자양7차현대홈타운,A14388204,1121510500,252,20010531,개별난방,아파트
59,자양우방리버파크,A14319302,1121510500,214,20031014,개별난방,아파트
60,자양경남아너스빌,A14319001,1121510500,150,19970524,개별난방,아파트
61,자양2차현대,A14319006,1121510500,235,19950422,개별난방,아파트
62,이튼타워리버3차,A14319306,1121510500,260,20070417,개별난방,아파트
63,구의현대홈시티,A14319015,1121510500,102,20060831,개별난방,주상복합
64,우성6,A14375801,1121510500,96,19920321,개별난방,아파트
65,자양로얄동아,A14319009,1121510500,322,19990916,개별난방,아파트
66,자양우성7차,A14319311,1121510500,625,19980706,개별난방,아파트
67,자양우성2차,A14386109,1121510500,405,19890722,개별난방,아파트
68,강변아이파크아파트,A10026399,1121510500,83,20061221,개별난방,
69,자양,A14319014,1121510500,112,,,
70,래미안 프리미어 팰리스,A10026720,1121510500,264,20171026,개별난방,아파트
71,자양하늘채베르,A10023336,1121510500,165,20230227,개별난방,아파트
72,금강KCC아파트,A10024154,1121510500,69,20020531,개별난방,아파트
73,한강성원,A14319013,1121510500,140,19970808,개별난방,아파트
74,자양 호반써밋아파트,A10024132,1121510500,305,20210830,개별난방,아파트
75,광진한화꿈에그린아파트,A10023282,1121510500,116,20060530,개별난방,아파트
76,ym프라젠스파아파트,A10024965,1121510500,75,20051118,개별난방,
77,화양현대,A14313001,1121510700,253,19990520,개별난방,아파트
78,아스하임4차,A10025404,1121510700,162,20181116,개별난방,도시형 생활주택(주상복합)
79,군자일성파크,A14383901,1121510900,357,19960309,개별난방,아파트
80,광진We’vePark,A10028012,1121510900,90,20080929,기타,주상복합
