Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A14322001,1121510100,182,19991130.0,개별난방,아파트,단일계약,4,26,181
1,A14322002,1121510100,91,19980410.0,개별난방,아파트,,,,
2,A10023395,1121510100,299,20220830.0,개별난방,,종합계약,4,0,89
3,A14320001,1121510300,273,19971226.0,개별난방,아파트,단일계약,6,27,247
4,A14383205,1121510300,1606,19961206.0,개별난방,아파트,종합계약,66,421,970
5,A14320302,1121510300,354,19921226.0,개별난방,아파트,단일계약,9,139,96
6,A14320002,1121510300,220,20040113.0,개별난방,주상복합,단일계약,9,44,425
7,A14383203,1121510300,421,19940429.0,개별난방,아파트,종합계약,10,111,184
8,A14320304,1121510300,1592,19970328.0,중앙난방,아파트,종합계약,28,342,1607
9,A14320004,1121510300,125,20101230.0,개별난방,아파트,,,,
10,A14382101,1121510300,252,20011110.0,개별난방,아파트,종합계약,6,0,436
11,A10025573,1121510300,60,20050902.0,개별난방,,단일계약,20,15,74
12,A14320003,1121510300,92,,개별난방,주상복합,종합계약,0,,
13,A10026874,1121510300,197,20170714.0,개별난방,아파트,종합계약,4,0,234
14,A10024667,1121510300,130,20020123.0,개별난방,아파트,종합계약,3,26,120
15,A10025985,1121510300,854,20180927.0,개별난방,아파트,단일계약,24,0,1130
16,A10023951,1121510300,730,20211230.0,개별난방,아파트,종합계약,22,1028,5
17,A14381512,1121510400,581,19890421.0,개별난방,아파트,단일계약,11,230,141
18,A14321001,1121510400,159,20031028.0,개별난방,연립주택,단일계약,20,4,178
19,A14380605,1121510400,302,20071015.0,개별난방,아파트,종합계약,8,0,353
20,A14380414,1121510400,896,19890324.0,중앙난방,아파트,종합계약,32,795,0
21,A14381508,1121510400,437,19990430.0,개별난방,아파트,종합계약,11,67,356
22,A14375301,1121510400,453,20120328.0,개별난방,아파트,종합계약,24,0,674
23,A14381415,1121510400,1056,19901020.0,개별난방,아파트,단일계약,22,335,177
24,A14380211,1121510400,576,19781113.0,중앙난방,아파트,종합계약,20,741,0
25,A14381516,1121510400,1170,20000831.0,개별난방,아파트,종합계약,50,90,1118
26,A14375302,1121510400,200,19870302.0,개별난방,아파트,종합계약,10,100,105
27,A14381513,1121510400,654,19960705.0,개별난방,아파트,단일계약,11,115,363
28,A14380409,1121510400,448,19850914.0,중앙난방,아파트,종합계약,16,450,0
29,A14381510,1121510400,537,19950327.0,개별난방,아파트,단일계약,11,105,411
30,A14381506,1121510400,360,19871229.0,개별난방,아파트,단일계약,6,148,0
31,A14381504,1121510400,242,20010618.0,개별난방,아파트,종합계약,7,20,230
32,A14381407,1121510400,380,19960417.0,개별난방,아파트,종합계약,11,115,239
