,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,광화문스페이스본 아파트,A11005401,1111011500,744,20080711,개별난방,주상복합
1,경희궁의아침3단지,A11007001,1111011800,150,20040517,개별난방,아파트
2,경희궁의아침2단지,A11087101,1111011800,90,20040515,개별난방,주상복합
3,로얄팰리스스위트,A11014001,1111012400,23,,중앙난방,
4,현대뜨레비앙,A11034001,1111013300,291,20031129,개별난방,주상복합
5,효성주얼리시티아파트,A11041001,1111015700,298,20061027,개별난방,주상복합
6,포레스트힐시티,A10027162,1111016200,152,20170120,개별난방,도시형 생활주택(주상복합)
7,힐스테이트 창경궁,A10023586,1111016700,181,20220929,개별난방,주상복합
8,명륜아남1차,A11052201,1111017100,436,19951222,개별난방,아파트
9,주상복합아남,A11076701,1111017100,136,19990130,개별난방,아파트
10,명륜아남2차아파트,A10023741,1111017100,65,19960920,개별난방,아파트
11,창신쌍용1단지,A11054301,1111017400,585,19921125,개별난방,아파트
12,창신두산,A11054101,1111017400,529,19990430,개별난방,아파트
13,창신쌍용아파트2단지,A11077101,1111017400,919,19931012,개별난방,아파트
14,종로청계힐스테이트,A11055002,1111017500,288,20090320,개별난방,아파트
15,롯데캐슬천지인,A11087601,1111017500,220,20040909,개별난방,아파트
16,종로센트레빌,A11087602,1111017500,416,20081121,개별난방,아파트
17,숭인상가아파트,A10024713,1111017500,109,19791022,개별난방,주상복합
18,경희궁자이4단지주상복합,A10026940,1111017600,182,20170629,개별난방,주상복합
19,경희궁자이3단지,A10027105,1111017700,589,20170224,개별난방,주상복합
20,경희궁자이2단지 아파트,A10027118,1111017900,1148,20170224,개별난방,주상복합
21,경희궁자이1단지(임대아파트),A10026946,1111018100,496,20170629,개별난방,아파트
22,동익빌라,A10024669,1111018200,123,19961117,개별난방,연립주택
23,평창삼성,A11001203,1111018300,176,19980502,개별난방,아파트
24,평창롯데,A11084601,1111018300,156,20010430,개별난방,아파트
25,금강주택,A10024780,1111018300,168,19920519,개별난방,연립주택
26,무악현대,A11081503,1111018700,964,20001021,개별난방,아파트
27,무악현대임대,A11008001,1111018700,550,20001021,개별난방,아파트
28,인왕산아이파크,A11081302,1111018700,810,20080725,개별난방,아파트
29,인왕산2차아이파크아파트,A10027708,1111018700,167,20150828,개별난방,아파트
30,경희궁 롯데캐슬아파트,A10025710,1111018700,195,20190122,개별난방,아파트
