Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A11005401,1111011500,744,20080711.0,개별난방,주상복합,종합계약,21,10,1405
1,A11007001,1111011800,150,20040517.0,개별난방,아파트,종합계약,5,0,315
2,A11087101,1111011800,90,20040515.0,개별난방,주상복합,,,,
3,A11014001,1111012400,23,,중앙난방,,,8,388,
4,A11034001,1111013300,291,20031129.0,개별난방,주상복합,단일계약,4,0,204
5,A11041001,1111015700,298,20061027.0,개별난방,주상복합,종합계약,8,0,428
6,A10027162,1111016200,152,20170120.0,개별난방,도시형 생활주택(주상복합),종합계약,2,1,76
7,A10023586,1111016700,181,20220929.0,개별난방,주상복합,종합계약,4,0,230
8,A11052201,1111017100,436,19951222.0,개별난방,아파트,단일계약,12,130,308
9,A11076701,1111017100,136,19990130.0,개별난방,아파트,단일계약,2,20,140
10,A10023741,1111017100,65,19960920.0,개별난방,아파트,종합계약,3,24,40
11,A11054301,1111017400,585,19921125.0,개별난방,아파트,단일계약,10,306,0
12,A11054101,1111017400,529,19990430.0,개별난방,아파트,단일계약,11,114,407
13,A11077101,1111017400,919,19931012.0,개별난방,아파트,단일계약,17,373,127
14,A11055002,1111017500,288,20090320.0,개별난방,아파트,종합계약,10,0,342
15,A11087601,1111017500,220,20040909.0,개별난방,아파트,종합계약,2,0,220
16,A11087602,1111017500,416,20081121.0,개별난방,아파트,단일계약,18,3,509
17,A10024713,1111017500,109,19791022.0,개별난방,주상복합,,,,
18,A10026940,1111017600,182,20170629.0,개별난방,주상복합,종합계약,4,0,222
19,A10027105,1111017700,589,20170224.0,개별난방,주상복합,단일계약,25,0,734
20,A10027118,1111017900,1148,20170224.0,개별난방,주상복합,종합계약,40,0,1456
21,A10026946,1111018100,496,20170629.0,개별난방,아파트,단일계약,18,0,501
22,A10024669,1111018200,123,19961117.0,개별난방,연립주택,,,,
23,A11001203,1111018300,176,19980502.0,개별난방,아파트,종합계약,4,20,150
24,A11084601,1111018300,156,20010430.0,개별난방,아파트,종합계약,6,3,253
25,A10024780,1111018300,168,19920519.0,개별난방,연립주택,,,,
26,A11081503,1111018700,964,20001021.0,개별난방,아파트,단일계약,25,283,879
27,A11008001,1111018700,550,20001021.0,개별난방,아파트,단일계약,8,42,163
28,A11081302,1111018700,810,20080725.0,개별난방,아파트,종합계약,29,65,979
29,A10027708,1111018700,167,20150828.0,개별난방,아파트,단일계약,7,0,212
30,A10025710,1111018700,195,20190122.0,개별난방,아파트,종합계약,16,0,245
