,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,남산SK리더스뷰,A10088101,1114012100,233,20100111,개별난방,주상복합
1,남산롯데캐슬아이리스,A10088102,1114012100,386,20111118,중앙난방,주상복합
2,쌍용남산플래티넘,A10072501,1114012200,236,20100805,개별난방,주상복합
3,충무로진양,A10086301,1114013200,286,19700523,개별난방,주상복합
4,남산센트럴자이,A10071301,1114013200,273,20091221,개별난방,아파트
5,충무로엘크루메트로시티2,A10025223,1114013300,171,20160610,개별난방,도시형 생활주택(주상복합)
6,인현신성,A10028201,1114013400,180,19680530,개별난방,주상복합
7,세운푸르지오헤리시티,A10023352,1114013400,614,20230116,개별난방,아파트
8,묵정아파트,A10026849,1114013600,122,19810525,개별난방,아파트
9,오렌지카운티 을지로,A10024327,1114015400,157,20200820,개별난방,도시형 생활주택(주상복합)
10,힐스테이트세운센트럴1단지,A10023356,1114015600,414,20230224,개별난방,아파트
11,힐스테이트세운센트럴2단지,A10023343,1114015600,608,20230224,개별난방,아파트
12,신당삼성(분양),A10045403,1114016200,994,19991222,개별난방,아파트
13,신당삼성임대,A10045401,1114016200,440,19991222,개별난방,아파트
14,신당현대,A10045601,1114016200,942,19930917,개별난방,아파트
15,신당남산타운(분양),A10045302,1114016200,3116,20020525,개별난방,아파트
16,신당약수하이츠,A10045404,1114016200,1598,19990729,개별난방,아파트
17,신당푸르지오,A10045001,1114016200,461,20051228,개별난방,아파트
18,약수하이츠아파트(임대),A10045402,1114016200,684,19990729,개별난방,아파트
19,래미안신당하이베르,A10078901,1114016200,784,20111028,개별난방,아파트
20,래미안신당하이베르임대,A10078902,1114016200,161,20111028,개별난방,아파트
21,신당남산타운임대,A10045301,1114016200,2034,20020525,개별난방,아파트
22,청구e편한세상임대,A10078103,1114016200,158,20111213,개별난방,아파트
23,파라다이스,A10078102,1114016200,132,20000710,개별난방,아파트
24,청구e편한세상(분양),A10045002,1114016200,737,20111213,개별난방,아파트
25,한진해모로,A13302201,1114016200,246,20010618,개별난방,아파트
26,신당 파인힐 하나유보라,A10025456,1114016200,718,20190607,개별난방,아파트
27,신당KCC스위첸아파트,A10025372,1114016200,176,20190605,개별난방,아파트
28,약수역 더시티,A10023488,1114016200,153,20210326,개별난방,
29,동대문와이즈캐슬,A10095501,1114016300,150,20141023,개별난방,주상복합
30,청계천두산위브더제니스,A10095502,1114016300,295,20141222,개별난방,주상복합
31,롯데캐슬베네치아,A10044002,1114016500,1534,20081222,개별난방,아파트
32,SH황학롯데캐슬베네치아,A10044001,1114016500,336,20081222,개별난방,아파트
33,황학아크로타워,A10086801,1114016500,263,20100331,개별난방,주상복합
34,황학코아루,A10024801,1114016500,112,20101029,개별난방,
35,정동상림원아파트,A10023548,1114016700,98,20080925,중앙난방,
36,삼정아트테라스정동,A10024359,1114016700,168,20201221,개별난방,도시형 생활주택(아파트)
37,덕수궁롯데캐슬아파트 ,A10027364,1114016800,296,20160831,개별난방,아파트
38,순화동포스코더샵,A10024756,1114016800,137,20070525,개별난방,아파트
39,중림삼성래미안아파트,A10085902,1114017100,355,20010711,개별난방,아파트
40,중림삼성사이버빌리지,A10085903,1114017100,712,20010711,개별난방,아파트
41,브라운스톤서울,A10095301,1114017100,110,,,
42,더플레이스충정로 ,A10023788,1114017100,276,20120524,개별난방,도시형 생활주택(아파트)
43,LIG서울역리가,A10080701,1114017300,181,20120131,개별난방,아파트
44,서울역센트럴자이아파트,A10026881,1114017400,1341,20170807,개별난방,아파트
45,서울역한라비발디센트럴아파트,A10026517,1114017400,199,20180116,개별난방,아파트
