Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A10088101,1114012100,233,20100111.0,개별난방,주상복합,종합계약,8,0,567
1,A10088102,1114012100,386,20111118.0,중앙난방,주상복합,종합계약,10,0,760
2,A10072501,1114012200,236,20100805.0,개별난방,주상복합,종합계약,7,0,605
3,A10086301,1114013200,286,19700523.0,개별난방,주상복합,단일계약,4,0,0
4,A10071301,1114013200,273,20091221.0,개별난방,아파트,종합계약,8,0,481
5,A10025223,1114013300,171,20160610.0,개별난방,도시형 생활주택(주상복합),단일계약,3,0,212
6,A10028201,1114013400,180,19680530.0,개별난방,주상복합,단일계약,3,0,0
7,A10023352,1114013400,614,20230116.0,개별난방,아파트,종합계약,10,0,366
8,A10026849,1114013600,122,19810525.0,개별난방,아파트,,,,
9,A10024327,1114015400,157,20200820.0,개별난방,도시형 생활주택(주상복합),단일계약,2,1,141
10,A10023356,1114015600,414,20230224.0,개별난방,아파트,,9,,
11,A10023343,1114015600,608,20230224.0,개별난방,아파트,,0,,
12,A10045403,1114016200,994,19991222.0,개별난방,아파트,종합계약,25,183,1094
13,A10045401,1114016200,440,19991222.0,개별난방,아파트,단일계약,6,29,107
14,A10045601,1114016200,942,19930917.0,개별난방,아파트,단일계약,20,742,0
15,A10045302,1114016200,3116,20020525.0,개별난방,아파트,단일계약,74,878,2441
16,A10045404,1114016200,1598,19990729.0,개별난방,아파트,단일계약,36,454,1381
17,A10045001,1114016200,461,20051228.0,개별난방,아파트,단일계약,12,0,649
18,A10045402,1114016200,684,19990729.0,개별난방,아파트,단일계약,8,54,140
19,A10078901,1114016200,784,20111028.0,개별난방,아파트,종합계약,30,0,968
20,A10078902,1114016200,161,20111028.0,개별난방,아파트,단일계약,2,8,153
21,A10045301,1114016200,2034,20020525.0,개별난방,아파트,단일계약,25,187,589
22,A10078103,1114016200,158,20111213.0,개별난방,아파트,단일계약,2,17,95
23,A10078102,1114016200,132,20000710.0,개별난방,아파트,단일계약,4,24,112
24,A10045002,1114016200,737,20111213.0,개별난방,아파트,종합계약,66,23,979
25,A13302201,1114016200,246,20010618.0,개별난방,아파트,종합계약,14,91,180
26,A10025456,1114016200,718,20190607.0,개별난방,아파트,종합계약,12,0,504
27,A10025372,1114016200,176,20190605.0,개별난방,아파트,단일계약,8,16,160
28,A10023488,1114016200,153,20210326.0,개별난방,,종합계약,4,4,92
29,A10095501,1114016300,150,20141023.0,개별난방,주상복합,단일계약,2,4,90
30,A10095502,1114016300,295,20141222.0,개별난방,주상복합,단일계약,8,0,618
31,A10044002,1114016500,1534,20081222.0,개별난방,아파트,종합계약,25,1959,0
32,A10044001,1114016500,336,20081222.0,개별난방,아파트,단일계약,6,151,0
33,A10086801,1114016500,263,20100331.0,개별난방,주상복합,종합계약,9,0,414
34,A10024801,1114016500,112,20101029.0,개별난방,,,5,17,115
35,A10023548,1114016700,98,20080925.0,중앙난방,,종합계약,,0,155
36,A10024359,1114016700,168,20201221.0,개별난방,도시형 생활주택(아파트),종합계약,2,5,126
37,A10027364,1114016800,296,20160831.0,개별난방,아파트,종합계약,8,0,363
38,A10024756,1114016800,137,20070525.0,개별난방,아파트,,,,
39,A10085902,1114017100,355,20010711.0,개별난방,아파트,단일계약,4,25,215
40,A10085903,1114017100,712,20010711.0,개별난방,아파트,단일계약,36,106,784
41,A10095301,1114017100,110,,,,,,,
42,A10023788,1114017100,276,20120524.0,개별난방,도시형 생활주택(아파트),종합계약,4,45,56
43,A10080701,1114017300,181,20120131.0,개별난방,아파트,단일계약,7,0,221
44,A10026881,1114017400,1341,20170807.0,개별난방,아파트,단일계약,31,10,1537
45,A10026517,1114017400,199,20180116.0,개별난방,아파트,단일계약,8,0,217
