,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,용마산금호어울림,A13120701,1126010100,165,20060626,개별난방,아파트
1,면목삼호,A13184401,1126010100,183,20000527,개별난방,아파트
2,용마한신2차아파트,A13183202,1126010100,174,19980529,개별난방,아파트
3,면목신성은하수,A13184301,1126010100,266,19981031,개별난방,아파트
4,면목늘푸른동아아파트,A13183504,1126010100,573,20021130,개별난방,아파트
5,아남리치카운티,A13183701,1126010100,178,20041210,개별난방,아파트
6,용마금호타운,A13181203,1126010100,440,19921223,개별난방,아파트
7,면목경남아너스빌,A13120403,1126010100,386,20061129,개별난방,아파트
8,"면목두산4,5단지",A13184107,1126010100,555,20000927,개별난방,아파트
9,면목대원칸타빌,A13183405,1126010100,256,20030401,개별난방,아파트
10,면목금호어울림,A13120704,1126010100,178,20051027,개별난방,아파트
11,면목성원,A13184502,1126010100,168,19970613,개별난방,아파트
12,용마동아아파트,A13183303,1126010100,174,19930318,개별난방,아파트
13,면목마젤란,A13120001,1126010100,199,20070315,개별난방,아파트
14,면목두산2.3차,A13188406,1126010100,344,19950403,개별난방,아파트
15,면목,A13177701,1126010100,905,19911014,개별난방,아파트
16,용마한신,A13183204,1126010100,565,19900628,개별난방,아파트
17,면목현대,A13184208,1126010100,626,19940929,개별난방,아파트
18,일신강변,A13175101,1126010100,62,,,
19,면목두원,A13177702,1126010100,118,19981125,개별난방,
20,면목삼익,A13183502,1126010100,216,19971220,개별난방,아파트
21,면목신성미소지움,A13181201,1126010100,161,20041112,개별난방,아파트
22,면목한신,A13175103,1126010100,1362,19871230,개별난방,아파트
23,솔루테,A13175102,1126010100,79,20011114,개별난방,아파트
24,용마산하늘채아파트,A10028033,1126010100,265,20151008,개별난방,아파트
25,한양수자인사가정파크아파트,A10025159,1126010100,497,20191127,개별난방,아파트
26,면목두산6차,A13120003,1126010100,84,19931112,개별난방,아파트
27,면목 라온 프라이빗 아파트,A10024703,1126010100,453,20200630,개별난방,아파트
28,용마산모아엘가파크포레,A10023384,1126010100,243,20230127,개별난방,아파트
29,쌍용더플래티넘용마산,A10024443,1126010100,245,20201214,개별난방,아파트
30,사가정 센트럴 아이파크 아파트,A10024741,1126010100,1505,20200730,개별난방,아파트
31,중랑지웰에스테이트,A10023835,1126010100,157,20131015,개별난방,도시형 생활주택(주상복합)
32,면목풍림아파트,A10024366,1126010100,132,19970123,개별난방,아파트
33,면목1차두산아파트,A10023606,1126010100,122,19930201,개별난방,아파트
34,상봉프레미어스엠코,A13122002,1126010200,497,20131118,개별난방,주상복합
35,상봉우정,A13185602,1126010200,375,20020514,개별난방,아파트
36,신내건영1차,A13185603,1126010200,408,19970813,개별난방,아파트
37,한일써너스빌아파트,A13170401,1126010200,504,20031201,개별난방,아파트
38,신내12단지,A13186306,1126010200,1000,19951127,지역난방,아파트
39,동부아파트,A13186401,1126010200,368,19990429,개별난방,아파트
40,상봉태영데시앙,A13122104,1126010200,582,20030805,개별난방,아파트
41,신내엘지쌍용,A13186305,1126010200,858,19960327,지역난방,아파트
42,신내건영2차아파트,A13185607,1126010200,1113,19961104,개별난방,아파트
43,상봉건영캐스빌,A13122001,1126010200,467,20060210,개별난방,아파트
44,상봉듀오트리스,A10027670,1126010200,264,20160120,개별난방,주상복합
45,중화극동,A13187501,1126010300,156,19910429,개별난방,아파트
46,중화한신아파트,A13187702,1126010300,1544,19971011,개별난방,아파트
47,중화동양엔파트 주상복합,A10027456,1126010300,103,20100525,개별난방,주상복합
48,청광플러스원 아파트,A10026046,1126010300,109,20070723,개별난방,아파트
49,범양프레체,A10023899,1126010300,144,20120911,개별난방,
50,묵동극동늘푸른아파트,A13176801,1126010400,188,19990401,개별난방,아파트
51,묵동금호어울림,A13114103,1126010400,193,20031203,개별난방,아파트
52,묵동신도1차,A13184804,1126010400,221,19981015,개별난방,아파트
53,신내4단지,A13184609,1126010400,1070,19960614,지역난방,아파트
54,신내5단지대림두산,A13184610,1126010400,1244,19951204,지역난방,아파트
55,묵동신안3차,A13114106,1126010400,248,20000916,개별난방,아파트
56,묵동브라운스톤태릉,A13185508,1126010400,587,20040311,개별난방,아파트
57,묵동세방,A13185501,1126010400,159,20000703,개별난방,아파트
58,묵동신안1차,A13185507,1126010400,285,19991028,개별난방,아파트
59,묵동신안2차,A13185502,1126010400,171,20000229,개별난방,아파트
60,묵동아이파크,A13114002,1126010400,601,20020621,개별난방,아파트
61,묵동한국,A13185402,1126010400,225,19990603,개별난방,아파트
62,묵동동구햇살,A13114201,1126010400,163,20040512,개별난방,아파트
63,e편한세상화랑대아파트  ,A10025855,1126010400,719,20171206,개별난방,아파트
64,묵동리본타워,A10025187,1126010400,86,20130624,지역난방,아파트
65,묵동자이2단지아파트,A10026469,1126010400,274,20101214,개별난방,아파트
66,장미,A13114003,1126010400,100,,,
67,로프트원 태릉입구역,A10023815,1126010400,249,20200108,개별난방+기타,도시형 생활주택(주상복합)
68,묵동월드메르디앙,A10023285,1126010400,141,20090319,개별난방,
69,칼튼테라스,A10023834,1126010400,235,20211101,개별난방,도시형 생활주택(아파트)
70,중랑숲금호어울림,A13123102,1126010500,686,20060428,개별난방,아파트
71,중랑해모로,A13176102,1126010500,174,20070516,개별난방,아파트
72,중랑숲Liga아파트,A13123002,1126010500,381,20120831,개별난방,아파트
73,예성그린캐슬아파트,A13123001,1126010500,191,20040525,개별난방,아파트
74,망우신원,A13123101,1126010500,198,19990311,개별난방,아파트
75,한일써너스빌리젠시,A13176101,1126010500,128,20041221,개별난방,아파트
76,금호,A13123003,1126010500,73,,,
77,가야아파트,A10027498,1126010500,66,20020325,개별난방,아파트
78,한울네세창,A13123004,1126010500,55,,,
79,서울양원1단지,A10023816,1126010500,1216,20220124,지역난방,아파트
80,신내역 힐데스하임아파트,A10024008,1126010500,218,20211008,지역난방,아파트
81,양원역 금호어울림포레스트아파트,A10024018,1126010500,331,20211130,지역난방,아파트
82,신내역 금강펜테리움 센트럴파크아파트,A10024214,1126010500,490,20210729,지역난방,아파트
83,중랑숲시티프라디움,A10023952,1126010500,403,20220107,지역난방,아파트
84,신내다우훼밀리,A13186801,1126010600,152,19990129,개별난방,아파트
85,신내석탑,A13186503,1126010600,242,19970131,개별난방,아파트
86,신내9단지임대,A13176902,1126010600,335,19960621,지역난방,아파트
87,신내벽산,A13113002,1126010600,284,20000628,개별난방,아파트
88,신내경남아너스빌,A13113006,1126010600,214,20070216,개별난방+기타,아파트
89,신내라이프미성,A13186905,1126010600,277,19920424,개별난방,아파트
90,신내동성7차,A13113001,1126010600,235,19990427,개별난방,아파트
91,신내우남푸르미아,A13186502,1126010600,153,20050404,개별난방,아파트
92,신내데시앙,A13178101,1126010600,1326,20100108,지역난방,아파트
93,신내6단지,A13176901,1126010600,1609,19960313,지역난방,아파트
94,신내동성4차,A13113003,1126010600,478,19970725,지역난방,아파트
95,신내10단지,A13187306,1126010600,1432,19960311,지역난방,아파트
96,신내영풍마드레빌,A13186504,1126010600,260,20040213,개별난방,아파트
97,신내새한아파트,A13187406,1126010600,532,19981127,개별난방,아파트
98,신내동성3차아파트,A13113004,1126010600,800,19970507,지역난방,아파트
99,신내대명11단지,A13187302,1126010600,804,19960313,지역난방,아파트
100,신내9단지,A13187305,1126010600,1315,19960621,지역난방,아파트
101,신내중앙하이츠,A13186907,1126010600,704,19960328,개별난방,아파트
102,신내성원,A13187004,1126010600,876,19940929,개별난방,아파트
103,신내동성1차2차,A13186708,1126010600,1047,19930205,지역난방,아파트
104,신내8단지두산화성,A13187201,1126010600,763,19951222,지역난방,아파트
105,신내진로아파트,A13187203,1126010600,818,19951206,지역난방,아파트
106,신내우디안1단지,A13113008,1126010600,1402,20140618,개별난방,아파트
107,신내 데시앙포레  ,A13113007,1126010600,1896,20131211,개별난방,아파트
108,신내우디안4단지 아파트,A10025397,1126010600,289,20180914,개별난방,아파트
109,대성유니드아파트,A10027297,1126010600,133,20050526,개별난방,아파트
110,신내의료안심주택,A10027775,1126010600,222,20151029,개별난방,아파트
111,경원,A13178102,1126010600,80,,,
112,신내글로리움아파트,A10025137,1126010600,229,20191001,지역난방,아파트
