Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A13120701,1126010100,165,20060626.0,개별난방,아파트,단일계약,7,5,196
1,A13184401,1126010100,183,20000527.0,개별난방,아파트,단일계약,8,95,73
2,A13183202,1126010100,174,19980529.0,개별난방,아파트,단일계약,5,60,118
3,A13184301,1126010100,266,19981031.0,개별난방,아파트,종합계약,6,39,243
4,A13183504,1126010100,573,20021130.0,개별난방,아파트,단일계약,12,94,538
5,A13183701,1126010100,178,20041210.0,개별난방,아파트,단일계약,9,62,129
6,A13181203,1126010100,440,19921223.0,개별난방,아파트,종합계약,15,159,165
7,A13120403,1126010100,386,20061129.0,개별난방,아파트,종합계약,48,92,297
8,A13184107,1126010100,555,20000927.0,개별난방,아파트,종합계약,35,0,613
9,A13183405,1126010100,256,20030401.0,개별난방,아파트,단일계약,7,25,305
10,A13120704,1126010100,178,20051027.0,개별난방,아파트,단일계약,7,17,185
11,A13184502,1126010100,168,19970613.0,개별난방,아파트,종합계약,4,20,148
12,A13183303,1126010100,174,19930318.0,개별난방,아파트,단일계약,6,103,27
13,A13120001,1126010100,199,20070315.0,개별난방,아파트,단일계약,8,93,118
14,A13188406,1126010100,344,19950403.0,개별난방,아파트,단일계약,16,110,291
15,A13177701,1126010100,905,19911014.0,개별난방,아파트,종합계약,8,638,0
16,A13183204,1126010100,565,19900628.0,개별난방,아파트,종합계약,10,134,40
17,A13184208,1126010100,626,19940929.0,개별난방,아파트,단일계약,15,121,301
18,A13175101,1126010100,62,,,,,,,
19,A13177702,1126010100,118,19981125.0,개별난방,,단일계약,3,14,78
20,A13183502,1126010100,216,19971220.0,개별난방,아파트,단일계약,5,13,220
21,A13181201,1126010100,161,20041112.0,개별난방,아파트,단일계약,5,10,168
22,A13175103,1126010100,1362,19871230.0,개별난방,아파트,단일계약,21,524,0
23,A13175102,1126010100,79,20011114.0,개별난방,아파트,,,,
24,A10028033,1126010100,265,20151008.0,개별난방,아파트,종합계약,13,0,330
25,A10025159,1126010100,497,20191127.0,개별난방,아파트,종합계약,38,584,6
26,A13120003,1126010100,84,19931112.0,개별난방,아파트,종합계약,2,24,38
27,A10024703,1126010100,453,20200630.0,개별난방,아파트,종합계약,11,4,553
28,A10023384,1126010100,243,20230127.0,개별난방,아파트,종합계약,12,0,247
29,A10024443,1126010100,245,20201214.0,개별난방,아파트,종합계약,11,0,278
