,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,서서울삼성아파트,A12101001,1144010100,208,19981008,개별난방,아파트
1,마포래미안푸르지오,A12175203,1144010100,3885,20140926,개별난방,아파트
2,공덕자이(임대),A10027951,1144010100,201,20150424,개별난방,아파트
3,마포트라팰리스2차,A12175202,1144010100,120,20080718,개별난방,주상복합
4,공덕자이 아파트,A10027906,1144010100,963,20150424,중앙난방,아파트
5,마포센트럴아이파크,A10027090,1144010100,497,20171116,개별난방,아파트
6,마포더클래시,A10023508,1144010100,1419,20221129,개별난방,아파트
7,삼성래미안공덕4차,A12170601,1144010200,597,20051117,개별난방,아파트
8,삼성래미안공덕2차,A12102008,1144010200,683,20040629,개별난방,아파트
9,마포현대아파트,A12102005,1144010200,480,19880509,개별난방,아파트
10,공덕삼성임대,A12180404,1144010200,226,19991016,개별난방,아파트
11,공덕삼성,A12180407,1144010200,651,19991016,개별난방,아파트
12,공덕래미안5차,A12170603,1144010200,794,20110825,개별난방,아파트
13,공덕2삼성임대,A12170602,1144010200,199,20040629,개별난방,아파트
14,공덕한화꿈에그린,A12102002,1144010200,192,20040830,개별난방,아파트
15,공덕현대,A12180401,1144010200,183,19890807,개별난방,아파트
16,공덕삼성래미안3차,A12180506,1144010200,616,20040830,개별난방,아파트
17,공덕파크자이 아파트,A10027748,1144010200,288,20150828,개별난방,주상복합
18,공덕SK리더스뷰 1단지,A10024408,1144010200,306,20211118,개별난방,아파트
19,공덕SK리더스뷰 2단지,A10024626,1144010200,166,20211118,개별난방,아파트
20,대우메트로디오빌,A12103006,1144010300,242,20051201,개별난방,주상복합
21,신공덕2차삼성래미안,A12185304,1144010300,458,20001028,개별난방,아파트
22,브라운스톤공덕,A12179001,1144010300,290,20090219,개별난방,아파트
23,공덕아이파크,A12179005,1144010300,195,20130326,개별난방,아파트
24,마포펜트라우스,A12179004,1144010300,476,20110518,개별난방,아파트
25,신공덕삼성1차,A12185303,1144010300,834,20000814,중앙난방,아파트
26,신공덕삼성임대,A12179002,1144010300,376,20000814,개별난방,아파트
27,신공덕2삼성래미안제2,A12179003,1144010300,103,20001028,개별난방,아파트
28,신공덕3차삼성래미안,A12103002,1144010300,366,20030520,개별난방,아파트
29,월드마크마포아파트,A10027504,1144010300,132,20111230,개별난방,아파트
30,신공덕e-편한세상,A12179006,1144010300,128,20071018,개별난방,아파트
31,마포KCC웰츠타워,A10024334,1144010300,122,20110526,개별난방,
32,도화현대1차아파트,A12181406,1144010400,1021,19960925,중앙난방,아파트
33,마포동원베네스트,A12170401,1144010400,167,20100429,개별난방,아파트
34,마포도화우성아파트,A12104007,1144010400,1222,19910320,중앙난방,아파트
35,마포한화오벨리스크,A12170402,1144010400,662,20041008,개별난방,주상복합
36,도화현대2차아파트(임대),A12181403,1144010400,793,20000311,개별난방,아파트
37,마포삼성,A12104005,1144010400,982,19970516,중앙난방,아파트
38,도화현대,A12104001,1144010400,196,19980924,개별난방,아파트
39,도화현대홈타운,A12181404,1144010400,914,20000311,중앙난방,아파트
40,래미안용강아파트,A12187602,1144010500,430,20030321,개별난방,아파트
41,e편한세상마포리버파크,A10028006,1144010500,547,20161013,지역난방,아파트
42,래미안마포리버웰,A12187501,1144010500,563,20150227,지역난방,아파트
43,토정한강삼성,A12106001,1144010600,456,19971031,지역난방,아파트
44,마포쌍용황금,A12105001,1144010700,339,20000807,개별난방,아파트
45,마포 보성 아파트,A10025672,1144010700,133,19961129,개별난방,아파트
46,마포태영아파트,A12181103,1144010800,1424,19991120,지역난방,아파트
47,마포자이2차,A12172401,1144010800,558,20140306,개별난방,아파트
48,동양엔파트,A12181101,1144010800,165,20070406,개별난방,아파트
