Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A12101001,1144010100,208,19981008,개별난방,아파트,단일계약,4,38,137
1,A12175203,1144010100,3885,20140926,개별난방,아파트,단일계약,118,0,4580
2,A10027951,1144010100,201,20150424,개별난방,아파트,종합계약,4,0,141
3,A12175202,1144010100,120,20080718,개별난방,주상복합,종합계약,6,,150
4,A10027906,1144010100,963,20150424,중앙난방,아파트,단일계약,36,0,1326
5,A10027090,1144010100,497,20171116,개별난방,아파트,단일계약,16,0,580
6,A10023508,1144010100,1419,20221129,개별난방,아파트,종합계약,42,0,1583
7,A12170601,1144010200,597,20051117,개별난방,아파트,단일계약,20,79,556
8,A12102008,1144010200,683,20040629,개별난방,아파트,단일계약,18,7,849
9,A12102005,1144010200,480,19880509,개별난방,아파트,단일계약,12,333,0
10,A12180404,1144010200,226,19991016,개별난방,아파트,단일계약,3,13,64
11,A12180407,1144010200,651,19991016,개별난방,아파트,단일계약,13,177,481
12,A12170603,1144010200,794,20110825,개별난방,아파트,종합계약,23,0,933
13,A12170602,1144010200,199,20040629,개별난방,아파트,단일계약,2,152,25
14,A12102002,1144010200,192,20040830,개별난방,아파트,단일계약,8,5,234
15,A12180401,1144010200,183,19890807,개별난방,아파트,단일계약,6,140,0
16,A12180506,1144010200,616,20040830,개별난방,아파트,단일계약,15,43,634
17,A10027748,1144010200,288,20150828,개별난방,주상복합,기타,8,0,485
18,A10024408,1144010200,306,20211118,개별난방,아파트,종합계약,9,0,398
19,A10024626,1144010200,166,20211118,개별난방,아파트,단일계약,5,0,158
20,A12103006,1144010300,242,20051201,개별난방,주상복합,단일계약,5,5,370
21,A12185304,1144010300,458,20001028,개별난방,아파트,단일계약,9,21,503
22,A12179001,1144010300,290,20090219,개별난방,아파트,단일계약,6,28,291
23,A12179005,1144010300,195,20130326,개별난방,아파트,단일계약,9,0,224
24,A12179004,1144010300,476,20110518,개별난방,아파트,종합계약,17,2,935
25,A12185303,1144010300,834,20000814,중앙난방,아파트,단일계약,24,139,926
26,A12179002,1144010300,376,20000814,개별난방,아파트,단일계약,4,27,264
27,A12179003,1144010300,103,20001028,개별난방,아파트,단일계약,1,3,70
28,A12103002,1144010300,366,20030520,개별난방,아파트,단일계약,10,79,332
29,A10027504,1144010300,132,20111230,개별난방,아파트,종합계약,4,250,0
30,A12179006,1144010300,128,20071018,개별난방,아파트,종합계약,5,39,105
31,A10024334,1144010300,122,20110526,개별난방,,,,,
32,A12181406,1144010400,1021,19960925,중앙난방,아파트,단일계약,23,386,352
33,A12170401,1144010400,167,20100429,개별난방,아파트,단일계약,7,7,160
34,A12104007,1144010400,1222,19910320,중앙난방,아파트,단일계약,33,805,333
35,A12170402,1144010400,662,20041008,개별난방,주상복합,종합계약,6,0,971
36,A12181403,1144010400,793,20000311,개별난방,아파트,단일계약,8,30,139
37,A12104005,1144010400,982,19970516,중앙난방,아파트,단일계약,29,702,378
38,A12104001,1144010400,196,19980924,개별난방,아파트,단일계약,5,64,108
39,A12181404,1144010400,914,20000311,중앙난방,아파트,단일계약,23,460,695
40,A12187602,1144010500,430,20030321,개별난방,아파트,종합계약,13,3,509
41,A10028006,1144010500,547,20161013,지역난방,아파트,단일계약,17,0,617
42,A12187501,1144010500,563,20150227,지역난방,아파트,단일계약,16,7,692
43,A12106001,1144010600,456,19971031,지역난방,아파트,단일계약,10,93,291
44,A12105001,1144010700,339,20000807,개별난방,아파트,단일계약,8,38,299
45,A10025672,1144010700,133,19961129,개별난방,아파트,단일계약,3,30,82
46,A12181103,1144010800,1424,19991120,지역난방,아파트,종합계약,27,221,1532
47,A12172401,1144010800,558,20140306,개별난방,아파트,종합계약,12,0,758
48,A12181101,1144010800,165,20070406,개별난방,아파트,단일계약,5,36,159
49,A12181102,1144010800,566,19991120,지역난방,아파트,단일계약,4,44,154
50,A12172402,1144010800,203,20140729,개별난방,도시형 생활주택(주상복합),종합계약,6,38,0
51,A10025003,1144010800,1248,20200221,개별난방,아파트,단일계약,43,0,1437
52,A12109002,1144010900,574,20010328,개별난방,아파트,단일계약,20,93,590
53,A12109001,1144010900,534,20031205,지역난방,아파트,종합계약,13,0,892
54,A12187403,1144010900,678,19970830,개별난방,아파트,기타,9,130,103
55,A10026036,1144010900,927,20180928,개별난방,아파트,단일계약,33,0,1173
56,A10024597,1144010900,88,20050530,개별난방,,단일계약,3,30,58
57,A10024347,1144010900,1694,20211230,개별난방,아파트,종합계약,53,0,2022
58,A12172201,1144011000,350,20040731,개별난방,주상복합,단일계약,3,54,201
59,A12171201,1144011100,313,20091229,개별난방,아파트,단일계약,6,56,303
60,A12185602,1144011100,192,20031215,개별난방,아파트,종합계약,5,161,60
61,A12185605,1144011100,279,20040730,개별난방,아파트,종합계약,7,30,401
62,A12185606,1144011100,391,19970408,개별난방,아파트,단일계약,9,82,278
63,A12111001,1144011100,160,20070517,개별난방,아파트,종합계약,8,59,123
64,A12185504,1144011100,260,19981215,개별난방,아파트,단일계약,6,88,174
65,A12185603,1144011100,210,19960914,개별난방,아파트,종합계약,7,72,117
66,A10024974,1144011100,1015,20190829,지역난방,아파트,단일계약,24,0,1338
67,A12112001,1144011200,219,19990726,개별난방,아파트,단일계약,4,13,230
68,A12112002,1144011200,510,20040216,개별난방,아파트,단일계약,14,59,529
69,A10027714,1144011200,773,20160128,지역난방,아파트,종합계약,50,0,947
70,A12119007,1144011400,640,19980624,개별난방,아파트,단일계약,21,90,552
71,A12188201,1144011400,239,20010330,개별난방,아파트,종합계약,7,28,230
72,A12188205,1144011400,553,20031128,개별난방,아파트,단일계약,14,83,545
73,A12188202,1144011400,243,20050818,개별난방,아파트,단일계약,6,40,220
74,A12177801,1144011400,192,20070411,개별난방,주상복합,종합계약,8,0,335
75,A12119006,1144011400,635,20071101,개별난방,아파트,단일계약,26,144,609
76,A12119004,1144011400,447,20071212,개별난방,아파트,종합계약,8,47,428
77,A10025633,1144011400,276,20190228,개별난방,아파트,단일계약,8,0,331
78,A12177802,1144011400,311,19980624,개별난방,아파트,단일계약,5,45,45
79,A10024425,1144011400,589,20210111,개별난방,아파트,단일계약,8,0,327
80,A12182901,1144011500,258,20041229,개별난방,아파트,종합계약,6,63,281
81,A12170702,1144011500,530,20141017,지역난방,아파트,단일계약,32,0,680
