,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,월계초안산쌍용,A13991017,1135010200,225,20060327,개별난방,아파트
1,월계6-2초안,A13905208,1135010200,571,19971120,중앙난방,아파트
2,월계흥화브라운빌,A13905202,1135010200,233,20040924,개별난방,아파트
3,월계청백4단지,A13985107,1135010200,520,19980810,지역난방,아파트
4,월계동신,A13984604,1135010200,864,19830430,개별난방,아파트
5,월계사슴3단지,A13984411,1135010200,884,19950612,지역난방,아파트
6,월계대동,A13905102,1135010200,258,19970930,개별난방,아파트
7,월계삼창,A13984603,1135010200,296,19841221,개별난방,아파트
8,월계6-1초안,A13905204,1135010200,410,19980430,중앙난방,아파트
9,월계극동,A13985201,1135010200,199,19960809,개별난방,아파트
10,월계청백1단지,A13985106,1135010200,1147,19980714,지역난방,아파트
11,월계주공1단지,A13984813,1135010200,2298,19921119,중앙난방,아파트
12,성북역신도브래뉴,A13987501,1135010200,157,20050523,개별난방,아파트
13,월계동현대,A13905105,1135010200,1281,20001125,개별난방,아파트
14,월계2차한일,A13987503,1135010200,171,20000426,개별난방,아파트
15,월계주공2단지,A13984814,1135010200,2002,19921030,개별난방,아파트
16,월계그랑빌,A13984004,1135010200,3003,20021018,개별난방,아파트
17,월계동원베네스트,A13991016,1135010200,205,20050331,개별난방,아파트
18,월계대우아파트,A13985103,1135010200,344,19980729,지역난방,아파트
19,월계청백3단지,A13985105,1135010200,458,19980810,지역난방,아파트
20,월계사슴2단지,A13984409,1135010200,775,19950612,지역난방,아파트
21,월계삼호4차,A13984003,1135010200,910,19870706,중앙난방,아파트
22,월계사슴1단지,A13995602,1135010200,1372,19950612,지역난방,아파트
23,월계풍림아이원,A13905003,1135010200,484,20051216,개별난방,아파트
24,월계서광,A13905301,1135010200,274,19941021,개별난방,아파트
25,월계역신도브래뉴,A13987502,1135010200,223,20050628,개별난방,아파트
26,롯데캐슬루나,A13991018,1135010200,850,20061130,개별난방,아파트
27,성원(사슴4),A13905302,1135010200,713,19950612,지역난방,아파트
28,월계유원,A13991015,1135010200,154,19980414,개별난방,아파트
29,월계한일1차,A13905101,1135010200,190,19991209,개별난방,아파트
