Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A13991017,1135010200,225,20060327.0,개별난방,아파트,종합계약,9,47,189
1,A13905208,1135010200,571,19971120.0,중앙난방,아파트,기타,8,163,143
2,A13905202,1135010200,233,20040924.0,개별난방,아파트,종합계약,8,47,205
3,A13985107,1135010200,520,19980810.0,지역난방,아파트,기타,10,150,239
4,A13984604,1135010200,864,19830430.0,개별난방,아파트,단일계약,9,590,0
5,A13984411,1135010200,884,19950612.0,지역난방,아파트,기타,10,215,119
6,A13905102,1135010200,258,19970930.0,개별난방,아파트,종합계약,7,5,232
7,A13984603,1135010200,296,19841221.0,개별난방,아파트,단일계약,6,206,0
8,A13905204,1135010200,410,19980430.0,중앙난방,아파트,기타,6,73,153
9,A13985201,1135010200,199,19960809.0,개별난방,아파트,종합계약,8,88,38
10,A13985106,1135010200,1147,19980714.0,지역난방,아파트,기타,16,269,223
11,A13984813,1135010200,2298,19921119.0,중앙난방,아파트,기타,25,546,0
12,A13987501,1135010200,157,20050523.0,개별난방,아파트,단일계약,7,62,104
13,A13905105,1135010200,1281,20001125.0,개별난방,아파트,종합계약,22,302,1167
14,A13987503,1135010200,171,20000426.0,개별난방,아파트,단일계약,5,34,160
15,A13984814,1135010200,2002,19921030.0,개별난방,아파트,기타,29,787,0
16,A13984004,1135010200,3003,20021018.0,개별난방,아파트,단일계약,61,3967,00
17,A13991016,1135010200,205,20050331.0,개별난방,아파트,종합계약,8,58,148
18,A13985103,1135010200,344,19980729.0,지역난방,아파트,종합계약,9,162,458
19,A13985105,1135010200,458,19980810.0,지역난방,아파트,기타,6,121,154
20,A13984409,1135010200,775,19950612.0,지역난방,아파트,기타,10,148,145
21,A13984003,1135010200,910,19870706.0,중앙난방,아파트,단일계약,7,289,0
22,A13995602,1135010200,1372,19950612.0,지역난방,아파트,단일계약,16,300,47
23,A13905003,1135010200,484,20051216.0,개별난방,아파트,단일계약,12,69,420
24,A13905301,1135010200,274,19941021.0,개별난방,아파트,단일계약,8,132,73
25,A13987502,1135010200,223,20050628.0,개별난방,아파트,단일계약,9,95,166
26,A13991018,1135010200,850,20061130.0,개별난방,아파트,단일계약,36,356,797
27,A13905302,1135010200,713,19950612.0,지역난방,아파트,종합계약,10,241,149
28,A13991015,1135010200,154,19980414.0,개별난방,아파트,종합계약,4,56,95
29,A13905101,1135010200,190,19991209.0,개별난방,아파트,단일계약,5,52,186
30,A13984005,1135010200,3930,19860607.0,지역난방,아파트,단일계약,37,2055,0
31,A10027121,1135010200,326,20171020.0,개별난방,아파트,단일계약,17,1,359
32,A10027716,1135010200,504,20160127.0,개별난방,아파트,단일계약,34,0,598
33,A10025097,1135010200,859,20200130.0,개별난방,아파트,종합계약,21,0,1116
34,A10024636,1135010200,115,20051027.0,개별난방,아파트,단일계약,4,52,78
35,A10024812,1135010200,138,20011204.0,개별난방,아파트,단일계약,4,31,132
36,A13980513,1135010300,1601,20010917.0,개별난방,아파트,단일계약,38,473,1526
37,A13924003,1135010300,561,20001020.0,개별난방,아파트,단일계약,13,222,408
38,A13994501,1135010300,181,20001018.0,개별난방,아파트,종합계약,6,28,157
39,A13980801,1135010300,152,19990430.0,개별난방,아파트,단일계약,3,0,172
40,A13980010,1135010300,436,20000127.0,지역난방,아파트,단일계약,22,227,310
41,A13980415,1135010300,579,20001018.0,개별난방,아파트,단일계약,16,134,517
42,A13980018,1135010300,700,19990729.0,지역난방,아파트,단일계약,10,238,267
43,A13980107,1135010300,342,20020307.0,개별난방,아파트,종합계약,9,76,360
44,A13980509,1135010300,525,19941207.0,지역난방,아파트,기타,7,162,98
45,A13980009,1135010300,432,19851028.0,개별난방,아파트,단일계약,24,330,0
46,A13980014,1135010300,564,20001215.0,지역난방,아파트,단일계약,19,286,700
47,A13980012,1135010300,494,20000504.0,지역난방,아파트,단일계약,20,19,486
48,A13924004,1135010300,845,19950930.0,개별난방,아파트,단일계약,23,235,521
49,A13980510,1135010300,660,19941207.0,지역난방,아파트,기타,9,215,42
50,A13924205,1135010300,295,19960412.0,개별난방,아파트,단일계약,8,185,70
51,A13980102,1135010300,153,20000214.0,개별난방,아파트,단일계약,2,33,121
52,A13980604,1135010300,174,20000329.0,개별난방,아파트,단일계약,5,18,150
53,A13980413,1135010300,196,19991224.0,개별난방,아파트,단일계약,6,71,184
54,A13980511,1135010300,840,19941207.0,지역난방,아파트,단일계약,10,222,99
55,A13980105,1135010300,190,19991023.0,개별난방,아파트,단일계약,5,52,172
56,A13980402,1135010300,215,19990424.0,개별난방,아파트,종합계약,5,17,202
57,A13980108,1135010300,363,19951230.0,개별난방,아파트,단일계약,9,60,292
58,A13980407,1135010300,340,19950602.0,지역난방,아파트,단일계약,,194,130
59,A13980803,1135010300,158,19971028.0,개별난방,아파트,종합계약,3,26,118
60,A13980004,1135010300,278,20001125.0,지역난방,아파트,종합계약,12,0,325
61,A13980706,1135010300,191,20030120.0,개별난방,아파트,단일계약,6,22,184
62,A13980403,1135010300,237,20040429.0,개별난방,아파트,단일계약,6,44,179
63,A13980401,1135010300,198,20040618.0,개별난방,아파트,종합계약,7,79,166
64,A13980017,1135010300,691,19990820.0,지역난방,아파트,단일계약,8,166,188
65,A13980512,1135010300,1395,19941207.0,지역난방,아파트,기타,18,289,94
66,A13980411,1135010300,452,19991224.0,개별난방,아파트,단일계약,9,52,450
67,A13980019,1135010300,1676,19990723.0,지역난방,아파트,단일계약,28,508,731
68,A10026289,1135010300,138,20021129.0,개별난방,아파트,종합계약,4,10,140
69,A13980006,1135010300,297,20001125.0,지역난방,아파트,단일계약,14,0,343
70,A10027622,1135010300,234,20160116.0,개별난방,주상복합,종합계약,8,0,301
71,A13974401,1135010300,145,,개별난방,,,,,
72,A10023991,1135010300,1308,20220118.0,개별난방,아파트,종합계약,41,0,1563
73,A10023478,1135010300,164,20130924.0,개별난방,도시형 생활주택(아파트),단일계약,3,8,48
74,A10023990,1135010300,270,20211202.0,개별난방,아파트,종합계약,3,0,109
75,A13987305,1135010400,1476,19990209.0,지역난방,아파트,단일계약,36,882,817
76,A13923001,1135010400,160,19940319.0,개별난방,연립주택,단일계약,,8,198
77,A13987303,1135010400,1320,19880929.0,중앙난방,아파트,단일계약,44,1386,0
78,A13993502,1135010400,498,19930303.0,중앙난방,아파트,단일계약,18,299,323
79,A13923104,1135010400,685,19890621.0,지역난방,아파트,단일계약,21,570,0
80,A13923106,1135010400,730,19970731.0,지역난방,아파트,단일계약,25,230,580
81,A13923102,1135010400,288,19991227.0,개별난방,아파트,단일계약,7,55,249
82,A13987304,1135010400,1880,19891030.0,중앙난방,아파트,단일계약,28,633,0
83,A13977913,1135010400,2634,19920928.0,지역난방,아파트,기타,33,636,0
84,A13987205,1135010400,700,19970627.0,개별난방,아파트,단일계약,24,544,288
85,A13923108,1135010400,1192,19891030.0,중앙난방,아파트,단일계약,16,548,0
86,A13993901,1135010400,486,20010628.0,지역난방,아파트,단일계약,4,66,72
87,A13987301,1135010400,378,20020314.0,중앙난방,아파트,단일계약,4,69,41
88,A13987302,1135010400,640,19891030.0,지역난방,아파트,단일계약,,229,0
89,A13987306,1135010400,1980,19880613.0,지역난방,아파트,단일계약,41,1254,0
90,A13993503,1135010400,1200,19881029.0,지역난방,아파트,단일계약,9,321,0
91,A13993501,1135010400,396,19930610.0,개별난방,아파트,단일계약,15,205,347
92,A13923103,1135010400,660,19881029.0,지역난방,아파트,단일계약,22,400,0
93,A10026660,1135010400,117,20171024.0,중앙난방,아파트,단일계약,,0,128
94,A13983810,1135010500,468,20010529.0,지역난방,아파트,종합계약,15,21,693
95,A13973202,1135010500,114,20050530.0,개별난방,아파트,단일계약,4,4,110
