,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,쌍용예가클래식,A13782601,1165010100,216,20061227,지역난방,아파트
1,방배우성,A13785302,1165010100,468,19910506,개별난방,아파트
2,방배래미안타워,A13706302,1165010100,344,20050107,개별난방,아파트
3,방배아크로리버,A13706001,1165010100,222,20041124,개별난방,주상복합
4,방배SH-VILLE,A13706002,1165010100,81,20050811,개별난방,아파트
5,방배1차현대,A13785203,1165010100,644,19991109,개별난방,아파트
6,방배신삼호,A13782602,1165010100,481,19830531,지역난방,아파트
7,방배한신트리플,A13770801,1165010100,163,20040227,개별난방,주상복합
8,방배래미안,A13785301,1165010100,303,20031001,개별난방,아파트
9,방배신동아,A13784907,1165010100,493,19811230,중앙난방,아파트
10,방배3차e편한세상,A13783001,1165010100,192,20060331,개별난방,아파트
11,현대멤피스아파트,A13782902,1165010100,206,20010926,개별난방,아파트
12,방배브라운가,A13784401,1165010100,161,20060526,개별난방,아파트
13,방배1차이편한세상,A13784102,1165010100,199,20031230,개별난방,아파트
14,방배서리풀e편한세상,A13771601,1165010100,496,20100203,개별난방,아파트
15,롯데캐슬헤론,A13782803,1165010100,337,20060626,개별난방,주상복합
16,방배삼익,A13785004,1165010100,408,19811216,중앙난방,아파트
17,래미안방배아트힐,A13785008,1165010100,588,20041214,개별난방,아파트
18,"방배임광1,2차",A13785005,1165010100,418,19851113,중앙난방,아파트
19,방배2차현대홈타운,A13785201,1165010100,384,20010827,개별난방,아파트
20,방배대우효령,A13706303,1165010100,364,19921125,개별난방,아파트
21,방배임광3차,A13785001,1165010100,316,19880414,중앙난방,아파트
22,방배디오빌,A13783802,1165010100,412,20050705,개별난방,주상복합
23,삼호,A13782804,1165010100,899,19751128,지역난방,아파트
24,방배롯데캐슬아르떼,A13771001,1165010100,744,20131120,개별난방,아파트
25,신동아럭스빌아파트,A10025472,1165010100,55,20030930,개별난방,아파트
26,방배3차 현대 홈 타운 아파트,A10027585,1165010100,123,20040701,개별난방,아파트
27,방배아트자이,A10025927,1165010100,353,20181029,지역난방,아파트
28,방배자이아파트,A10027016,1165010100,136,20031101,개별난방,아파트
