Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A13782601,1165010100,216,20061227.0,지역난방,아파트,단일계약,10,80,127
1,A13785302,1165010100,468,19910506.0,개별난방,아파트,단일계약,16,306,26
2,A13706302,1165010100,344,20050107.0,개별난방,아파트,종합계약,8,91,518
3,A13706001,1165010100,222,20041124.0,개별난방,주상복합,종합계약,7,11,492
4,A13706002,1165010100,81,20050811.0,개별난방,아파트,단일계약,1,0,57
5,A13785203,1165010100,644,19991109.0,개별난방,아파트,종합계약,15,90,708
6,A13782602,1165010100,481,19830531.0,지역난방,아파트,종합계약,17,481,0
7,A13770801,1165010100,163,20040227.0,개별난방,주상복합,단일계약,2,13,150
8,A13785301,1165010100,303,20031001.0,개별난방,아파트,종합계약,16,36,350
9,A13784907,1165010100,493,19811230.0,중앙난방,아파트,단일계약,12,528,0
10,A13783001,1165010100,192,20060331.0,개별난방,아파트,종합계약,7,0,626
11,A13782902,1165010100,206,20010926.0,개별난방,아파트,종합계약,6,40,459
12,A13784401,1165010100,161,20060526.0,개별난방,아파트,종합계약,7,65,153
13,A13784102,1165010100,199,20031230.0,개별난방,아파트,종합계약,7,12,528
14,A13771601,1165010100,496,20100203.0,개별난방,아파트,종합계약,26,0,937
15,A13782803,1165010100,337,20060626.0,개별난방,주상복합,종합계약,16,0,692
16,A13785004,1165010100,408,19811216.0,중앙난방,아파트,단일계약,9,344,0
17,A13785008,1165010100,588,20041214.0,개별난방,아파트,종합계약,11,125,1106
18,A13785005,1165010100,418,19851113.0,중앙난방,아파트,종합계약,15,277,0
19,A13785201,1165010100,384,20010827.0,개별난방,아파트,종합계약,11,112,485
20,A13706303,1165010100,364,19921125.0,개별난방,아파트,단일계약,15,155,125
21,A13785001,1165010100,316,19880414.0,중앙난방,아파트,단일계약,8,88,54
22,A13783802,1165010100,412,20050705.0,개별난방,주상복합,종합계약,3,14,437
23,A13782804,1165010100,899,19751128.0,지역난방,아파트,종합계약,20,555,0
24,A13771001,1165010100,744,20131120.0,개별난방,아파트,종합계약,22,6,1164
25,A10025472,1165010100,55,20030930.0,개별난방,아파트,종합계약,2,28,123
26,A10027585,1165010100,123,20040701.0,개별난방,아파트,단일계약,5,0,219
27,A10025927,1165010100,353,20181029.0,지역난방,아파트,종합계약,16,0,570
28,A10027016,1165010100,136,20031101.0,개별난방,아파트,단일계약,6,378,14
29,A10026154,1165010100,80,20061130.0,개별난방,주상복합,종합계약,5,0,294
30,A10024857,1165010100,116,20070419.0,개별난방,주상복합,종합계약,,123,123
31,A10024171,1165010100,758,20210723.0,지역난방,아파트,종합계약,30,0,1514
32,A10024942,1165010100,99,20191226.0,개별난방,아파트,,,,155
33,A10023272,1165010100,130,20090701.0,개별난방,,단일계약,14,42,346
34,A10024322,1165010100,116,19981017.0,개별난방,,,0,,
35,A10023620,1165010100,90,20020727.0,개별난방,,,0,,
36,A13789002,1165010200,175,20020830.0,개별난방,아파트,단일계약,3,77,98
37,A13713001,1165010200,231,20140626.0,개별난방,아파트,종합계약,5,0,292
