Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A12070201,1141010200,258,20040923,개별난방,주상복합,단일계약,2,0,185
1,A10024966,1141010200,499,20200117,개별난방,주상복합,종합계약,7,9,244
2,A12003001,1141010300,180,20081031,개별난방,아파트,종합계약,6,2,201
3,A12005001,1141010500,237,20020321,개별난방,아파트,종합계약,7,98,186
4,A12070101,1141010500,561,20110407,개별난방,아파트,단일계약,23,0,683
5,A12004001,1141010600,1008,20060313,개별난방,아파트,단일계약,26,161,628
6,A12007001,1141010800,895,19950623,개별난방,아파트,종합계약,27,430,513
7,A12008001,1141010900,290,20001213,개별난방,아파트,단일계약,5,37,166
8,A12008003,1141010900,1300,19981210,개별난방,아파트,단일계약,29,284,1067
9,A12079601,1141010900,600,19981210,개별난방,아파트,단일계약,6,14,206
10,A12079501,1141011000,956,19990303,개별난방,아파트,단일계약,11,175,540
11,A10027851,1141011000,940,20151023,개별난방,아파트,종합계약,36,0,1263
12,A10026370,1141011000,1910,20180503,개별난방,아파트,단일계약,70,10,2079
13,A10024719,1141011000,1226,20200804,개별난방,아파트,종합계약,39,0,1387
14,A12009303,1141011100,240,19960722,개별난방,아파트,단일계약,10,81,71
15,A12009202,1141011100,474,20010613,개별난방,아파트,종합계약,11,71,448
16,A12009001,1141011100,150,19960807,개별난방,아파트,단일계약,1,412,130
17,A12078704,1141011100,939,20000614,개별난방,아파트,단일계약,22,392,801
18,A12078707,1141011100,482,20000614,개별난방,아파트,단일계약,6,105,54
19,A12009201,1141011100,242,19980511,개별난방,아파트,단일계약,5,24,224
20,A12009304,1141011100,554,19960807,개별난방,아파트,단일계약,12,262,182
21,A12009305,1141011100,768,20021122,개별난방,아파트,단일계약,16,255,520
22,A12009102,1141011100,704,19920708,개별난방,아파트,단일계약,22,391,116
23,A12086001,1141011100,214,19980731,개별난방,아파트,단일계약,3,20,166
24,A12009101,1141011100,192,19990930,개별난방,아파트,종합계약,4,0,238
25,A12078706,1141011100,228,20010530,개별난방,아파트,단일계약,12,0,173
26,A12085303,1141011100,998,19930504,개별난방,아파트,단일계약,22,348,487
27,A12009302,1141011100,236,20030620,개별난방,아파트,종합계약,8,91,173
28,A12009203,1141011100,862,19940630,개별난방,아파트,단일계약,31,402,376
29,A12078705,1141011100,700,20000705,개별난방,아파트,단일계약,18,194,603
30,A12078201,1141011100,246,20000705,개별난방,아파트,단일계약,3,19,161
31,A10025767,1141011100,906,20181231,개별난방,아파트,단일계약,31,0,1051
32,A10027681,1141011100,296,20160203,개별난방,아파트,종합계약,11,0,334
33,A12009002,1141011100,115,20091209,개별난방,주상복합,,,,
34,A10023959,1141011100,1116,20211230,개별난방,아파트,종합계약,47,0,1331
