,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,돈암신일해피트리,A13679903,1129010300,192,20130115,개별난방,아파트
1,돈암포스코더샵,A13606002,1129010300,339,20060331,개별난방,아파트
2,돈암풍림,A13606101,1129010300,460,19990511,개별난방,아파트
3,돈암일신건영휴먼빌,A13606003,1129010300,689,20050601,개별난방,아파트
4,돈암삼성임대,A13606106,1129010300,736,19990430,개별난방,아파트
5,돈암동부센트레빌,A13681303,1129010300,540,20030918,개별난방,아파트
6,돈암풍림임대,A13606105,1129010300,309,19990511,개별난방,아파트
7,돈암삼성,A13606107,1129010300,1278,19990430,개별난방,아파트
8,돈암힐스테이트,A13679902,1129010300,200,20070418,개별난방,아파트
9,동소문한진임대,A13606005,1129010300,580,19980701,중앙난방,아파트
10,브라운스톤 돈암,A13606201,1129010300,1074,20041218,개별난방,아파트
11,돈암범양,A13606102,1129010300,499,19981209,개별난방,아파트
12,돈암현대,A13681304,1129010300,619,19910613,개별난방,아파트
13,대성유니드아파트,A10027350,1129010300,81,20090727,개별난방,아파트
14,돈암코오롱하늘채아파트,A10027227,1129010300,629,20161229,개별난방,아파트
15,돈암한신한진아파트,A13606004,1129010300,3929,19980701,중앙난방,아파트
16,금호어울림센터힐아파트,A10028001,1129010300,490,20141031,개별난방,아파트
17,동소문현대아파트,A10025140,1129010300,141,19940718,개별난방,아파트
18,동소문동송산,A13603401,1129010700,345,19980612,개별난방,아파트
19,동소문한신휴플러스,A13603701,1129010700,409,20040705,개별난방,아파트
20,돈암동일하이빌,A13603501,1129010800,236,20060428,개별난방,주상복합
21,브라운스톤동선,A13603702,1129011000,194,20101126,개별난방,아파트
22,삼선푸르지오아파트,A13672101,1129011200,864,20080327,개별난방,아파트
23,삼선힐스테이트,A13672102,1129011200,377,20091201,개별난방,아파트
24,삼선1SH-VILLE,A13604301,1129011300,285,20081114,개별난방,아파트
25,삼선SKView,A13670801,1129011300,430,20120430,개별난방,아파트
26,삼선코오롱아파트,A13604401,1129011400,437,19991102,개별난방,아파트
27,안암삼성래미안,A13607101,1129012100,528,20050616,개별난방,아파트
28,안암삼익,A13607301,1129012300,204,19830614,개별난방,아파트
29,안암대광,A13607302,1129012300,346,19711209,개별난방,아파트
30,보문하우스토리주상복합,A13608401,1129012600,162,20110805,개별난방,주상복합
31,보문아남,A13608601,1129012800,218,19941010,개별난방,아파트
32,보문파크뷰자이아파트,A10027189,1129012800,1186,20170118,개별난방,아파트
33,보문리슈빌하우트,A10023669,1129013000,465,20220330,개별난방,아파트
34,보문아이파크,A13608301,1129013200,431,20030830,개별난방,아파트
35,이편한세상보문,A13677401,1129013200,440,20131224,개별난방,아파트
36,정릉쌍용,A13676501,1129013300,193,19991113,개별난방,아파트
37,정릉풍림아이원,A13610007,1129013300,1971,20051228,개별난방,아파트
38,정릉중앙하이츠빌1단지,A13685104,1129013300,433,20040430,개별난방,아파트
39,정릉중앙하이츠빌2단지,A13684306,1129013300,745,20051116,개별난방,아파트
40,정릉중앙하이츠,A13684701,1129013300,261,19990514,개별난방,아파트
41,정릉2차 e편한세상,A13677101,1129013300,527,20090608,개별난방,아파트
42,정릉우성,A13677206,1129013300,823,20000212,개별난방,아파트
43,정릉힐스테이트1차아파트,A13610003,1129013300,222,20070518,개별난방,아파트
44,정릉우방아파트,A13610001,1129013300,196,19990728,개별난방,아파트
45,정릉푸른마을동아,A13684605,1129013300,529,20031004,개별난방,아파트
46,길음뉴타운 데시앙,A13676605,1129013300,514,19991122,개별난방,아파트
47,정릉산장,A13610004,1129013300,264,19771229,개별난방,아파트
48,정릉우정에쉐르,A13677807,1129013300,212,20090416,개별난방,아파트
49,길음뉴타운 경남아너스빌,A13610107,1129013300,860,19990619,개별난방,아파트
50,정릉푸르지오,A13610202,1129013300,403,20051128,개별난방,아파트
51,정릉성원,A13610301,1129013300,271,20000117,개별난방,아파트
52,정릉힐스테이트,A13610103,1129013300,355,20041223,개별난방,아파트
53,정릉스카이쌍용,A13676504,1129013300,406,19990212,개별난방,아파트
54,정릉1차e-편한세상,A13676703,1129013300,739,20060602,개별난방,아파트
55,정릉대우,A13676702,1129013300,791,20010621,개별난방,아파트
56,정릉힐스테이트3차,A13610005,1129013300,522,20080609,개별난방,아파트
57,정릉2차대주피오레,A13610201,1129013300,169,20080530,개별난방,아파트
58,정릉풍림아이원임대,A13676704,1129013300,332,20051228,개별난방,아파트
59,길음뉴타운10단지,A13610102,1129013300,236,20081008,개별난방,아파트
60,정릉꿈에그린아파트,A10028000,1129013300,349,20150430,개별난방,아파트
61,청신호 행복주택 정릉하늘마루,A10024237,1129013300,166,20200326,개별난방,도시형 생활주택(연립주택)
62,정릉피오레,A10024056,1129013300,127,20041130,개별난방,
63,길음동부센트레빌,A13611202,1129013400,1377,20030331,개별난방,아파트
64,래미안길음뉴타운9단지,A13611011,1129013400,1012,20100930,개별난방,아파트
65,길음래미안2차,A13611201,1129013400,560,20060623,개별난방,아파트
66,길음래미안3차,A13611005,1129013400,977,20070724,개별난방,아파트
67,"길음뉴타운푸르지오아파트2,3단지",A13611007,1129013400,2068,20050420,개별난방,아파트
68,길음뉴타운대림4단지,A13611006,1129013400,1605,20050420,개별난방,아파트
69,길음신안파크,A13680701,1129013400,252,19881126,개별난방,아파트
70,래미안길음1차,A13611103,1129013400,1125,20030129,개별난방,아파트
71,길음뉴타운7단지,A13679403,1129013400,449,20100728,개별난방,아파트
72,길음동부제2,A13611002,1129013400,300,20030331,개별난방,아파트
73,길음삼부,A13611004,1129013400,684,19980202,개별난방,아파트
74,길음뉴타운8단지제2,A13611010,1129013400,120,20100630,개별난방,아파트
