Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
돈암신일해피트리,A13679903,1129010300,192,20130115,개별난방,아파트,단일계약,12,0,319
돈암포스코더샵,A13606002,1129010300,339,20060331,개별난방,아파트,종합계약,11,93,290
돈암풍림,A13606101,1129010300,460,19990511,개별난방,아파트,단일계약,14,130,441
돈암일신건영휴먼빌,A13606003,1129010300,689,20050601,개별난방,아파트,단일계약,22,288,691
돈암삼성임대,A13606106,1129010300,736,19990430,개별난방,아파트,단일계약,8,26,139
돈암동부센트레빌,A13681303,1129010300,540,20030918,개별난방,아파트,종합계약,21,683,0
돈암풍림임대,A13606105,1129010300,309,19990511,개별난방,아파트,단일계약,4,35,72
돈암삼성,A13606107,1129010300,1278,19990430,개별난방,아파트,단일계약,29,559,1117
돈암힐스테이트,A13679902,1129010300,200,20070418,개별난방,아파트,단일계약,9,28,214
동소문한진임대,A13606005,1129010300,580,19980701,중앙난방,아파트,단일계약,4,580,0
브라운스톤 돈암,A13606201,1129010300,1074,20041218,개별난방,아파트,종합계약,32,87,1038
돈암범양,A13606102,1129010300,499,19981209,개별난방,아파트,단일계약,11,102,415
돈암현대,A13681304,1129010300,619,19910613,개별난방,아파트,단일계약,18,216,159
대성유니드아파트,A10027350,1129010300,81,20090727,개별난방,아파트,종합계약,2,21,78
돈암코오롱하늘채아파트,A10027227,1129010300,629,20161229,개별난방,아파트,단일계약,22,0,690
돈암한신한진아파트,A13606004,1129010300,3929,19980701,중앙난방,아파트,종합계약,174,1747,3057
금호어울림센터힐아파트,A10028001,1129010300,490,20141031,개별난방,아파트,단일계약,11,0,561
동소문현대아파트,A10025140,1129010300,141,19940718,개별난방,아파트,종합계약,5,55,34
동소문동송산,A13603401,1129010700,345,19980612,개별난방,아파트,단일계약,7,140,183
동소문한신휴플러스,A13603701,1129010700,409,20040705,개별난방,아파트,단일계약,14,84,438
돈암동일하이빌,A13603501,1129010800,236,20060428,개별난방,주상복합,종합계약,4,0,390
브라운스톤동선,A13603702,1129011000,194,20101126,개별난방,아파트,종합계약,7,0,228
삼선푸르지오아파트,A13672101,1129011200,864,20080327,개별난방,아파트,종합계약,39,41,1085
삼선힐스테이트,A13672102,1129011200,377,20091201,개별난방,아파트,단일계약,32,28,386
삼선1SH-VILLE,A13604301,1129011300,285,20081114,개별난방,아파트,종합계약,3,10,190
삼선SKView,A13670801,1129011300,430,20120430,개별난방,아파트,단일계약,32,0,630
삼선코오롱아파트,A13604401,1129011400,437,19991102,개별난방,아파트,단일계약,11,102,327
안암삼성래미안,A13607101,1129012100,528,20050616,개별난방,아파트,단일계약,22,70,518
안암삼익,A13607301,1129012300,204,19830614,개별난방,아파트,단일계약,9,220,0
안암대광,A13607302,1129012300,346,19711209,개별난방,아파트,단일계약,,100,0
보문하우스토리주상복합,A13608401,1129012600,162,20110805,개별난방,주상복합,종합계약,7,1,262
보문아남,A13608601,1129012800,218,19941010,개별난방,아파트,단일계약,8,99,64
보문파크뷰자이아파트,A10027189,1129012800,1186,20170118,개별난방,아파트,종합계약,35,0,1293
보문리슈빌하우트,A10023669,1129013000,465,20220330,개별난방,아파트,종합계약,26,0,523
보문아이파크,A13608301,1129013200,431,20030830,개별난방,아파트,단일계약,10,108,375
이편한세상보문,A13677401,1129013200,440,20131224,개별난방,아파트,종합계약,48,13,548
정릉쌍용,A13676501,1129013300,193,19991113,개별난방,아파트,단일계약,4,17,194
정릉풍림아이원,A13610007,1129013300,1971,20051228,개별난방,아파트,단일계약,50,298,2064
정릉중앙하이츠빌1단지,A13685104,1129013300,433,20040430,개별난방,아파트,단일계약,15,47,414
정릉중앙하이츠빌2단지,A13684306,1129013300,745,20051116,개별난방,아파트,단일계약,21,101,755
정릉중앙하이츠,A13684701,1129013300,261,19990514,개별난방,아파트,단일계약,5,71,133
정릉2차 e편한세상,A13677101,1129013300,527,20090608,개별난방,아파트,단일계약,24,44,583
정릉우성,A13677206,1129013300,823,20000212,개별난방,아파트,단일계약,22,225,492
정릉힐스테이트1차아파트,A13610003,1129013300,222,20070518,개별난방,아파트,단일계약,7,32,219
정릉우방아파트,A13610001,1129013300,196,19990728,개별난방,아파트,단일계약,5,23,159
정릉푸른마을동아,A13684605,1129013300,529,20031004,개별난방,아파트,단일계약,16,129,415
길음뉴타운 데시앙,A13676605,1129013300,514,19991122,개별난방,아파트,단일계약,13,124,393
정릉산장,A13610004,1129013300,264,19771229,개별난방,아파트,단일계약,8,160,0
정릉우정에쉐르,A13677807,1129013300,212,20090416,개별난방,아파트,종합계약,6,18,244
길음뉴타운 경남아너스빌,A13610107,1129013300,860,19990619,개별난방,아파트,단일계약,18,195,607
정릉푸르지오,A13610202,1129013300,403,20051128,개별난방,아파트,단일계약,12,86,362
정릉성원,A13610301,1129013300,271,20000117,개별난방,아파트,단일계약,6,34,260
정릉힐스테이트,A13610103,1129013300,355,20041223,개별난방,아파트,단일계약,8,6,385
