Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A13373302,1120010100,211,20140626.0,개별난방,아파트,단일계약,4,0,164
1,A13373301,1120010100,937,20140626.0,개별난방,아파트,단일계약,33,0,1401
2,A13302203,1120010200,414,20011214.0,개별난방,아파트,종합계약,11,107,350
3,A13302204,1120010200,458,20011005.0,개별난방,아파트,종합계약,12,53,481
4,A13385705,1120010200,480,19890330.0,개별난방,아파트,단일계약,17,299,75
5,A13302001,1120010200,822,19960607.0,개별난방,아파트,단일계약,23,287,538
6,A13377302,1120010200,274,20011005.0,개별난방,아파트,단일계약,6,10,90
7,A13385802,1120010200,277,19960315.0,개별난방,아파트,단일계약,10,153,54
8,A13377301,1120010200,191,20011214.0,개별난방,아파트,단일계약,2,63,0
9,A13302206,1120010200,758,20041130.0,개별난방,아파트,단일계약,25,87,762
10,A13388001,1120010200,510,19960607.0,개별난방,아파트,단일계약,4,54,78
11,A10027969,1120010200,333,20150424.0,개별난방,아파트,단일계약,6,0,294
12,A10027920,1120010200,1369,20150424.0,개별난방,아파트,종합계약,41,2055,0
13,A10027289,1120010200,2529,20161129.0,개별난방,아파트,기타,73,0,3166
14,A10026900,1120010200,713,20170728.0,개별난방,아파트,종합계약,17,0,933
15,A10027454,1120010200,69,20091130.0,개별난방,주상복합,,,,
16,A10027432,1120010200,272,20160428.0,개별난방,아파트,단일계약,20,3,273
17,A10024762,1120010300,101,20051123.0,개별난방,아파트,단일계약,3,34,81
18,A13370801,1120010400,342,20060913.0,개별난방,주상복합,단일계약,8,0,445
19,A13305006,1120010500,430,19961214.0,개별난방,아파트,종합계약,9,214,240
20,A13305005,1120010500,400,20061121.0,개별난방,아파트,단일계약,7,19,305
21,A13381601,1120010500,170,19990531.0,개별난방,아파트,단일계약,3,20,158
22,A13305002,1120010500,248,20041130.0,개별난방,아파트,단일계약,6,76,204
23,A13305003,1120010500,286,20040604.0,개별난방,아파트,단일계약,8,81,224
24,A13305007,1120010500,811,19861227.0,중앙난방,아파트,단일계약,23,450,0
25,A13381608,1120010500,1017,19980414.0,개별난방,아파트,단일계약,36,238,804
26,A13381604,1120010500,367,20060927.0,개별난방,아파트,종합계약,9,0,456
27,A13381701,1120010600,270,19890912.0,개별난방,아파트,단일계약,3,166,0
28,A13307202,1120010700,636,19950522.0,개별난방,아파트,단일계약,13,264,182
29,A13377902,1120010700,1005,20001230.0,개별난방,아파트,단일계약,10,60,209
30,A13307204,1120010700,2399,20001230.0,개별난방,아파트,단일계약,69,941,1962
31,A13377903,1120010700,728,20001107.0,개별난방,아파트,단일계약,8,62,147
32,A13307201,1120010700,208,20050901.0,개별난방,아파트,단일계약,8,48,174
33,A13307101,1120010700,498,19980715.0,개별난방,아파트,단일계약,17,207,360
34,A13373101,1120010700,159,20031223.0,개별난방,아파트,단일계약,2,97,27
35,A13377703,1120010700,2123,20001107.0,개별난방,아파트,단일계약,45,390,2002
36,A13386702,1120010700,1410,20031223.0,개별난방,아파트,단일계약,34,147,1371
37,A13307001,1120010700,251,19970704.0,개별난방,아파트,단일계약,6,51,160
38,A13307002,1120010700,457,20110502.0,개별난방,아파트,종합계약,16,1,538
39,A13307003,1120010700,495,20140916.0,개별난방,주상복합,종합계약,16,0,735
40,A13377901,1120010700,351,20091203.0,개별난방,아파트,단일계약,12,0,388
41,A10025685,1120010700,94,20110502.0,개별난방,아파트,단일계약,1,0,99
42,A10026207,1120010700,1034,20180622.0,개별난방,아파트,종합계약,18,0,1351
43,A10025686,1120010700,114,20091204.0,개별난방,아파트,단일계약,10,13,68
44,A10024464,1120010700,299,20200831.0,개별난방,도시형 생활주택(주상복합),종합계약,4,0,183
45,A13385301,1120010800,375,20030607.0,개별난방,아파트,단일계약,9,0,422
46,A13385202,1120010800,410,19890921.0,개별난방,아파트,단일계약,6,293,0
47,A13308004,1120010800,644,19900920.0,개별난방,아파트,단일계약,13,520,50
48,A13385303,1120010800,434,19960409.0,개별난방,아파트,단일계약,12,205,110
49,A13376906,1120010800,1150,20011026.0,개별난방,아파트,단일계약,21,93,1244
50,A13308005,1120010800,855,19861023.0,중앙난방,아파트,단일계약,19,523,0
51,A13380104,1120010900,1707,20011203.0,개별난방,아파트,단일계약,39,458,1923
52,A13309103,1120010900,1214,20011203.0,개별난방,아파트,단일계약,16,62,344
53,A13309102,1120010900,582,20011031.0,개별난방,아파트,단일계약,20,4,687
54,A13309101,1120010900,169,20060331.0,개별난방,아파트,단일계약,7,2,200
55,A10026418,1120010900,1330,20190509.0,개별난방,아파트,단일계약,82,0,1547
56,A13380302,1120011000,847,20120518.0,개별난방,아파트,종합계약,54,0,1001
57,A13380301,1120011000,401,20120518.0,개별난방,아파트,종합계약,18,0,461
58,A10027602,1120011000,1156,20160420.0,개별난방,아파트,단일계약,34,0,1289
59,A13380303,1120011000,306,20120518.0,개별난방,아파트,단일계약,4,0,306
60,A13380602,1120011100,336,20050531.0,개별난방,아파트,단일계약,14,32,448
61,A13380703,1120011100,1267,19940916.0,개별난방,아파트,단일계약,28,414,298
62,A13309301,1120011100,323,20050729.0,개별난방,아파트,단일계약,10,18,368
63,A13379001,1120011100,403,20120705.0,개별난방,아파트,종합계약,13,0,446
64,A13378101,1120011200,508,20010503.0,개별난방,아파트,단일계약,6,18,127
65,A13380803,1120011200,888,20070731.0,개별난방,아파트,종합계약,28,68,948
66,A13378102,1120011200,586,20120816.0,개별난방,아파트,종합계약,23,0,672
67,A13380901,1120011200,217,20070330.0,개별난방,아파트,단일계약,9,22,226
68,A13309404,1120011200,1181,20010503.0,개별난방,아파트,단일계약,27,196,1269
69,A13309402,1120011200,249,20030109.0,개별난방,아파트,단일계약,14,0,284
70,A10026470,1120011200,606,20180219.0,개별난방,아파트,종합계약,24,0,757
71,A13378103,1120011200,121,20120816.0,개별난방,아파트,단일계약,2,85,85
72,A10023252,1120011200,86,20100120.0,개별난방,아파트,단일계약,4,0,104
73,A13375907,1120011300,1511,20121228.0,개별난방,아파트,종합계약,51,0,1799
74,A13375906,1120011300,297,20111230.0,개별난방,아파트,단일계약,10,15,400
75,A13375904,1120011300,237,19980330.0,개별난방,아파트,단일계약,2,27,51
76,A13375901,1120011300,535,19820918.0,중앙난방,아파트,단일계약,15,473,0
77,A13310004,1120011300,900,19861224.0,중앙난방,아파트,단일계약,25,882,0
78,A13384403,1120011300,583,19971002.0,개별난방,아파트,단일계약,11,183,285
79,A13375905,1120011300,330,19990420.0,개별난방,아파트,단일계약,3,5,170
80,A13376702,1120011300,566,19900525.0,중앙난방,아파트,단일계약,14,301,56
81,A13375903,1120011300,269,20041029.0,개별난방,아파트,단일계약,8,43,263
82,A13375902,1120011300,1114,19990420.0,중앙난방,아파트,단일계약,24,382,1019
83,A13383801,1120011300,536,19980330.0,개별난방,아파트,단일계약,19,286,400
84,A13375908,1120011300,310,20130415.0,개별난방,아파트,단일계약,6,0,239
85,A10026748,1120011300,1976,20161109.0,개별난방,아파트,단일계약,61,0,2473
86,A13375909,1120011300,72,,,,,,,
87,A13382502,1120011400,217,19900922.0,개별난방,아파트,기타,6,150,0
88,A13311101,1120011400,159,20030925.0,개별난방,아파트,단일계약,5,20,150
89,A13384301,1120011400,168,19990113.0,개별난방,아파트,단일계약,4,23,145
90,A13372102,1120011400,777,19971007.0,개별난방,아파트,단일계약,20,211,585
91,A13379401,1120011400,230,20110729.0,개별난방,주상복합,종합계약,10,48,669
92,A13372101,1120011400,283,19990731.0,개별난방,아파트,종합계약,6,40,255
93,A13376405,1120011400,378,19940404.0,개별난방,아파트,종합계약,9,105,178
94,A13384304,1120011400,331,19990611.0,개별난방,아파트,단일계약,10,91,284
95,A13392307,1120011400,580,20020219.0,개별난방,아파트,단일계약,30,65,595
96,A13384303,1120011400,256,20031027.0,개별난방,아파트,단일계약,6,119,171
97,A13381902,1120011400,219,19940204.0,개별난방,아파트,단일계약,5,52,137
98,A13382104,1120011400,372,20001027.0,개별난방,아파트,종합계약,10,79,301
99,A13382106,1120011400,390,19830903.0,개별난방,아파트,단일계약,5,320,0
100,A10026988,1120011400,688,20170529.0,개별난방,아파트,종합계약,16,17,1106
101,A10024503,1120011400,280,20201112.0,중앙난방,아파트,종합계약,10,0,720
102,A13312303,1120011500,656,20030828.0,개별난방,아파트,단일계약,34,52,923
103,A13312302,1120011500,604,20030930.0,개별난방,아파트,단일계약,28,35,849
104,A13378001,1120011500,445,20090601.0,개별난방,아파트,단일계약,17,0,800
105,A13383301,1120011500,221,19991208.0,개별난방,아파트,단일계약,5,46,175
106,A13383003,1120011500,246,19940404.0,개별난방,아파트,단일계약,7,70,169
107,A13382802,1120011500,202,20000919.0,개별난방,아파트,단일계약,6,23,197
108,A13312101,1120011500,157,20060530.0,개별난방,아파트,종합계약,6,104,143
109,A10023316,1120011500,146,20011221.0,개별난방,,단일계약,,146,100
110,A10025101,1120011500,114,20090206.0,개별난방,아파트,,,,
111,A13383702,1120011800,447,20000510.0,개별난방,아파트,단일계약,9,151,302
112,A13316001,1120011800,241,20090312.0,개별난방,아파트,종합계약,6,0,286
113,A10024886,1120012200,170,20200302.0,개별난방,도시형 생활주택(주상복합),종합계약,2,0,50
