,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,왕십리텐즈힐2구역214동,A13373302,1120010100,211,20140626,개별난방,아파트
1,텐즈힐2구역,A13373301,1120010100,937,20140626,개별난방,아파트
2,하왕극동미라주,A13302203,1120010200,414,20011214,개별난방,아파트
3,하왕금호베스트빌,A13302204,1120010200,458,20011005,개별난방,아파트
4,한신무학,A13385705,1120010200,480,19890330,개별난방,아파트
5,청계벽산,A13302001,1120010200,822,19960607,개별난방,아파트
6,금호베스트빌아파트 제2관리사무소,A13377302,1120010200,274,20011005,개별난방,아파트
7,무학현대,A13385802,1120010200,277,19960315,개별난방,아파트
8,하왕십리극동미라주2,A13377301,1120010200,191,20011214,개별난방,아파트
9,왕십리풍림아이원,A13302206,1120010200,758,20041130,개별난방,아파트
10,청계벽산아파트제2관리사무소,A13388001,1120010200,510,19960607,개별난방,아파트
11,왕십리텐즈힐1단지(임대),A10027969,1120010200,333,20150424,개별난방,아파트
12,텐즈힐1단지,A10027920,1120010200,1369,20150424,개별난방,아파트
13,센트라스,A10027289,1120010200,2529,20161129,개별난방,아파트
14,왕십리 자이 아파트,A10026900,1120010200,713,20170728,개별난방,아파트
15,왕십리모노퍼스,A10027454,1120010200,69,20091130,개별난방,주상복합
16,서울 왕십리 KCC스위첸아파트,A10027432,1120010200,272,20160428,개별난방,아파트
17,청계대주파크빌,A10024762,1120010300,101,20051123,개별난방,아파트
18,성동삼성쉐르빌,A13370801,1120010400,342,20060913,개별난방,주상복합
19,마장삼성,A13305006,1120010500,430,19961214,개별난방,아파트
20,마장SH-vill임대,A13305005,1120010500,400,20061121,개별난방,아파트
21,마장중앙하이츠,A13381601,1120010500,170,19990531,개별난방,아파트
22,마장동 대성유니드 아파트,A13305002,1120010500,248,20041130,개별난방,아파트
23,마장신성미소지움,A13305003,1120010500,286,20040604,개별난방,아파트
24,마장세림,A13305007,1120010500,811,19861227,중앙난방,아파트
25,마장현대,A13381608,1120010500,1017,19980414,개별난방,아파트
26,마장동금호어울림,A13381604,1120010500,367,20060927,개별난방,아파트
27,사근중앙하이츠,A13381701,1120010600,270,19890912,개별난방,아파트
28,신동아,A13307202,1120010700,636,19950522,개별난방,아파트
29,행당대림제2,A13377902,1120010700,1005,20001230,개별난방,아파트
30,행당대림,A13307204,1120010700,2399,20001230,개별난방,아파트
31,행당한진타운제2,A13377903,1120010700,728,20001107,개별난방,아파트
32,행당브라운스톤,A13307201,1120010700,208,20050901,개별난방,아파트
33,서울숲삼부아파트,A13307101,1120010700,498,19980715,개별난방,아파트
34,행당한신임대,A13373101,1120010700,159,20031223,개별난방,아파트
35,행당한진타운,A13377703,1120010700,2123,20001107,개별난방,아파트
36,서울숲한신더휴아파트,A13386702,1120010700,1410,20031223,개별난방,아파트
37,행당두산,A13307001,1120010700,251,19970704,개별난방,아파트
38,서울숲행당푸르지오,A13307002,1120010700,457,20110502,개별난방,아파트
39,서울숲더샵,A13307003,1120010700,495,20140916,개별난방,주상복합
40,행당두산위브아파트,A13377901,1120010700,351,20091203,개별난방,아파트
41,서울숲행당푸르지오(임대),A10025685,1120010700,94,20110502,개별난방,아파트
42,서울숲리버뷰자이아파트,A10026207,1120010700,1034,20180622,개별난방,아파트
43,행당두산위브아파트(임대),A10025686,1120010700,114,20091204,개별난방,아파트
44,지웰홈스 왕십리,A10024464,1120010700,299,20200831,개별난방,도시형 생활주택(주상복합)
45,서울숲리버그린동아,A13385301,1120010800,375,20030607,개별난방,아파트
46,응봉대림2차,A13385202,1120010800,410,19890921,개별난방,아파트
47,응봉금호현대,A13308004,1120010800,644,19900920,개별난방,아파트
48,응봉신동아,A13385303,1120010800,434,19960409,개별난방,아파트
49,응봉대림강변,A13376906,1120010800,1150,20011026,개별난방,아파트
50,응봉대림1차,A13308005,1120010800,855,19861023,중앙난방,아파트
51,금호벽산,A13380104,1120010900,1707,20011203,개별난방,아파트
52,금호벽산(임대),A13309103,1120010900,1214,20011203,개별난방,아파트
53,금호삼성래미안,A13309102,1120010900,582,20011031,개별난방,아파트
54,신금호두산위브,A13309101,1120010900,169,20060331,개별난방,아파트
55,e편한세상금호파크힐스,A10026418,1120010900,1330,20190509,개별난방,아파트
56,래미안하이리버,A13380302,1120011000,847,20120518,개별난방,아파트
57,금호자이1차,A13380301,1120011000,401,20120518,개별난방,아파트
58,신금호파크자이아파트,A10027602,1120011000,1156,20160420,개별난방,아파트
59,래미안하이리버제2임대,A13380303,1120011000,306,20120518,개별난방,아파트
60,금호1차푸르지오,A13380602,1120011100,336,20050531,개별난방,아파트
61,금호두산,A13380703,1120011100,1267,19940916,개별난방,아파트
62,금호한신휴플러스,A13309301,1120011100,323,20050729,개별난방,아파트
63,금호자이2차,A13379001,1120011100,403,20120705,개별난방,아파트
64,금호대우임대,A13378101,1120011200,508,20010503,개별난방,아파트
65,서울숲푸르지오,A13380803,1120011200,888,20070731,개별난방,아파트
66,서울숲2차푸르지오,A13378102,1120011200,586,20120816,개별난방,아파트
67,브라운스톤금호아파트,A13380901,1120011200,217,20070330,개별난방,아파트
68,금호대우,A13309404,1120011200,1181,20010503,개별난방,아파트
69,금호동롯데아파트,A13309402,1120011200,249,20030109,개별난방,아파트
70,힐스테이트서울숲리버,A10026470,1120011200,606,20180219,개별난방,아파트
71,서울숲2차푸르지오임대,A13378103,1120011200,121,20120816,개별난방,아파트
72,브라운스톤 금호2차아파트,A10023252,1120011200,86,20100120,개별난방,아파트
73,래미안옥수리버젠,A13375907,1120011300,1511,20121228,개별난방,아파트
74,어울림더리버아파트,A13375906,1120011300,297,20111230,개별난방,아파트
75,옥수하이츠제2,A13375904,1120011300,237,19980330,개별난방,아파트
76,한남하이츠,A13375901,1120011300,535,19820918,중앙난방,아파트
77,옥수극동,A13310004,1120011300,900,19861224,중앙난방,아파트
78,옥수극동그린아파트,A13384403,1120011300,583,19971002,개별난방,아파트
79,옥수삼성임대,A13375905,1120011300,330,19990420,개별난방,아파트
80,옥수현대,A13376702,1120011300,566,19900525,중앙난방,아파트
81,옥수강변풍림아이원,A13375903,1120011300,269,20041029,개별난방,아파트
82,옥수삼성,A13375902,1120011300,1114,19990420,중앙난방,아파트
83,옥수중앙하이츠,A13383801,1120011300,536,19980330,개별난방,아파트
84,래미안옥수리버젠제2임대,A13375908,1120011300,310,20130415,개별난방,아파트
85,옥수파크힐스아파트,A10026748,1120011300,1976,20161109,개별난방,아파트
86,극동옥정,A13375909,1120011300,72,,,
87,성수현대,A13382502,1120011400,217,19900922,개별난방,아파트
88,성수금호3차,A13311101,1120011400,159,20030925,개별난방,아파트
89,한양현대아파트,A13384301,1120011400,168,19990113,개별난방,아파트
90,성수쌍용,A13372102,1120011400,777,19971007,개별난방,아파트
91,성수갤러리아포레,A13379401,1120011400,230,20110729,개별난방,주상복합
92,성수2차대우,A13372101,1120011400,283,19990731,개별난방,아파트
93,성수한진타운,A13376405,1120011400,378,19940404,개별난방,아파트
94,성수동아그린,A13384304,1120011400,331,19990611,개별난방,아파트
95,강변건영,A13392307,1120011400,580,20020219,개별난방,아파트
96,뚝섬중앙하이츠빌,A13384303,1120011400,256,20031027,개별난방,아파트
97,성수현대그린,A13381902,1120011400,219,19940204,개별난방,아파트
98,서울숲대림아파트,A13382104,1120011400,372,20001027,개별난방,아파트
99,성수동아,A13382106,1120011400,390,19830903,개별난방,아파트
100,트리마제,A10026988,1120011400,688,20170529,개별난방,아파트
101,아크로 서울포레스트,A10024503,1120011400,280,20201112,중앙난방,아파트
102,성수아이파크,A13312303,1120011500,656,20030828,개별난방,아파트
103,성수롯데캐슬,A13312302,1120011500,604,20030930,개별난방,아파트
104,서울숲힐스테이트,A13378001,1120011500,445,20090601,개별난방,아파트
105,성수우방2차,A13383301,1120011500,221,19991208,개별난방,아파트
106,성수청구강변 ,A13383003,1120011500,246,19940404,개별난방,아파트
107,성수한강한신,A13382802,1120011500,202,20000919,개별난방,아파트
108,성수두산위브,A13312101,1120011500,157,20060530,개별난방,아파트
109,성수신성아파트,A10023316,1120011500,146,20011221,개별난방,
110,성수 대명루첸아파트,A10025101,1120011500,114,20090206,개별난방,아파트
111,송정건영,A13383702,1120011800,447,20000510,개별난방,아파트
112,서울숲아이파크,A13316001,1120011800,241,20090312,개별난방,아파트
113,용답동힐데스하임 청년주택,A10024886,1120012200,170,20200302,개별난방,도시형 생활주택(주상복합)
