Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A13822002,1171010100,3696,20070824.0,지역난방,아파트,단일계약,75,0,4686
1,A13822004,1171010100,5678,20080930.0,지역난방,아파트,종합계약,118,10,7445
2,A13886701,1171010100,336,19900817.0,지역난방,아파트,단일계약,12,283,0
3,A13879102,1171010100,3930,19780415.0,지역난방,아파트,종합계약,110,2411,0
4,A13822902,1171010100,555,19830831.0,지역난방,아파트,종합계약,17,568,0
5,A13822702,1171010100,1842,19811208.0,지역난방,아파트,단일계약,64,2451,0
6,A13822003,1171010100,5563,20080731.0,지역난방,아파트,종합계약,119,0,7876
7,A13822301,1171010100,741,20050111.0,지역난방,주상복합,종합계약,27,20,1427
8,A13822701,1171010100,1356,19860614.0,지역난방,아파트,종합계약,52,1379,720
9,A13822001,1171010100,2678,20061228.0,지역난방,아파트,종합계약,56,3,4110
10,A10027523,1171010100,96,20050829.0,개별난방,주상복합,단일계약,4,30,100
11,A10023599,1171010100,298,20221013.0,개별난방,아파트,종합계약,5,0,86
12,A13872503,1171010200,288,20130619.0,지역난방,주상복합,종합계약,8,0,502
13,A13824002,1171010200,213,20080912.0,개별난방,주상복합,종합계약,10,3,587
14,A13872502,1171010200,400,20051122.0,중앙난방,주상복합,종합계약,22,0,1071
15,A13824005,1171010200,3402,19790124.0,지역난방,아파트,단일계약,41,1980,0
16,A13824006,1171010200,6864,20080829.0,지역난방,아파트,종합계약,111,0,9486
17,A13824001,1171010200,189,20060929.0,개별난방,주상복합,종합계약,10,0,433
18,A13824003,1171010200,493,19881230.0,중앙난방,아파트,단일계약,3,88,448
19,A13872504,1171010200,120,19840817.0,개별난방,아파트,종합계약,5,186,0
20,A13804206,1171010300,895,19950731.0,개별난방,아파트,단일계약,24,646,231
21,A13887302,1171010300,782,19950613.0,개별난방,아파트,단일계약,24,269,399
22,A13887301,1171010300,236,20000930.0,지역난방,아파트,단일계약,5,40,213
23,A13887405,1171010300,557,19991115.0,지역난방,아파트,단일계약,17,93,540
24,A13804002,1171010300,417,19940727.0,개별난방,아파트,단일계약,11,119,263
25,A13804003,1171010300,442,19980527.0,개별난방,아파트,단일계약,16,214,234
26,A13887702,1171010300,275,19850617.0,지역난방,아파트,단일계약,11,311,0
27,A13887403,1171010300,384,19991130.0,지역난방,아파트,단일계약,10,32,341
28,A13804001,1171010300,415,19871215.0,지역난방,아파트,단일계약,10,268,0
29,A13804004,1171010300,708,19951114.0,지역난방,아파트,단일계약,19,377,121
30,A13887901,1171010300,166,20060224.0,개별난방,아파트,종합계약,8,7,219
31,A10025467,1171010300,140,19980312.0,개별난방,아파트,,,,
32,A10026804,1171010300,104,19911018.0,지역난방,아파트,종합계약,5,72,28
33,A10025632,1171010300,114,20060629.0,개별난방,,단일계약,,156,154
34,A10025185,1171010300,697,20191114.0,지역난방,아파트,종합계약,19,0,941
35,A10024379,1171010300,93,19990112.0,개별난방,,단일계약,15,6,82
36,A10024358,1171010300,85,19960722.0,개별난방,,단일계약,2,3,82
37,A13885306,1171010400,936,19841220.0,지역난방,아파트,단일계약,39,523,0
38,A13817001,1171010400,794,20120106.0,지역난방,아파트,종합계약,18,0,955
39,A13877501,1171010400,845,20011221.0,지역난방,아파트,종합계약,22,158,1224
40,A13885304,1171010400,744,19841023.0,지역난방,아파트,단일계약,28,862,0
41,A13885301,1171010400,243,19970516.0,개별난방,아파트,단일계약,5,78,167
42,A13885102,1171010400,576,19831221.0,지역난방,아파트,단일계약,17,374,0
43,A13885303,1171010400,378,19850112.0,지역난방,아파트,종합계약,13,460,0
44,A13817101,1171010400,227,19951017.0,개별난방,아파트,기타,7,36,191
45,A10028083,1171010400,71,20011120.0,지역난방,아파트,종합계약,,18,71
46,A10025460,1171010400,53,20071126.0,개별난방,아파트,,2,,
47,A10023610,1171010400,106,20030828.0,개별난방,,종합계약,3,16,100
48,A13819001,1171010500,393,20001010.0,개별난방,아파트,단일계약,11,50,377
49,A10027881,1171010500,257,20150826.0,개별난방,도시형 생활주택(주상복합),종합계약,3,0,238
50,A13880806,1171010700,2064,19970320.0,중앙난방,아파트,단일계약,49,2022,1608
51,A13880407,1171010700,915,19970811.0,지역난방,아파트,단일계약,17,120,618
52,A13881103,1171010700,648,19841128.0,지역난방,아파트,단일계약,19,650,0
53,A13880701,1171010700,435,19861107.0,지역난방,아파트,단일계약,9,348,0
54,A13816101,1171010700,206,20041215.0,개별난방,아파트,단일계약,7,44,201
55,A13895503,1171010700,160,20041130.0,개별난방,주상복합,종합계약,5,7,281
56,A13816202,1171010700,555,19841210.0,중앙난방,아파트,단일계약,16,821,0
57,A13816001,1171010700,210,19861216.0,기타,아파트,종합계약,3,156,0
58,A13880406,1171010700,839,19861206.0,지역난방,아파트,단일계약,14,472,0
59,A13881005,1171010700,919,20071115.0,지역난방,아파트,단일계약,22,76,1133
