,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,신트리4단지,A15807316,1147010100,845,20000523,지역난방,아파트
1,신정이펜하우스4단지,A15807004,1147010100,546,20110629,지역난방,아파트
2,신정이펜하우스5단지,A15807003,1147010100,238,20110418,지역난방,아파트
3,목동2차우성임대,A15807704,1147010100,1140,20000318,지역난방,아파트
4,신정5차현대,A15886504,1147010100,361,19991130,지역난방,아파트
5,목동9단지,A15807101,1147010100,2030,19870730,지역난방,아파트
6,신정쌍용,A15885306,1147010100,270,19921125,지역난방,아파트
7,경남아너스빌,A15807001,1147010100,292,20040630,지역난방,아파트
8,롯데캐슬,A15807205,1147010100,230,20041130,지역난방,아파트
9,목동8단지,A15807604,1147010100,1352,19870930,지역난방,아파트
10,신정청구아파트,A15885307,1147010100,279,19921006,지역난방,아파트
11,신트리3단지,A15807311,1147010100,537,20001011,지역난방,아파트
12,목동12단지,A15807706,1147010100,1860,19881006,지역난방,아파트
13,목동2차우성,A15807703,1147010100,1140,20000318,지역난방,아파트
14,서울주택도시공사 목동현대B 임대아파트,A15876401,1147010100,564,19970716,지역난방,아파트
15,신정대성유니드아파트2차,A15886402,1147010100,186,20040715,개별난방,아파트
16,삼성쉐르빌1 아파트,A15807603,1147010100,312,20030402,지역난방,주상복합
17,신트리1단지,A15807002,1147010100,997,19990521,지역난방,아파트
18,신정학마을1단지,A15886512,1147010100,639,20001025,지역난방,아파트
19,신정푸른마을3단지,A15886507,1147010100,440,20010129,지역난방,아파트
20,신정푸른마을4단지,A15886505,1147010100,390,20020823,지역난방,아파트
21,신정동아이파크,A15807210,1147010100,590,20020730,지역난방,아파트
22,목동13단지,A15807605,1147010100,2280,19870730,지역난방,아파트
23,신정이펜하우스1단지(총세대 기준),A15870701,1147010100,466,20110729,지역난방,아파트
24,신정푸른마을2단지,A15886508,1147010100,470,20010129,지역난방,아파트
25,신정양천,A15807707,1147010100,2995,19951211,지역난방,아파트
26,목동현대아파트,A15807211,1147010100,972,19970716,지역난방,아파트
27,신정동일하이빌,A15807315,1147010100,770,20051028,개별난방,아파트
28,신정학마을2단지,A15886510,1147010100,510,20001020,지역난방,아파트
29,신정6차현대,A15885514,1147010100,703,20001021,개별난방,아파트
30,신정이펜하우스3단지,A15879502,1147010100,1339,20110624,지역난방,아파트
31,신트리2단지,A15807313,1147010100,698,20000523,지역난방,아파트
32,목동2차삼성래미안,A15807702,1147010100,353,20011106,지역난방,아파트
33,신정푸른마을1단지임대,A15879501,1147010100,500,20010129,지역난방,아파트
34,목동11단지,A15807705,1147010100,1595,19881003,지역난방,아파트
35,목동삼성래미안,A15807208,1147010100,420,19960910,지역난방,아파트
36,목동14단지,A15807606,1147010100,3100,19870730,지역난방,아파트
37,목동10단지,A15873701,1147010100,2160,19870730,지역난방,아파트
38,신정학마을3단지,A15886501,1147010100,153,20020823,지역난방,아파트
39,신정현대,A15807204,1147010100,217,19950731,지역난방,아파트
40,신정세양청마루,A15807701,1147010100,326,20060712,개별난방,아파트
41,신정삼성SH임대,A15876402,1147010100,506,19960910,지역난방,아파트
42,신정대림,A15885303,1147010100,210,19921120,지역난방,아파트
43,유원목동,A15884901,1147010100,156,19901229,지역난방,아파트
44,목동삼성쉐르빌2차,A15807601,1147010100,170,20040319,지역난방,주상복합
45,신정명지해드는터,A15807202,1147010100,205,20031119,지역난방,아파트
46,양천중앙하이츠,A15873902,1147010100,241,20100202,개별난방,아파트
47,신정도시마을,A15807005,1147010100,92,20140613,개별난방,도시형 생활주택(아파트)
48,신정이펜하우스2단지,A15809002,1147010100,471,20110418,지역난방,아파트
49,신정e-편한세상,A15807306,1147010100,391,20040110,개별난방,아파트
50,목동힐스테이트,A10027375,1147010100,1081,20160519,개별난방,아파트
51,신정숲속마을아파트,A10027396,1147010100,560,20160810,지역난방,아파트
52,신정이든채,A10025649,1147010100,499,20190222,지역난방,아파트
53,목동파크자이아파트,A10025729,1147010100,356,20190207,지역난방,아파트
54,신정동 보람쉬움아파트,A10023593,1147010100,125,20030110,개별난방,아파트
55,호반써밋목동아파트,A10023886,1147010100,407,20220314,개별난방,아파트
56,래미안 목동아델리체,A10024398,1147010100,1497,20210128,지역난방,아파트
57,목동부영그린타운3차,A15805301,1147010200,276,20001124,지역난방,주상복합
58,목동5단지,A15805504,1147010200,1848,19860930,지역난방,아파트
59,"목동대원칸타빌2,3단지",A15805404,1147010200,511,20030628,개별난방,아파트
60,목동2단지,A15875102,1147010200,1640,19860930,지역난방,아파트
61,목동현대아이파크,A15805102,1147010200,171,20030628,개별난방,아파트
62,목동3단지,A15805003,1147010200,1588,19860930,지역난방,아파트
63,목동우성,A15880204,1147010200,332,19920414,지역난방,아파트
64,목동건영,A15805203,1147010200,299,19941223,지역난방,아파트
65,목동1단지,A15875101,1147010200,1882,19851119,지역난방,아파트
66,목동e-편한세상,A15805202,1147010200,276,20060705,개별난방,아파트
67,목동현대하이페리온,A15805114,1147010200,466,20030721,지역난방,주상복합
68,목동7단지,A15805115,1147010200,2550,19861006,지역난방,아파트
69,목동금호1차,A15882107,1147010200,224,19971004,지역난방,아파트
70,목동진도2차,A15882103,1147010200,179,19990327,지역난방,아파트
71,목동트라팰리스,A15870101,1147010200,522,20090123,지역난방,주상복합
72,목동현대하이페리온2차,A15805111,1147010200,576,20061130,지역난방,아파트
73,목동금호어울림,A15805403,1147010200,371,20041124,지역난방,아파트
74,목동대원칸타빌,A15805101,1147010200,154,20010910,개별난방,아파트
75,목동현대1차,A15882008,1147010200,242,19971206,지역난방,아파트
76,목동4단지,A15805503,1147010200,1382,19860930,지역난방,아파트
77,목동성원,A15881702,1147010200,155,20000629,개별난방,아파트
78,목동롯데캐슬위너,A15805303,1147010200,1067,20050623,지역난방,아파트
79,목동2차성원아파트,A15805302,1147010200,423,20001213,개별난방,아파트
80,목동삼익,A15882010,1147010200,277,19970628,지역난방,주상복합
81,목동금강에스쁘아,A15881701,1147010200,153,20020813,지역난방,아파트
82,목동현대A,A15870102,1147010200,542,19970716,지역난방,아파트
83,목동6단지,A15875103,1147010200,1362,19860930,지역난방,아파트
84,목동극동늘푸른,A15881601,1147010200,206,19981030,지역난방,아파트
85,목동대림2차,A15805109,1147010200,262,19940607,지역난방,아파트
86,목동진도1차,A15882104,1147010200,182,19980908,지역난방,아파트
87,목동트윈빌,A15805502,1147010200,321,20000425,지역난방,주상복합
88,목동부영그린타운2차,A15805501,1147010200,240,20000525,지역난방,주상복합
89,목동현대2차,A15882006,1147010200,209,19960706,지역난방,아파트
90,목동성원,A15805105,1147010200,200,19970125,지역난방,아파트
91,목동한신청구,A15805002,1147010200,1512,19971208,지역난방,아파트
92,동구햇살,A10028007,1147010200,76,20030814,개별난방,아파트
93,목동금호베스트빌,A15880905,1147010200,495,20020327,지역난방,아파트
94,목동센트럴푸르지오아파트,A10027849,1147010200,248,20150630,지역난방,주상복합
95,목동현대파크빌,A10025345,1147010200,69,20031018,지역난방,
