Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A15807316,1147010100,845,20000523.0,지역난방,아파트,단일계약,11,123,379
1,A15807004,1147010100,546,20110629.0,지역난방,아파트,단일계약,20,59,597
2,A15807003,1147010100,238,20110418.0,지역난방,아파트,종합계약,10,10,295
3,A15807704,1147010100,1140,20000318.0,지역난방,아파트,단일계약,9,117,208
4,A15886504,1147010100,361,19991130.0,지역난방,아파트,종합계약,11,83,510
5,A15807101,1147010100,2030,19870730.0,지역난방,아파트,단일계약,43,1466,0
6,A15885306,1147010100,270,19921125.0,지역난방,아파트,종합계약,9,104,77
7,A15807001,1147010100,292,20040630.0,지역난방,아파트,단일계약,7,39,356
8,A15807205,1147010100,230,20041130.0,지역난방,아파트,종합계약,11,0,420
9,A15807604,1147010100,1352,19870930.0,지역난방,아파트,단일계약,24,774,78
10,A15885307,1147010100,279,19921006.0,지역난방,아파트,종합계약,10,103,77
11,A15807311,1147010100,537,20001011.0,지역난방,아파트,단일계약,18,23,602
12,A15807706,1147010100,1860,19881006.0,지역난방,아파트,단일계약,24,873,0
13,A15807703,1147010100,1140,20000318.0,지역난방,아파트,종합계약,35,464,912
14,A15876401,1147010100,564,19970716.0,지역난방,아파트,단일계약,6,40,142
15,A15886402,1147010100,186,20040715.0,개별난방,아파트,단일계약,7,84,103
16,A15807603,1147010100,312,20030402.0,지역난방,주상복합,종합계약,12,0,840
17,A15807002,1147010100,997,19990521.0,지역난방,아파트,단일계약,13,159,407
18,A15886512,1147010100,639,20001025.0,지역난방,아파트,단일계약,11,0,467
19,A15886507,1147010100,440,20010129.0,지역난방,아파트,단일계약,12,9,409
20,A15886505,1147010100,390,20020823.0,지역난방,아파트,단일계약,14,40,426
21,A15807210,1147010100,590,20020730.0,지역난방,아파트,단일계약,17,19,826
22,A15807605,1147010100,2280,19870730.0,지역난방,아파트,단일계약,42,1625,0
23,A15870701,1147010100,466,20110729.0,지역난방,아파트,종합계약,18,58,536
24,A15886508,1147010100,470,20010129.0,지역난방,아파트,단일계약,11,48,326
25,A15807707,1147010100,2995,19951211.0,지역난방,아파트,기타,42,567,700
26,A15807211,1147010100,972,19970716.0,지역난방,아파트,단일계약,25,388,874
27,A15807315,1147010100,770,20051028.0,개별난방,아파트,단일계약,22,0,1105
28,A15886510,1147010100,510,20001020.0,지역난방,아파트,단일계약,8,0,320
