Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A15003001,1156010100,271,20041015,개별난방,아파트,단일계약,8,59,245
1,A15003002,1156010100,2462,20020531,개별난방,아파트,단일계약,58,347,2207
2,A10026311,1156010100,136,20020718,개별난방,아파트,종합계약,4,12,154
3,A10024490,1156010200,185,20200723,개별난방,도시형 생활주택(주상복합),종합계약,3,0,95
4,A10025518,1156010600,115,19991227,개별난방,,,,,
5,A15003701,1156010800,600,19981130,개별난방,아파트,단일계약,12,0,706
6,A10026816,1156010800,1221,20170830,개별난방,아파트,단일계약,25,0,1530
7,A10026801,1156010800,118,20040318,개별난방,아파트,단일계약,3,54,80
8,A10024567,1156010800,185,20201026,개별난방,주상복합,단일계약,4,0,326
9,A15003801,1156010900,520,19990531,개별난방,아파트,단일계약,12,103,475
10,A15003802,1156010900,538,20040823,개별난방,아파트,단일계약,24,22,828
11,A15089513,1156011000,376,19770603,지역난방,아파트,단일계약,4,190,0
12,A15089307,1156011000,218,20030701,지역난방,주상복합,종합계약,10,4,542
13,A15076302,1156011000,580,20080429,지역난방,아파트,종합계약,17,0,1382
14,A15089421,1156011000,1584,19711221,지역난방,아파트,종합계약,24,1297,0
15,A15001020,1156011000,866,19751222,지역난방,아파트,단일계약,20,720,0
16,A15088717,1156011000,577,19780524,지역난방,아파트,종합계약,15,465,0
17,A15001004,1156011000,196,19780606,지역난방,아파트,종합계약,5,220,0
18,A15001016,1156011000,576,19750929,지역난방,아파트,단일계약,10,400,0
19,A15001009,1156011000,329,19760703,지역난방,아파트,단일계약,9,280,0
20,A15089510,1156011000,360,19741219,지역난방,아파트,종합계약,15,314,0
21,A15089411,1156011000,360,19741019,지역난방,아파트,종합계약,15,374,0
22,A15088614,1156011000,406,20050502,지역난방,주상복합,종합계약,10,0,935
23,A15001005,1156011000,248,20031126,지역난방,주상복합,종합계약,8,0,517
24,A15001003,1156011000,192,19760918,지역난방,아파트,종합계약,8,260,0
25,A15088208,1156011000,312,19771018,지역난방,아파트,단일계약,4,312,0
26,A15088918,1156011000,588,19751105,지역난방,아파트,종합계약,19,621,0
27,A15076301,1156011000,282,20021030,지역난방,주상복합,종합계약,10,0,492
28,A15001012,1156011000,373,19760806,지역난방,아파트,종합계약,6,290,0
29,A15001019,1156011000,744,19780729,지역난방,아파트,단일계약,30,910,0
30,A15001001,1156011000,153,19710827,지역난방,아파트,종합계약,2,64,0
31,A15088915,1156011000,445,20051230,지역난방,주상복합,종합계약,12,0,1081
32,A15088802,1156011000,160,19771216,지역난방,아파트,종합계약,8,155,0
33,A10024981,1156011000,98,19940721,지역난방,,종합계약,3,11,133
34,A15080002,1156011100,461,19970829,개별난방,아파트,단일계약,8,74,477
35,A15004101,1156011100,167,20080118,개별난방,아파트,종합계약,14,23,148
36,A15075001,1156011100,109,19960801,개별난방,주상복합,,,,
37,A15004201,1156011200,536,19990126,중앙난방,아파트,단일계약,4,0,542
38,A15004202,1156011200,783,19940608,개별난방,아파트,단일계약,21,251,489
39,A10023489,1156011200,496,20221202,개별난방,아파트,종합계약,12,0,348
40,A15080402,1156011300,176,19790504,개별난방,아파트,단일계약,2,130,0
41,A15072001,1156011300,284,20100708,개별난방,아파트,단일계약,13,6,279
42,A15080204,1156011300,338,19860228,개별난방,아파트,단일계약,13,295,0
43,A15080205,1156011300,468,20030625,개별난방,아파트,단일계약,11,0,749
44,A15072002,1156011300,195,20050630,개별난방,아파트,단일계약,5,215,0
45,A10024834,1156011300,125,20091119,개별난방,아파트,,,,
46,A15004406,1156011400,509,19881228,개별난방,아파트,단일계약,15,263,37
47,A15080507,1156011400,976,20000327,개별난방,아파트,종합계약,69,55,1085
48,A15004403,1156011400,292,20020928,개별난방,아파트,단일계약,9,133,217
49,A15004405,1156011400,392,19970924,개별난방,아파트,단일계약,7,59,329
50,A15080501,1156011400,265,19990902,개별난방,아파트,단일계약,6,76,217
51,A15072201,1156011400,299,20100219,개별난방,아파트,종합계약,10,2,614
52,A10027684,1156011400,162,20151124,개별난방,아파트,종합계약,6,23,162
53,A10026797,1156011400,198,20170728,개별난방,아파트,종합계약,5,0,302
54,A15004507,1156011500,1391,20031230,개별난방,아파트,단일계약,32,71,2393
55,A15004503,1156011500,258,20011012,개별난방,아파트,단일계약,9,85,216
56,A15004502,1156011500,212,20050222,개별난방,주상복합,단일계약,5,0,195
57,A15004506,1156011500,480,19991210,개별난방,아파트,단일계약,14,135,445
58,A15004505,1156011500,410,19840905,개별난방,아파트,단일계약,17,450,0
59,A15004501,1156011500,205,19971001,개별난방,아파트,단일계약,5,87,137
60,A10024789,1156011500,802,20200428,개별난방,아파트,종합계약,18,0,1121
61,A15081001,1156011700,348,19950530,개별난방,아파트,종합계약,10,109,220
62,A15081002,1156011700,801,20020626,개별난방+기타,아파트,단일계약,23,100,910
63,A15083202,1156011800,346,20000128,개별난방,아파트,단일계약,8,59,342
64,A15083201,1156011800,200,19971128,개별난방,아파트,단일계약,4,84,123
65,A15076702,1156011800,836,20140311,개별난방,아파트,종합계약,17,10,836
66,A15076701,1156011800,142,19980827,개별난방,아파트,단일계약,3,21,120
67,A15009201,1156012000,390,19830531,개별난방,아파트,단일계약,4,256,0
68,A15083602,1156012100,367,19880719,개별난방,아파트,단일계약,7,208,0
69,A15083404,1156012100,1302,20011121,개별난방,아파트,단일계약,28,284,1747
70,A15083603,1156012100,776,20030619,개별난방,아파트,종합계약,19,158,1234
71,A15076801,1156012100,134,20060929,개별난방,아파트,종합계약,,10,144
72,A10027023,1156012100,103,19981208,개별난방,아파트,종합계약,3,0,124
73,A15083601,1156012100,270,19831219,개별난방,아파트,단일계약,9,255,0
74,A10024832,1156012100,101,19990909,개별난방,아파트,종합계약,2,1,89
75,A15009402,1156012200,382,20010910,개별난방,아파트,단일계약,9,54,347
76,A15009401,1156012200,212,20080506,개별난방,아파트,단일계약,4,0,243
77,A15009505,1156012300,383,19881108,개별난방,아파트,단일계약,5,308,0
78,A15009503,1156012300,200,20000128,개별난방,아파트,종합계약,4,39,212
79,A15009501,1156012300,160,19840821,개별난방,아파트,단일계약,8,135,0
80,A15009504,1156012300,282,19920529,개별난방,아파트,단일계약,9,111,67
81,A15009502,1156012300,166,19911118,개별난방,아파트,단일계약,7,70,32
82,A10026197,1156012300,222,20171122,개별난방,아파트,단일계약,8,0,251
83,A15009607,1156012400,390,19871029,개별난방,아파트,종합계약,8,165,43
84,A15009606,1156012400,304,19970524,개별난방,아파트,단일계약,10,88,216
85,A15009602,1156012400,186,19850111,개별난방,아파트,단일계약,4,155,0
86,A15009605,1156012400,270,19970718,개별난방,아파트,단일계약,8,55,186
87,A15009604,1156012400,264,19861230,개별난방,아파트,단일계약,6,210,0
88,A15009603,1156012400,218,19981028,개별난방,아파트,단일계약,6,44,196
89,A15009601,1156012400,170,19960909,개별난방,아파트,단일계약,5,30,146
90,A10027512,1156012400,134,19910607,개별난방,아파트,단일계약,5,55,62
91,A10024925,1156012400,499,20200324,개별난방,아파트,종합계약,28,0,561
92,A10024495,1156012400,263,20200924,개별난방,아파트,종합계약,8,5,282
93,A15086202,1156012500,495,19820406,개별난방,아파트,종합계약,4,400,0
94,A15086201,1156012500,165,19961231,개별난방,아파트,단일계약,5,22,186
95,A10024316,1156012500,308,20210329,개별난방,아파트,종합계약,6,0,402
96,A15010203,1156012600,417,19901110,개별난방,아파트,단일계약,3,350,0
97,A15010202,1156012600,388,19980724,개별난방,아파트,단일계약,6,87,314
98,A15010201,1156012600,176,19991115,개별난방,아파트,기타,5,22,31
99,A10025034,1156012600,114,19961207,개별난방,아파트,,,,
100,A15010303,1156012700,179,20000629,개별난방,아파트,단일계약,6,35,180
101,A15010305,1156012700,312,19900818,개별난방,아파트,단일계약,12,246,0
102,A15010302,1156012700,179,19980718,개별난방,아파트,단일계약,3,9,158
103,A15010307,1156012700,770,20001215,개별난방,아파트,단일계약,17,79,709
104,A15010304,1156012700,213,19980508,개별난방,아파트,단일계약,4,57,171
105,A15010306,1156012700,532,19990524,개별난방,아파트,단일계약,12,113,572
106,A15010301,1156012700,170,20041012,개별난방,아파트,단일계약,6,15,166
107,A10026457,1156012700,128,20180124,개별난방,아파트,종합계약,4,32,96
108,A15086601,1156012800,198,20000311,개별난방,아파트,종합계약,3,17,196
109,A15086702,1156012800,216,20000229,개별난방,아파트,단일계약,5,26,186
110,A15086603,1156012800,372,19930710,개별난방,아파트,단일계약,11,136,197
111,A15010501,1156012900,184,19981016,개별난방,아파트,단일계약,5,74,128
112,A15010502,1156012900,1215,19960401,중앙난방,아파트,단일계약,25,455,835
113,A15010602,1156013000,263,20000805,개별난방,아파트,단일계약,7,119,185
114,A15010601,1156013000,219,19990901,개별난방,아파트,단일계약,12,1,244
115,A15005401,1156013200,387,20010615,개별난방,아파트,단일계약,4,90,86
116,A15005301,1156013200,321,19931026,개별난방,아파트,단일계약,9,149,85
117,A15005402,1156013200,826,20010615,개별난방,아파트,단일계약,36,122,853
118,A15005001,1156013200,476,19910504,개별난방,아파트,단일계약,17,203,89
119,A15085404,1156013200,420,19970721,개별난방,아파트,단일계약,11,147,298
120,A15005002,1156013200,216,20130726,개별난방,주상복합,단일계약,3,73,0
121,A15086007,1156013200,725,19860925,개별난방,아파트,종합계약,16,700,0
122,A15005102,1156013200,213,20000711,개별난방,아파트,단일계약,4,102,28
123,A15083703,1156013200,368,19990615,개별난방,아파트,단일계약,8,84,351
124,A15005302,1156013200,386,19850904,개별난방,아파트,종합계약,4,313,0
125,A15086001,1156013200,164,20051110,개별난방,아파트,단일계약,6,205,48
126,A15096001,1156013200,198,20110630,개별난방,아파트,단일계약,5,0,226
127,A15085805,1156013200,518,19741228,개별난방,아파트,단일계약,,280,0
128,A15005705,1156013200,1174,19970510,중앙난방,아파트,종합계약,26,496,608
129,A15083701,1156013200,160,19871212,개별난방,아파트,종합계약,2,45,0
130,A15005602,1156013200,214,19830817,개별난방,아파트,단일계약,2,163,0
