,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,후암미주,A14019001,1117010100,226,19800722,개별난방,아파트
1,동부센트레빌아스테리움서울,A14070901,1117010700,278,20130909,중앙난방,주상복합
2,리첸시아용산,A14070301,1117011200,260,20100429,개별난방,주상복합
3,용산더프라임,A14070302,1117011200,559,20140217,개별난방,아파트
4,용산원효루미니,A10023798,1117011200,752,20220428,개별난방,아파트
5,신창세방리버하이빌,A14006001,1117011400,176,20050411,개별난방,아파트
6,한강타운,A14004001,1117011500,289,20010222,개별난방,아파트
7,리버힐삼성아파트,A14004002,1117011500,1102,20010110,개별난방,아파트
8,산천리버힐제2,A14076401,1117011500,363,20010110,개별난방,아파트
9,청암자이,A14005001,1117011600,170,20050818,개별난방,아파트
10,sk청암대아파트,A10023464,1117011600,27,20010726,개별난방,아파트
11,원효산호,A14085002,1117011800,554,19770404,지역난방,아파트
12,원효로강변삼성스위트,A14085101,1117011800,300,19991224,개별난방,아파트
13,효창파크푸르지오,A14074101,1117011900,307,20100831,개별난방,아파트
14,효창한신,A14074102,1117011900,120,,,
15,용산롯데캐슬센터포레아파트,A10025533,1117011900,478,20190429,개별난방,아파트
16,용산데시앙포레아파트,A10023858,1117011900,384,20220328,개별난방,아파트
17,용산kcc스위첸,A10025898,1117011900,199,20180921,개별난방,아파트
18,도원삼성래미안,A14007002,1117012000,1458,20010803,개별난방,아파트
19,도원삼성제2,A14007001,1117012000,534,20010803,개별난방,아파트
20,브라운스톤용산,A14083101,1117012100,195,20110705,개별난방,아파트
21,용산CJ나인파크,A14010003,1117012200,280,20070702,개별난방,주상복합
22,이안용산프리미어,A14010002,1117012200,188,20070724,개별난방,주상복합
23,용산대우이안,A14010004,1117012200,266,20051130,개별난방,주상복합
24,용산아크로타워,A14010001,1117012200,208,20070122,개별난방,주상복합
25,용산 KCC 웰츠타워,A10027901,1117012200,232,20150327,개별난방,주상복합
26,용산지오베르크,A10026183,1117012200,72,20041230,개별난방,주상복합
27,용산e-편한세상,A14009001,1117012300,867,20110401,중앙난방,아파트
28,용산파크자이,A14075201,1117012400,310,20051223,개별난방,주상복합
29,대우월드마크용산,A14001101,1117012400,160,20071015,개별난방,주상복합
30,한강로벽산메가트리움,A14001201,1117012500,248,20050506,개별난방,주상복합
31,용산푸르지오써밋,A10026759,1117012500,151,20170801,개별난방,주상복합
32,아스테리움용산,A10026719,1117012500,128,20120731,개별난방+기타,주상복합
33,래미안용산아파트,A10026922,1117012500,195,20170531,중앙난방,주상복합
34,용산 베르디움 프렌즈,A10024333,1117012500,1086,20210305,개별난방,아파트
35,파크타워,A14002501,1117012700,888,20090515,지역난방,주상복합
36,시티파크2단지,A14088201,1117012800,208,20070821,중앙난방,주상복합
37,한강트럼프월드3차,A14088302,1117012800,123,20040428,중앙난방,주상복합
38,용산시티파크1단지,A14001303,1117012800,421,20070821,중앙난방,주상복합
39,한강로쌍용스윗닷홈아파트,A10025626,1117012800,98,20030930,개별난방,아파트
40,한강로우림필유,A14074501,1117012800,144,20060915,개별난방,아파트
41,용산센트럴파크,A10024691,1117012800,1140,20200820,지역난방,아파트
42,한가람아파트,A14072701,1117012900,2036,19980918,지역난방,아파트
43,이촌왕궁,A14003002,1117012900,250,19741223,지역난방,아파트
44,한강삼익,A14003003,1117012900,252,19791217,지역난방,아파트
45,이촌현대,A14003103,1117012900,653,19741209,지역난방,아파트
46,이촌동삼성리버스위트,A14003104,1117012900,244,20020430,지역난방,아파트
47,이촌동아그린아파트,A14003006,1117012900,499,19990531,지역난방,아파트
48,이촌한강맨션,A14003008,1117012900,660,19710322,지역난방,아파트
49,이촌동부센트레빌,A14003004,1117012900,309,20010602,지역난방,아파트
50,현대한강,A14085501,1117012900,516,19970307,지역난방,아파트
51,이촌대림,A14090902,1117012900,638,19941129,지역난방,아파트
52,LG한강자이,A14003007,1117012900,656,20030428,지역난방,아파트
53,이촌반도,A14003101,1117012900,192,19770112,지역난방,아파트
