Unnamed: 0,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
0,A14019001,1117010100,226.0,19800722.0,개별난방,아파트,단일계약,5,120,0
1,A14070901,1117010700,278.0,20130909.0,중앙난방,주상복합,종합계약,17,0,624
2,A14070301,1117011200,260.0,20100429.0,개별난방,주상복합,종합계약,11,0,394
3,A14070302,1117011200,559.0,20140217.0,개별난방,아파트,단일계약,13,0,922
4,A10023798,1117011200,752.0,20220428.0,개별난방,아파트,단일계약,12,0,423
5,A14006001,1117011400,176.0,20050411.0,개별난방,아파트,단일계약,8,70,126
6,A14004001,1117011500,289.0,20010222.0,개별난방,아파트,단일계약,4,80,162
7,A14004002,1117011500,1102.0,20010110.0,개별난방,아파트,단일계약,23,221,1081
8,A14076401,1117011500,363.0,20010110.0,개별난방,아파트,단일계약,5,162,162
9,A14005001,1117011600,170.0,20050818.0,개별난방,아파트,종합계약,6,22,512
10,A10023464,1117011600,27.0,20010726.0,개별난방,아파트,,,,
11,A14085002,1117011800,554.0,19770404.0,지역난방,아파트,단일계약,9,450,0
12,A14085101,1117011800,300.0,19991224.0,개별난방,아파트,단일계약,6,15,276
13,A14074101,1117011900,307.0,20100831.0,개별난방,아파트,단일계약,9,0,345
14,A14074102,1117011900,120.0,,,,,,,
15,A10025533,1117011900,478.0,20190429.0,개별난방,아파트,단일계약,30,0,521
16,A10023858,1117011900,384.0,20220328.0,개별난방,아파트,종합계약,19,7,458
17,A10025898,1117011900,199.0,20180921.0,개별난방,아파트,단일계약,14,0,216
18,A14007002,1117012000,1458.0,20010803.0,개별난방,아파트,단일계약,39,552,1375
19,A14007001,1117012000,534.0,20010803.0,개별난방,아파트,단일계약,6,12,251
20,A14083101,1117012100,195.0,20110705.0,개별난방,아파트,종합계약,10,0,224
21,A14010003,1117012200,280.0,20070702.0,개별난방,주상복합,종합계약,8,0,463
22,A14010002,1117012200,188.0,20070724.0,개별난방,주상복합,단일계약,6,2,312
23,A14010004,1117012200,266.0,20051130.0,개별난방,주상복합,종합계약,12,0,451
24,A14010001,1117012200,208.0,20070122.0,개별난방,주상복합,종합계약,5,8,384
25,A10027901,1117012200,232.0,20150327.0,개별난방,주상복합,종합계약,4,0,289
26,A10026183,1117012200,72.0,20041230.0,개별난방,주상복합,종합계약,3,2,90
27,A14009001,1117012300,867.0,20110401.0,중앙난방,아파트,단일계약,21,0,1046
28,A14075201,1117012400,310.0,20051223.0,개별난방,주상복합,종합계약,8,24,571
29,A14001101,1117012400,160.0,20071015.0,개별난방,주상복합,종합계약,4,0,307
30,A14001201,1117012500,248.0,20050506.0,개별난방,주상복합,단일계약,8,300,50
31,A10026759,1117012500,151.0,20170801.0,개별난방,주상복합,종합계약,4,0,332
32,A10026719,1117012500,128.0,20120731.0,개별난방+기타,주상복합,종합계약,17,0,777
33,A10026922,1117012500,195.0,20170531.0,중앙난방,주상복합,종합계약,10,0,476
34,A10024333,1117012500,1086.0,20210305.0,개별난방,아파트,종합계약,14,0,687
35,A14002501,1117012700,888.0,20090515.0,지역난방,주상복합,종합계약,31,0,2147
36,A14088201,1117012800,208.0,20070821.0,중앙난방,주상복합,종합계약,10,0,484
37,A14088302,1117012800,123.0,20040428.0,중앙난방,주상복합,종합계약,8,99,352
38,A14001303,1117012800,421.0,20070821.0,중앙난방,주상복합,종합계약,14,0,1051
39,A10025626,1117012800,98.0,20030930.0,개별난방,아파트,단일계약,2,5,120
40,A14074501,1117012800,144.0,20060915.0,개별난방,아파트,,,,
41,A10024691,1117012800,1140.0,20200820.0,지역난방,아파트,종합계약,26,0,2005
42,A14072701,1117012900,2036.0,19980918.0,지역난방,아파트,단일계약,48,379,1794
43,A14003002,1117012900,250.0,19741223.0,지역난방,아파트,단일계약,,270,0
44,A14003003,1117012900,252.0,19791217.0,지역난방,아파트,단일계약,6,234,0
45,A14003103,1117012900,653.0,19741209.0,지역난방,아파트,종합계약,16,637,0
46,A14003104,1117012900,244.0,20020430.0,지역난방,아파트,단일계약,8,6,602
47,A14003006,1117012900,499.0,19990531.0,지역난방,아파트,종합계약,22,57,482
48,A14003008,1117012900,660.0,19710322.0,지역난방,아파트,종합계약,,1000,0
49,A14003004,1117012900,309.0,20010602.0,지역난방,아파트,종합계약,9,79,396
50,A14085501,1117012900,516.0,19970307.0,지역난방,아파트,단일계약,13,107,272
51,A14090902,1117012900,638.0,19941129.0,지역난방,아파트,단일계약,12,214,251
52,A14003007,1117012900,656.0,20030428.0,지역난방,아파트,종합계약,20,125,1561
53,A14003101,1117012900,192.0,19770112.0,지역난방,아파트,종합계약,8,192,0
54,A14003001,1117012900,243.0,19951223.0,지역난방,아파트,종합계약,5,84,173
55,A14003105,1117012900,834.0,20000331.0,지역난방,아파트,단일계약,19,112,1050
56,A14003106,1117012900,1001.0,19980108.0,지역난방,아파트,단일계약,23,250,816
57,A14072901,1117012900,340.0,20010807.0,지역난방,아파트,종합계약,8,69,137
58,A14077401,1117012900,144.0,19740708.0,중앙난방,아파트,,,,
59,A10027908,1117012900,460.0,20150730.0,지역난방,아파트,종합계약,11,0,1249
60,A14072702,1117012900,834.0,19991101.0,지역난방,아파트,단일계약,19,131,703
61,A10023360,1117012900,70.0,19740404.0,중앙난방,아파트,,0,,
62,A14086001,1117013000,578.0,19820918.0,중앙난방,아파트,단일계약,20,395,0
63,A14086101,1117013000,400.0,19941231.0,중앙난방,아파트,종합계약,,258,272
64,A10027425,1117013000,130.0,19930424.0,개별난방,아파트,,,,
