,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,테헤란 IPARK,A13508012,1168010100,411,20140124,지역난방,아파트
1,역삼개나리푸르지오,A13579501,1168010100,332,20060814,지역난방,아파트
2,역삼푸르지오,A13592604,1168010100,738,20060102,지역난방,아파트
3,역삼아이파크,A13508009,1168010100,541,20060928,지역난방,아파트
4,역삼동부센트레빌,A13508004,1168010100,206,19980421,중앙난방,아파트
5,한화진넥스빌,A13579504,1168010100,294,20010130,개별난방,주상복합
6,대우디오빌플러스,A13508003,1168010100,168,20040525,개별난방,아파트
7,역삼쌍용플래티넘밸류,A13508010,1168010100,166,20070119,개별난방,주상복합
8,역삼경남,A13508002,1168010100,164,20020501,개별난방,주상복합
9,개나리SKVIEW,A13579506,1168010100,240,20120817,지역난방,아파트
10,역삼래미안펜타빌,A13508006,1168010100,288,20071130,지역난방,아파트
11,래미안그레이튼,A13508011,1168010100,464,20100604,지역난방,아파트
12,역삼개나리래미안,A13592601,1168010100,438,20060831,지역난방,아파트
13,대우디오빌역삼,A13592002,1168010100,457,20020625,지역난방,주상복합
14,역삼래미안,A13592706,1168010100,1050,20051026,지역난방,아파트
15,래미안그레이튼3차,A13579505,1168010100,476,20091228,지역난방,아파트
16,역삼휴먼터치빌,A13508001,1168010100,160,19990619,개별난방,주상복합
17,역삼한스빌아파트,A13508005,1168010100,216,19961126,개별난방,아파트
18,역삼2차아이파크,A13579503,1168010100,150,20081202,개별난방,아파트
19,역삼SK허브젠,A13508013,1168010100,56,,,
20,역삼e-편한세상,A13592605,1168010100,840,20051216,지역난방,아파트
21,역삼금호어울림,A13591402,1168010100,183,20031202,개별난방,아파트
22,역삼자이아파트,A10027474,1168010100,408,20160622,지역난방,아파트
23,강남센트럴아이파크,A10023825,1168010100,499,20220428,지역난방,아파트
24,현대까르띠에710아파트,A10024820,1168010100,137,20011109,개별난방,아파트
25,롯데캐슬노블,A10024813,1168010100,117,20070226,개별난방,아파트
