,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,봉천신봉,A15106001,1162010100,277,19990511,개별난방,아파트
1,관악동부센트레빌,A15192201,1162010100,487,20040528,개별난방,아파트
2,낙성대현대,A15181602,1162010100,251,19880311,개별난방,아파트
3,봉천두산3단지,A15178203,1162010100,560,20001228,개별난방,아파트
4,관악푸르지오아파트,A15105302,1162010100,2104,20040826,개별난방,아파트
5,봉천은천2단지,A15106103,1162010100,384,20000918,개별난방,아파트
6,관악벽산블루밍,A15178201,1162010100,2105,20050630,개별난방,아파트
7,봉천벽산블루밍3차,A15178202,1162010100,281,20041220,개별난방,아파트
8,관악드림타운,A15180705,1162010100,3544,20030906,개별난방,아파트
9,성현동아,A15176202,1162010100,1261,20000509,개별난방,아파트
10,봉천은천1단지,A15106101,1162010100,180,20010625,개별난방,아파트
11,관악푸르지오제2단지,A15105301,1162010100,392,20040826,개별난방,아파트
12,서울대입구아이원 (1560-61),A15184101,1162010100,374,20061130,개별난방,아파트
13,봉천벽산타운2차,A15180701,1162010100,203,20030612,개별난방,아파트
14,관악현대,A15105303,1162010100,2134,19920427,개별난방,아파트
15,봉천인헌아파트,A15105002,1162010100,216,19981022,개별난방,아파트
16,서울대입구삼성아파트,A15105005,1162010100,254,19991028,개별난방,아파트
17,봉천우성제2,A15105602,1162010100,717,20001213,개별난방,아파트
18,보라매삼성,A15105004,1162010100,710,19960425,개별난방,아파트
19,봉천동아제2,A15192202,1162010100,836,20000509,개별난방,아파트
20,"봉천두산1,2단지",A15106901,1162010100,2001,20001228,개별난방,아파트
21,관악드림타운제2,A15105503,1162010100,1843,20030906,개별난방,아파트
22,봉천갑을,A15176603,1162010100,95,,,
23,낙성대현대홈타운,A15105006,1162010100,297,20020225,개별난방,아파트
24,봉천건영6차아파트,A15176602,1162010100,184,19990517,개별난방,아파트
25,관악파크푸르지오,A15105008,1162010100,363,20140919,개별난방,아파트
26,관악우성아파트,A15105603,1162010100,1597,20001213,중앙난방,아파트
27,관악벽산블루밍임대,A15178204,1162010100,799,20050705,개별난방,아파트
28,부미아띠랑스힐,A15105007,1162010100,53,,,
29,e편한세상서울대입구1단지아파트,A10025423,1162010100,711,20190625,개별난방,아파트
30,프라비다2,A10026710,1162010100,208,20130227,개별난방,아파트
31,e편한세상서울대입구 3단지,A10025428,1162010100,206,20190625,개별난방,아파트
32,e편한세상서울대입구아파트,A10025092,1162010100,1276,20190625,개별난방,아파트
33,이편한세상 서울대입구2단지,A10025422,1162010100,565,20190625,개별난방,아파트
34,관악월드메르디앙아파트,A10024638,1162010100,118,20051202,개별난방,아파트
35,서희스타힐스,A10024666,1162010100,142,20150910,개별난방,
