,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,신도림4차e-편한세상,A15288812,1153010100,853,20030517,개별난방,아파트
1,"신도림우성1,2차",A15288806,1153010100,408,19921204,개별난방,아파트
2,신도림대림3차,A15288802,1153010100,204,20010920,개별난방,아파트
3,신도림대림5차e-편한세상,A15288805,1153010100,362,20030816,개별난방,아파트
4,신도림동아1차,A15288813,1153010100,1095,19991130,개별난방,아파트
5,신도림우성5차,A15288801,1153010100,154,19941215,개별난방,아파트
6,"신도림대림1,2차",A15288814,1153010100,2298,19991127,개별난방,아파트
7,신도림동아2차,A15288809,1153010100,655,20000517,개별난방,아파트
8,신도림현대,A15288803,1153010100,260,19990413,개별난방,아파트
9,신도림우성3차,A15288804,1153010100,284,19931213,개별난방,아파트
10,신도림대림7차e-편한세상,A15288807,1153010100,411,20040616,개별난방,아파트
11,신도림동아3차,A15288810,1153010100,813,20001114,개별난방,아파트
12,신도림디큐브시티,A15277302,1153010100,524,20110718,지역난방,주상복합
13,신도림미성,A15288611,1153010100,824,19871211,중앙난방,아파트
14,신도림아이파크아파트,A10028063,1153010100,189,20150206,개별난방,아파트
15,SK VIEW,A15288808,1153010100,304,20060424,개별난방,주상복합
16,구로현대,A15288004,1153010200,591,19920518,개별난방,아파트
17,중앙구로하이츠,A15286806,1153010200,579,19871117,중앙난방,아파트
18,구로새솔금호,A15284305,1153010200,272,19960701,개별난방,아파트
19,구로두산위브,A15205305,1153010200,660,20060728,개별난방,아파트
20,구로이화우성,A15288002,1153010200,497,19980715,개별난방,아파트
21,구로우성,A15283809,1153010200,344,19850628,개별난방,아파트
22,구일우성아파트,A15205108,1153010200,829,19980516,개별난방,아파트
23,구로주공,A15286809,1153010200,2126,19860630,중앙난방,아파트
24,신구로현대,A15283902,1153010200,397,19880617,개별난방,아파트
25,구로우성(1동),A15205103,1153010200,296,19951116,개별난방,아파트
26,구로삼성래미안,A15284906,1153010200,1244,20040529,개별난방,아파트
27,구로두산제2,A15205002,1153010200,442,19981130,개별난방,아파트
28,구로다솜금호,A15283806,1153010200,285,19951116,개별난방,아파트
29,구로한일유엔아이,A15205104,1153010200,454,20060627,개별난방,아파트
30,신도림현대,A15286210,1153010200,450,19940121,개별난방,아파트
31,신구로자이,A15205508,1153010200,299,20070511,개별난방,주상복합
32,LG신도림자이,A15283807,1153010200,299,20040207,개별난방,아파트
33,구로한신휴플러스,A15205303,1153010200,498,20070517,개별난방,아파트
34,구로보광,A15285503,1153010200,340,19840629,개별난방,아파트
35,구로현대연예인,A15286807,1153010200,735,19890828,중앙난방,아파트
36,구로현대상선,A15286802,1153010200,290,19871029,개별난방,아파트
37,구로2차순영웰라이빌,A15284101,1153010200,166,20050615,개별난방,주상복합
38,구로극동,A15285004,1153010200,493,19841208,개별난방,아파트
