,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,가산두산위브,A15380403,1154510100,1495,19980309,개별난방,아파트
1,가산삼익아파트,A15380101,1154510100,210,19980721,개별난방,아파트
2,가산지웰에스테이트2차,A10025913,1154510100,238,20180829,개별난방,주상복합
3,어바니엘가산,A10023956,1154510100,299,20171201,개별난방,아파트
4,LH서울금천 행복주택아파트,A10023288,1154510100,282,20230316,개별난방,
5,독산신도브래뉴,A15382301,1154510200,341,20021024,개별난방,아파트
6,독산진도2차,A15383601,1154510200,154,19971017,개별난방,아파트
7,독산계룡,A15381402,1154510200,154,19980924,개별난방,아파트
8,독산동중앙하이츠빌아파트,A15301105,1154510200,554,20041027,개별난방,아파트
9,독산주공13단지,A15383308,1154510200,1226,19901114,지역난방,아파트
10,금천이랜드해가든,A15375810,1154510200,187,20080421,개별난방,아파트
11,독산동한양수자인아파트,A15370301,1154510200,246,20110930,개별난방,아파트
12,독산주공14단지,A15375809,1154510200,840,19901114,중앙난방,아파트
13,금천현대,A15381706,1154510200,996,20020905,개별난방,아파트
14,독산진도3차,A15383604,1154510200,245,19991217,개별난방,아파트
15,독산현대,A15381303,1154510200,214,19990820,개별난방,아파트
16,독산한신,A15383307,1154510200,1000,19910820,지역난방,아파트
17,금천롯데캐슬골드파크1차아파트,A10027188,1154510200,1743,20161130,개별난방,아파트
18,독산라이프아파트,A10026024,1154510200,109,19960313,개별난방,아파트
19,금천롯데캐슬골드파크2차,A10026626,1154510200,292,20170928,개별난방,주상복합
20,금천롯데캐슬골드파크3차아파트,A10025946,1154510200,1236,20181030,개별난방,아파트
21,e편한세상독산더타워아파트,A10025116,1154510200,432,20191128,개별난방,아파트
22,진도1차,A15301001,1154510200,98,19960625,개별난방,
23,독산동태영아파트,A10024179,1154510200,90,20010427,개별난방,
24,독산역 롯데캐슬아파트 ,A10024302,1154510200,927,20210429,개별난방+기타,아파트
25,시흥삼익,A15383702,1154510300,786,19990920,개별난방,아파트
26,남서울럭키아파트,A15386506,1154510300,986,19811223,개별난방,아파트
27,시흥벽산1단지,A15303002,1154510300,1772,20000216,개별난방,아파트
28,남서울건영아파트,A15386404,1154510300,260,19821207,개별난방,아파트
29,벽산타운3단지,A15384501,1154510300,270,19981028,개별난방,아파트
30,시흥금강,A15303401,1154510300,185,20000907,개별난방,아파트
31,관악우방,A15303203,1154510300,671,20021230,개별난방,아파트
32,시흥성지,A15303103,1154510300,233,19860813,개별난방,아파트
33,관악벽산2단지,A15303202,1154510300,564,20000216,개별난방,아파트
34,시흥월드메르디앙,A15378501,1154510300,202,20060103,개별난방,아파트
35,남서울 무지개 ,A15383905,1154510300,639,19801224,중앙난방,아파트
36,남서울힐스테이트,A15370103,1154510300,1764,20140814,개별난방,아파트
37,현대공무원,A15384101,1154510300,197,19960624,개별난방,아파트
38,관악벽산타운5단지,A15303205,1154510300,2810,20040806,개별난방,아파트
39,관악산신도브래뉴,A15303502,1154510300,206,20061128,개별난방,아파트
40,시흥현대빌라,A15386303,1154510300,330,19890525,개별난방,연립주택
41,남서울건영2차,A15384603,1154510300,619,19891021,개별난방,아파트
42,벽산6,A15303204,1154510300,1288,20040806,개별난방,아파트
43,시흥목련,A15303003,1154510300,173,19960914,개별난방,아파트
44,시흥베르빌,A15303102,1154510300,229,20040525,개별난방,아파트
45,백운한비치1차아파트,A10026187,1154510300,114,20030927,개별난방,아파트
46,경남아파트,A10025447,1154510300,123,19981219,개별난방,아파트
47,백운한비치2차,A10026792,1154510300,112,20080115,개별난방,아파트
