,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,충정리시온,A12070201,1141010200,258,20040923,개별난방,주상복합
1,더스타일하우스디센트럴,A10024966,1141010200,499,20200117,개별난방,주상복합
2,충정로 skview 아파트,A12003001,1141010300,180,20081031,개별난방,아파트
3,냉천동부센트레빌,A12005001,1141010500,237,20020321,개별난방,아파트
4,돈의문센트레빌,A12070101,1141010500,561,20110407,개별난방,아파트
5,서대문천연뜨란채아파트,A12004001,1141010600,1008,20060313,개별난방,아파트
6,독립문삼호,A12007001,1141010800,895,19950623,개별난방,아파트
7,독립문파크빌,A12008001,1141010900,290,20001213,개별난방,아파트
8,독립문극동,A12008003,1141010900,1300,19981210,개별난방,아파트
9,독립문극동임대,A12079601,1141010900,600,19981210,개별난방,아파트
10,북아현두산,A12079501,1141011000,956,19990303,개별난방,아파트
11,신촌푸르지오 아파트,A10027851,1141011000,940,20151023,개별난방,아파트
12,e편한세상신촌아파트,A10026370,1141011000,1910,20180503,개별난방,아파트
13,힐스테이트신촌,A10024719,1141011000,1226,20200804,개별난방,아파트
14,홍제현대그린,A12009303,1141011100,240,19960722,개별난방,아파트
15,홍제삼성래미안,A12009202,1141011100,474,20010613,개별난방,아파트
16,홍제유원하나제2,A12009001,1141011100,150,19960807,개별난방,아파트
17,홍제원 현대,A12078704,1141011100,939,20000614,개별난방,아파트
18,홍제원현대임대,A12078707,1141011100,482,20000614,개별난방,아파트
19,홍제성원아파트,A12009201,1141011100,242,19980511,개별난방,아파트
20,홍제유원하나,A12009304,1141011100,554,19960807,개별난방,아파트
21,문화촌현대,A12009305,1141011100,768,20021122,개별난방,아파트
22,홍제현대아파트,A12009102,1141011100,704,19920708,개별난방,아파트
23,홍제태영으뜸,A12086001,1141011100,214,19980731,개별난방,아파트
24,홍제남양,A12009101,1141011100,192,19990930,개별난방,아파트
25,홍제청구3차,A12078706,1141011100,228,20010530,개별난방,아파트
26,홍제한양,A12085303,1141011100,998,19930504,개별난방,아파트
27,인왕산벽산아파트,A12009302,1141011100,236,20030620,개별난방,아파트
28,홍제무악청구1차,A12009203,1141011100,862,19940630,개별난방,아파트
29,홍제인왕산현대,A12078705,1141011100,700,20000705,개별난방,아파트
30,인왕산현대,A12078201,1141011100,246,20000705,개별난방,아파트
31,홍제센트럴아이파크,A10025767,1141011100,906,20181231,개별난방,아파트
32,홍제금호어울림아파트,A10027681,1141011100,296,20160203,개별난방,아파트
33,인왕산한신휴플러스,A12009002,1141011100,115,20091209,개별난방,주상복합
34,홍제역 해링턴플레이스아파트,A10023959,1141011100,1116,20211230,개별난방,아파트
35,서대문푸르지오센트럴파크,A10023560,1141011100,832,20221028,개별난방,아파트
36,인왕산어울림 아파트,A10024620,1141011100,123,20060704,개별난방,
37,무악재한화,A10023330,1141011100,139,20010519,개별난방,아파트
38,홍제비콘드림힐,A12076401,1141011100,119,20060526,개별난방,아파트
39,신촌럭키,A12017001,1141011200,855,19990226,개별난방,아파트
40,연희성원,A12071101,1141011700,581,20010531,개별난방,아파트
41,연희자이엘라,A12071104,1141011700,186,20140129,개별난방+기타,도시형 생활주택(주상복합)
42,연희대림아파트,A12071103,1141011700,220,19930903,개별난방,아파트
43,연희대우,A12011002,1141011700,562,20020730,개별난방,아파트
44,연희임광아파트,A12071102,1141011700,212,19990224,개별난방,아파트
45,연희파크푸르지오 아파트 ,A10025822,1141011700,396,20181221,개별난방,아파트
46,홍은풍림2차,A12010103,1141011800,390,19901219,개별난방+기타,아파트
47,홍은두산,A12071001,1141011800,294,19971013,개별난방,아파트
48,홍은벽산,A12010104,1141011800,1509,19970930,개별난방,아파트
