,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,잠실동트리지움,A13822002,1171010100,3696,20070824,지역난방,아파트
1,잠실엘스아파트 ,A13822004,1171010100,5678,20080930,지역난방,아파트
2,잠실현대,A13886701,1171010100,336,19900817,지역난방,아파트
3,잠실5단지아파트,A13879102,1171010100,3930,19780415,지역난방,아파트
4,잠실우성4차,A13822902,1171010100,555,19830831,지역난방,아파트
5,"잠실우성1,2,3차",A13822702,1171010100,1842,19811208,지역난방,아파트
6,잠실리센츠,A13822003,1171010100,5563,20080731,지역난방,아파트
7,갤러리아팰리스,A13822301,1171010100,741,20050111,지역난방,주상복합
8,잠실아시아선수촌,A13822701,1171010100,1356,19860614,지역난방,아파트
9,잠실레이크팰리스,A13822001,1171010100,2678,20061228,지역난방,아파트
10,월드메르디앙주상복합아파트,A10027523,1171010100,96,20050829,개별난방,주상복합
11,잠실엘타워,A10023599,1171010100,298,20221013,개별난방,아파트
12,잠실푸르지오월드마크,A13872503,1171010200,288,20130619,지역난방,주상복합
13,잠실더샵스타파크,A13824002,1171010200,213,20080912,개별난방,주상복합
14,롯데캐슬골드,A13872502,1171010200,400,20051122,중앙난방,주상복합
15,신천장미1차2차,A13824005,1171010200,3402,19790124,지역난방,아파트
16,잠실파크리오,A13824006,1171010200,6864,20080829,지역난방,아파트
17,포스코더샵스타리버,A13824001,1171010200,189,20060929,개별난방,주상복합
18,한신코아,A13824003,1171010200,493,19881230,중앙난방,아파트
19,장미3차,A13872504,1171010200,120,19840817,개별난방,아파트
20,풍납한강극동,A13804206,1171010300,895,19950731,개별난방,아파트
21,풍납동아한가람,A13887302,1171010300,782,19950613,개별난방,아파트
22,풍납신성노바빌,A13887301,1171010300,236,20000930,지역난방,아파트
23,풍납 현대리버빌1차,A13887405,1171010300,557,19991115,지역난방,아파트
24,풍납쌍용,A13804002,1171010300,417,19940727,개별난방,아파트
25,풍납시티극동,A13804003,1171010300,442,19980527,개별난방,아파트
26,풍납미성,A13887702,1171010300,275,19850617,지역난방,아파트
27,현대리버빌2차아파트,A13887403,1171010300,384,19991130,지역난방,아파트
28,풍납극동,A13804001,1171010300,415,19871215,지역난방,아파트
29,풍납현대,A13804004,1171010300,708,19951114,지역난방,아파트
30,송파현대힐스테이트,A13887901,1171010300,166,20060224,개별난방,아파트
31,풍납대아아파트,A10025467,1171010300,140,19980312,개별난방,아파트
32,강변현대아파트 ,A10026804,1171010300,104,19911018,지역난방,아파트
33,송파해모로아파트,A10025632,1171010300,114,20060629,개별난방,
34,잠실올림픽공원아이파크,A10025185,1171010300,697,20191114,지역난방,아파트
35,(풍납)대동아파트,A10024379,1171010300,93,19990112,개별난방,
36,풍납 갑을아파트,A10024358,1171010300,85,19960722,개별난방,
37,가락삼익맨숀,A13885306,1171010400,936,19841220,지역난방,아파트
38,래미안송파파인탑,A13817001,1171010400,794,20120106,지역난방,아파트
39,송파삼성래미안,A13877501,1171010400,845,20011221,지역난방,아파트
40,송파한양2차,A13885304,1171010400,744,19841023,지역난방,아파트
41,송파현대1차,A13885301,1171010400,243,19970516,개별난방,아파트
42,한양아파트,A13885102,1171010400,576,19831221,지역난방,아파트
43,송파미성,A13885303,1171010400,378,19850112,지역난방,아파트
44,송파호수임광,A13817101,1171010400,227,19951017,개별난방,아파트
45,송파SK아파트,A10028083,1171010400,71,20011120,지역난방,아파트
46,잠실아르누보팰리스,A10025460,1171010400,53,20071126,개별난방,아파트
47,송파kcc아파트,A10023610,1171010400,106,20030828,개별난방,
48,잠실한솔,A13819001,1171010500,393,20001010,개별난방,아파트
49,석촌호수 효성해링턴타워,A10027881,1171010500,257,20150826,개별난방,도시형 생활주택(주상복합)
50,가락쌍용1차,A13880806,1171010700,2064,19970320,중앙난방,아파트
51,가락금호,A13880407,1171010700,915,19970811,지역난방,아파트
52,삼환가락,A13881103,1171010700,648,19841128,지역난방,아파트
53,가락미륭아파트,A13880701,1171010700,435,19861107,지역난방,아파트
