,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,영등포두산위브,A15003001,1156010100,271,20041015,개별난방,아파트
1,영등포푸르지오,A15003002,1156010100,2462,20020531,개별난방,아파트
2,순영웰라이빌아파트,A10026311,1156010100,136,20020718,개별난방,아파트
3,여의도더리브스타일 ,A10024490,1156010200,185,20200723,개별난방,도시형 생활주택(주상복합)
4,현대프라자주상복합아파트,A10025518,1156010600,115,19991227,개별난방,
5,영등포경남아너스빌,A15003701,1156010800,600,19981130,개별난방,아파트
6,아크로타워스퀘어,A10026816,1156010800,1221,20170830,개별난방,아파트
7,브라운스톤 영등포,A10026801,1156010800,118,20040318,개별난방,아파트
8,포레나영등포센트럴아파트,A10024567,1156010800,185,20201026,개별난방,주상복합
9,영등포삼환,A15003801,1156010900,520,19990531,개별난방,아파트
10,당산푸르지오,A15003802,1156010900,538,20040823,개별난방,아파트
11,여의도진주,A15089513,1156011000,376,19770603,지역난방,아파트
12,여의대우트럼프월드2차,A15089307,1156011000,218,20030701,지역난방,주상복합
13,여의도자이,A15076302,1156011000,580,20080429,지역난방,아파트
14,여의도시범아파트,A15089421,1156011000,1584,19711221,지역난방,아파트
15,여의도삼부,A15001020,1156011000,866,19751222,지역난방,아파트
16,여의도미성,A15088717,1156011000,577,19780524,지역난방,아파트
17,여의도장미,A15001004,1156011000,196,19780606,지역난방,아파트
18,여의도대교,A15001016,1156011000,576,19750929,지역난방,아파트
19,여의도수정,A15001009,1156011000,329,19760703,지역난방,아파트
20,여의도은하,A15089510,1156011000,360,19741219,지역난방,아파트
21,여의도삼익,A15089411,1156011000,360,19741019,지역난방,아파트
22,롯데캐슬엠파이어,A15088614,1156011000,406,20050502,지역난방,주상복합
23,여의도금호리첸시아,A15001005,1156011000,248,20031126,지역난방,주상복합
24,서울아파트관리사무소,A15001003,1156011000,192,19760918,지역난방,아파트
25,여의도목화,A15088208,1156011000,312,19771018,지역난방,아파트
26,여의도한양,A15088918,1156011000,588,19751105,지역난방,아파트
27,여의도대우트럼프월드,A15076301,1156011000,282,20021030,지역난방,주상복합
28,여의도공작,A15001012,1156011000,373,19760806,지역난방,아파트
29,여의도광장,A15001019,1156011000,744,19780729,지역난방,아파트
30,여의도초원,A15001001,1156011000,153,19710827,지역난방,아파트
31,롯데캐슬아이비,A15088915,1156011000,445,20051230,지역난방,주상복합
32,여의도화랑,A15088802,1156011000,160,19771216,지역난방,아파트
