,Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type
0,이편한세상 수색 에코포레,A12287204,1138010100,976,20030710,개별난방,아파트
1,수색대림한숲타운제2,A12287203,1138010100,464,20030710,개별난방,아파트
2,DMC진흥아파트,A12287202,1138010100,280,20030725,개별난방,아파트
3,DMC자이1단지,A12275501,1138010100,209,20090924,개별난방,주상복합
4,DMC청구,A12209001,1138010100,196,20000316,개별난방,아파트
5,DMC롯데캐슬더퍼스트,A10024828,1138010100,1192,20211209,개별난방,아파트
6,DMC SK뷰 1단지 아파트,A10024086,1138010100,644,20211029,개별난방,아파트
7,녹번대림,A12283603,1138010200,370,19930928,개별난방,아파트
8,녹번JR아파트,A12283602,1138010200,341,20020930,개별난방,아파트
9,녹번현대2차,A12283601,1138010200,192,20010524,개별난방,아파트
10,북한산 푸르지오 아파트,A10027816,1138010200,1230,20150722,개별난방,아파트
11,힐스테이트녹번,A10025836,1138010200,952,20181010,개별난방,아파트
12,래미안베라힐즈아파트,A10025846,1138010200,1305,20181227,개별난방,아파트
13,해주드림빌아파트,A10024774,1138010200,111,20011104,개별난방,아파트
14,불광대호2차,A12284701,1138010300,198,20000902,개별난방,아파트
15,불광미성,A12285703,1138010300,1340,19881013,중앙난방,아파트
16,북한산대창센시티,A12204002,1138010300,256,20040630,개별난방,아파트
17,북한산힐스테이트3차,A12204004,1138010300,1185,20100825,개별난방,아파트
18,불광롯데캐슬,A12204006,1138010300,488,20130926,개별난방,아파트
19,북한산수자인,A12204001,1138010300,155,20060901,개별난방,아파트
20,북한산힐스테이트1차,A12204003,1138010300,603,20090716,개별난방,아파트
21,북한산현대홈타운,A12204102,1138010300,662,20040529,개별난방,아파트
22,북한산래미안,A12275201,1138010300,647,20100830,개별난방,아파트
23,북한산힐스테이트7차,A12275202,1138010300,882,20110729,개별난방,아파트
24,북한산힐스테이트7차제2 (임대),A10028056,1138010300,188,20110729,개별난방,아파트
25,북한산래미안아파트(임대),A12204005,1138010300,135,20100830,개별난방,아파트
26,불광삼익아파트,A10026061,1138010300,103,19920328,개별난방,아파트
27,불광에스에이치빌,A10027568,1138010300,100,20050904,개별난방,아파트
28,북한산힐스테이트3차 3207동(임대동)아파트,A10027569,1138010300,147,20100825,개별난방,아파트
29,셀립은평,A10024026,1138010300,201,20210430,개별난방,아파트
30,불광롯데캐슬4차아파트,A10024198,1138010300,100,20181129,개별난방,아파트
31,갈현한솔아파트,A12281801,1138010400,193,19971209,개별난방,아파트
32,갈현베르빌주상복합아파트,A12271402,1138010400,175,20040630,개별난방,주상복합
33,갈현현대1차,A12281702,1138010400,278,19970508,개별난방,아파트
34,갈현미미,A12205001,1138010400,200,19970507,개별난방,아파트
35,코오롱하늘채아파트,A12281701,1138010400,191,20030923,개별난방,아파트
36,현재트윈빌아파트,A10024128,1138010400,110,20000421,개별난방,아파트
37,경향파크아파트,A12282201,1138010500,171,19891110,개별난방,아파트
38,구산경남아너스빌,A12282203,1138010500,475,20040813,개별난방,아파트
39,브라운스톤구산,A12282102,1138010500,189,20060327,개별난방,아파트
40,갈현현대아파트,A12205004,1138010500,366,19981128,개별난방,아파트
41,갈현1단지e-편한세상,A12205003,1138010500,327,20041011,개별난방,아파트
42,구산그린빌,A12276901,1138010500,203,20090211,개별난방,아파트
43,구산주택,A10023734,1138010500,238,20220518,개별난방,아파트
44,대조삼성타운,A12284501,1138010600,357,19971104,개별난방,아파트
45,호반베르디움 스테이원,A10023467,1138010600,977,20221221,개별난방,아파트
46,응암신동아,A12201101,1138010700,206,19900922,개별난방,아파트
47,응암푸르지오,A12201103,1138010700,361,20080717,개별난방,아파트
48,대주피오레아파트,A12201001,1138010700,204,20031128,개별난방,아파트
49,응암금호,A12201102,1138010700,299,19980703,개별난방,아파트
50,응암경남,A12201301,1138010700,160,19951222,개별난방,아파트
51,응암우성,A12293002,1138010700,292,19880701,개별난방,아파트
52,백련산힐스테이트2차,A12201002,1138010700,893,20111222,개별난방,아파트
53,백련산힐스테이트3차,A12290901,1138010700,748,20111222,개별난방,아파트
54,백련산힐스테이트1차,A12201003,1138010700,1028,20111222,개별난방,아파트
55,녹번역센트레빌,A12201005,1138010700,350,20130926,개별난방,아파트
56,백련산힐스테이트임대,A12201004,1138010700,552,20111222,개별난방,아파트
57,백련산 sk뷰 아이파크,A10025310,1138010700,1305,20200521,개별난방,아파트
58,백련산파크자이아파트,A10025683,1138010700,678,20210412,개별난방,아파트
59,서강스카이빌1차아파트,A10027551,1138010700,95,20011101,개별난방,아파트
60,애필리움아파트,A10027547,1138010700,78,20070720,개별난방,주상복합
61,힐스테이트 백련산4차 아파트,A10026834,1138010700,963,20180219,개별난방,아파트
62,응암SH빌아파트,A10025018,1138010700,136,20080717,개별난방,아파트
63,백련산 해모로 아파트,A10024947,1138010700,760,20200618,개별난방,아파트
64,E편한세상백련산아파트,A10023994,1138010700,358,20220714,개별난방,아파트
65,녹번역e편한세상캐슬,A10024831,1138010700,2569,20210527,개별난방+기타,아파트
66,힐스테이트녹번역아파트,A10024313,1138010700,879,20210429,개별난방,아파트
67,역촌센트레빌,A12289501,1138010800,400,20110104,개별난방,아파트
68,아그네스풍림아이원,A10023728,1138010800,64,20090930,개별난방,
69,뉴신사신성,A12289401,1138010900,167,19931129,개별난방,아파트
70,신사두산위브,A12208001,1138010900,178,20061130,개별난방,아파트
71,신사신성,A12208203,1138010900,238,19880630,개별난방,아파트
72,신사미성,A12208205,1138010900,570,19871127,개별난방,아파트
73,신사한신휴플러스,A12208103,1138010900,296,20031128,개별난방,아파트
74,새절역현대아파트,A12208204,1138010900,445,19970925,개별난방,아파트
75,신사이랜드타운,A12208002,1138010900,228,20040528,개별난방,아파트
76,신사씨티,A12208102,1138010900,290,19931119,개별난방,아파트
77,신사라이프씨티,A12208104,1138010900,298,19921218,개별난방,아파트
78,신성수정,A12289402,1138010900,180,19961219,개별난방,아파트
79,신사성원,A12208101,1138010900,150,20000411,개별난방,아파트
80,신사현대2차,A12208105,1138010900,380,19940423,개별난방,아파트
81,응암역효성해링턴플레이스,A10025659,1138010900,380,20180730,개별난방,아파트
82,DMC우방,A12294102,1138011000,429,20000320,개별난방,아파트
83,증산월드빌아파트,A10025969,1138011000,119,20020702,개별난방,
84,증산로13길44-5,A12275801,1138011000,119,,,
