kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13203302,1132010500,407,20020726.0,개별난방,아파트,단일계약,15.0,116.0,346.0
A13203303,1132010500,824,19861202.0,개별난방,아파트,단일계약,16.0,600.0,0.0
A13295201,1132010500,155,20061226.0,개별난방,아파트,단일계약,6.0,23.0,146.0
A13286107,1132010500,582,20020326.0,개별난방,아파트,단일계약,22.0,281.0,148.0
A13287801,1132010500,287,19950609.0,개별난방,아파트,단일계약,13.0,198.0,23.0
A13286203,1132010500,264,19880315.0,개별난방,아파트,종합계약,5.0,150.0,0.0
A13286109,1132010500,783,19901019.0,개별난방,아파트,단일계약,25.0,277.0,33.0
A13203403,1132010500,386,19911227.0,개별난방,아파트,단일계약,13.0,220.0,0.0
A13286110,1132010500,1635,19881130.0,개별난방,아파트,단일계약,26.0,514.0,0.0
A13287503,1132010500,495,19870522.0,개별난방,아파트,단일계약,12.0,370.0,0.0
A13203202,1132010500,236,19960718.0,개별난방,아파트,종합계약,7.0,96.0,100.0
A13286304,1132010500,1541,19881219.0,개별난방,아파트,단일계약,31.0,502.0,0.0
A13286106,1132010500,498,19891017.0,개별난방,아파트,단일계약,17.0,311.0,0.0
A13203408,1132010500,690,19900924.0,개별난방,아파트,단일계약,18.0,690.0,0.0
A13286904,1132010500,408,19930917.0,개별난방,아파트,종합계약,16.0,172.0,87.0
A13203002,1132010500,293,20140401.0,개별난방,아파트,단일계약,9.0,3.0,318.0
A13203102,1132010500,315,19960826.0,개별난방,아파트,기타,15.0,89.0,173.0
A13286105,1132010500,414,19910528.0,개별난방,아파트,단일계약,11.0,182.0,98.0
A13203001,1132010500,154,20050602.0,개별난방,아파트,단일계약,8.0,111.0,66.0
A13203401,1132010500,190,20040401.0,개별난방,아파트,단일계약,14.0,71.0,189.0
A13286002,1132010500,192,19931130.0,개별난방,아파트,단일계약,7.0,83.0,53.0
A10026175,1132010500,103,19961217.0,개별난방,아파트,종합계약,2.0,0.0,86.0
A10024827,1132010500,141,20070426.0,개별난방,아파트,,,,
A10023732,1132010500,253,20220513.0,개별난방,아파트,종합계약,4.0,0.0,112.0
A13202306,1132010600,336,19960402.0,개별난방,아파트,단일계약,7.0,103.0,130.0
A13285503,1132010600,212,20041215.0,개별난방,아파트,종합계약,9.0,61.0,180.0
A13282510,1132010600,558,19930916.0,개별난방,아파트,단일계약,19.0,189.0,236.0
A13276416,1132010600,658,19920715.0,개별난방,아파트,단일계약,25.0,120.0,275.0
A13202302,1132010600,167,19930917.0,개별난방,아파트,단일계약,7.0,65.0,82.0
A13285406,1132010600,603,20021019.0,개별난방,아파트,단일계약,14.0,176.0,848.0
A13283405,1132010600,318,19980601.0,개별난방,아파트,종합계약,11.0,27.0,207.0
A13202308,1132010600,476,19880719.0,개별난방,아파트,단일계약,10.0,260.0,0.0
A13276414,1132010600,210,19920926.0,개별난방,아파트,종합계약,9.0,190.0,30.0
A13202102,1132010600,258,19960612.0,개별난방,아파트,단일계약,20.0,75.0,157.0
A13276415,1132010600,978,19940620.0,개별난방,아파트,단일계약,41.0,401.0,146.0
A13285507,1132010600,361,19950527.0,개별난방,아파트,단일계약,9.0,122.0,164.0
A13202103,1132010600,288,20021019.0,개별난방,아파트,종합계약,8.0,71.0,267.0
A13202002,1132010600,1278,20011029.0,개별난방,아파트,단일계약,31.0,0.0,1948.0
A13285401,1132010600,174,20030430.0,개별난방,아파트,단일계약,4.0,82.0,123.0
A13202304,1132010600,220,19870629.0,개별난방,아파트,단일계약,2.0,80.0,30.0
A13272102,1132010600,258,20051121.0,개별난방,아파트,단일계약,8.0,57.0,323.0
A13283611,1132010600,660,19920926.0,개별난방,아파트,단일계약,22.0,398.0,185.0
A13276417,1132010600,489,19910902.0,개별난방,아파트,단일계약,12.0,310.0,0.0
A13202312,1132010600,3169,19861231.0,개별난방,아파트,단일계약,67.0,1603.0,171.0
A13285305,1132010600,347,19941213.0,개별난방,아파트,종합계약,10.0,117.0,197.0
A13285601,1132010600,153,19981002.0,개별난방,아파트,단일계약,3.0,48.0,148.0
A10026856,1132010600,104,19970821.0,개별난방,아파트,종합계약,4.0,2.0,113.0
A10026279,1132010600,105,20050614.0,개별난방,아파트,,,,
A10027555,1132010600,122,20020516.0,개별난방,아파트,종합계약,5.0,10.0,128.0
A10024822,1132010600,134,20161201.0,개별난방,아파트,종합계약,7.0,39.0,62.0
A13204506,1132010700,449,19961130.0,개별난방,아파트,단일계약,13.0,161.0,236.0
A13204502,1132010700,194,20070731.0,개별난방,아파트,단일계약,5.0,31.0,301.0
A13204501,1132010700,188,19990619.0,개별난방,아파트,단일계약,4.0,32.0,181.0
A13204505,1132010700,427,19880211.0,개별난방,아파트,단일계약,9.0,240.0,0.0
A13290404,1132010700,299,20040105.0,개별난방,아파트,단일계약,9.0,124.0,289.0
A13204503,1132010700,205,20000508.0,개별난방,아파트,단일계약,4.0,2.0,202.0
A13204402,1132010700,202,20030529.0,개별난방,아파트,단일계약,7.0,50.0,279.0
A13204510,1132010700,2061,20040730.0,개별난방,아파트,종합계약,50.0,222.0,2988.0
A13292002,1132010700,202,20020709.0,개별난방,아파트,단일계약,6.0,109.0,222.0
A13204409,1132010700,1981,19970324.0,지역난방,아파트,단일계약,36.0,978.0,1920.0
