kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A13007002,1123010200,435,20090205,개별난방,아파트,단일계약,11.0,13.0,426.0
A13070302,1123010200,210,20110428,개별난방,아파트,단일계약,2.0,0.0,215.0
A13007004,1123010200,772,19941014,개별난방,아파트,단일계약,15.0,270.0,178.0
A10028080,1123010200,311,20150313,개별난방,아파트,종합계약,16.0,0.0,337.0
A13070301,1123010200,844,20110428,개별난방,아파트,단일계약,24.0,0.0,1208.0
A13007001,1123010200,338,20090618,개별난방,아파트,종합계약,10.0,24.0,395.0
A10024042,1123010200,823,20211125,개별난방,아파트,종합계약,20.0,0.0,1112.0
A10023389,1123010200,220,20230130,개별난방+기타,아파트,종합계약,8.0,0.0,180.0
A13006001,1123010300,228,19770630,개별난방,아파트,단일계약,3.0,162.0,0.0
A13086101,1123010300,640,20030613,개별난방,아파트,단일계약,15.0,104.0,786.0
A13006101,1123010300,1070,20040511,개별난방,아파트,단일계약,21.0,283.0,1053.0
A13006003,1123010300,299,20050314,개별난방,아파트,단일계약,9.0,0.0,345.0
A13006002,1123010300,261,19991113,개별난방,아파트,단일계약,5.0,53.0,250.0
A13077201,1123010300,260,20040511,개별난방,아파트,단일계약,3.0,114.0,104.0
A13084802,1123010400,848,20000529,개별난방,아파트,단일계약,10.0,103.0,222.0
A13084803,1123010400,1234,19920311,개별난방,아파트,단일계약,30.0,642.0,247.0
A13071302,1123010400,2397,20141023,개별난방,아파트,종합계약,79.0,0.0,2901.0
A13002002,1123010400,719,20120726,개별난방,아파트,종합계약,28.0,0.0,987.0
A13084804,1123010400,1830,20000706,개별난방,아파트,단일계약,37.0,688.0,1254.0
A13085901,1123010400,360,19971222,개별난방+기타,아파트,단일계약,6.0,60.0,248.0
A13071301,1123010400,220,19971222,개별난방,아파트,단일계약,3.0,27.0,19.0
A13085902,1123010400,385,20051005,개별난방,아파트,단일계약,8.0,42.0,404.0
A13085301,1123010400,463,20000513,개별난방,아파트,단일계약,11.0,98.0,434.0
A10026180,1123010400,584,20180629,개별난방,아파트,단일계약,32.0,0.0,672.0
A13075402,1123010500,472,20110623,개별난방,아파트,단일계약,14.0,8.0,550.0
A13003406,1123010500,741,20011123,개별난방,아파트,단일계약,18.0,227.0,596.0
A13003404,1123010500,496,19970523,개별난방,아파트,단일계약,23.0,261.0,163.0
A13080801,1123010500,228,20030108,개별난방,아파트,단일계약,7.0,88.0,173.0
A13003202,1123010500,1110,20000318,개별난방,아파트,종합계약,50.0,244.0,966.0
A13003201,1123010500,739,20000802,개별난방,아파트,단일계약,17.0,237.0,521.0
A13075404,1123010500,492,20011123,개별난방,아파트,단일계약,5.0,27.0,89.0
A13080201,1123010500,319,20020429,개별난방,아파트,단일계약,7.0,100.0,285.0
A13080702,1123010500,225,19910619,개별난방,아파트,단일계약,4.0,150.0,0.0
A13075405,1123010500,310,20000802,개별난방,아파트,종합계약,4.0,40.0,82.0
A13075403,1123010500,432,20000318,개별난방,아파트,단일계약,5.0,57.0,110.0
A13003005,1123010500,725,20100812,개별난방,아파트,단일계약,18.0,0.0,877.0
A13003002,1123010500,499,19890725,개별난방,아파트,단일계약,6.0,244.0,85.0
A13003402,1123010500,231,20050427,개별난방,아파트,종합계약,7.0,65.0,198.0
A13003405,1123010500,600,19920103,개별난방,아파트,단일계약,11.0,204.0,0.0
A13003003,1123010500,516,20070426,개별난방,아파트,단일계약,32.0,124.0,473.0
A10026232,1123010500,1009,20190405,개별난방,아파트,단일계약,28.0,2.0,1196.0
A10025754,1123010500,802,20190122,개별난방,아파트,종합계약,22.0,9.0,878.0
A13003007,1123010500,2652,20141013,개별난방,아파트,단일계약,83.0,0.0,3190.0
A10026104,1123010500,764,20181130,개별난방,아파트,종합계약,18.0,7.0,903.0
A10027089,1123010500,269,20161222,개별난방,아파트,종합계약,2.0,0.0,84.0
A10026779,1123010500,146,20010928,개별난방,아파트,종합계약,4.0,0.0,168.0
A13010006,1123010600,2182,20031028,개별난방,아파트,단일계약,45.0,133.0,2786.0
A13010004,1123010600,859,20070804,개별난방,아파트,종합계약,20.0,0.0,981.0
A13084701,1123010600,300,19960611,개별난방,아파트,종합계약,10.0,89.0,200.0
A13010003,1123010600,456,19840630,중앙난방,아파트,종합계약,19.0,350.0,0.0
A13010005,1123010600,1786,20070628,개별난방,아파트,종합계약,39.0,217.0,1853.0
A13084101,1123010600,558,20030430,개별난방,아파트,단일계약,14.0,17.0,665.0
A13010001,1123010600,193,20051220,개별난방,아파트,단일계약,9.0,20.0,217.0
A10025227,1123010600,469,20191022,개별난방,아파트,단일계약,14.0,0.0,569.0
A10024892,1123010600,75,20070124,개별난방,아파트,,,,
A13086703,1123010700,610,19971216,개별난방,아파트,단일계약,7.0,35.0,129.0
A13086704,1123010700,960,19971216,개별난방,아파트,단일계약,23.0,317.0,881.0
A13086705,1123010700,1089,19780927,중앙난방,아파트,단일계약,20.0,798.0,0.0
