kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
A15605103,1159010100,1696,20010215.0,중앙난방,아파트,종합계약,34.0,374.0,1749.0
A15676701,1159010100,925,20010215.0,개별난방,아파트,단일계약,14.0,112.0,217.0
A15605002,1159010100,901,19971216.0,중앙난방,아파트,종합계약,21.0,327.0,591.0
A15605003,1159010100,299,20100826.0,개별난방,아파트,단일계약,10.0,0.0,333.0
A15603205,1159010100,824,19970912.0,중앙난방,아파트,단일계약,21.0,179.0,748.0
A15603401,1159010200,197,20021015.0,개별난방,아파트,단일계약,4.0,23.0,231.0
A15603002,1159010200,415,20071226.0,개별난방,아파트,단일계약,13.0,49.0,410.0
A15603008,1159010200,882,20130814.0,개별난방,아파트,단일계약,28.0,0.0,1185.0
A15603003,1159010200,552,19970912.0,개별난방,아파트,단일계약,8.0,20.0,113.0
A15683601,1159010200,279,19951204.0,개별난방,아파트,단일계약,5.0,50.0,241.0
A15603004,1159010200,953,20061103.0,개별난방,아파트,단일계약,10.0,86.0,689.0
A15603206,1159010200,1122,20070928.0,개별난방,아파트,단일계약,41.0,47.0,1591.0
A15603502,1159010200,431,20031030.0,개별난방,아파트,단일계약,17.0,33.0,455.0
A15603006,1159010200,1656,20041224.0,개별난방,아파트,종합계약,58.0,277.0,1995.0
A15671801,1159010200,190,20100315.0,개별난방,아파트,종합계약,8.0,5.0,250.0
A15683901,1159010200,389,20031120.0,개별난방,아파트,단일계약,15.0,124.0,328.0
A15678101,1159010200,194,20030616.0,개별난방,아파트,단일계약,6.0,11.0,195.0
A15683402,1159010200,544,20031030.0,개별난방,아파트,종합계약,17.0,135.0,573.0
A15603204,1159010200,517,20041206.0,개별난방,아파트,단일계약,15.0,86.0,563.0
A15678103,1159010200,1559,20120925.0,개별난방,아파트,종합계약,57.0,9.0,1958.0
A15603001,1159010200,162,20081031.0,개별난방,아파트,단일계약,6.0,23.0,162.0
A15603203,1159010200,400,20040427.0,개별난방,아파트,단일계약,11.0,57.0,446.0
A15603009,1159010200,138,20140407.0,개별난방,아파트,,,,
A15603007,1159010200,164,20041206.0,개별난방,아파트,종합계약,2.0,10.0,110.0
A15678102,1159010200,682,19940225.0,중앙난방,아파트,단일계약,16.0,159.0,273.0
A10027472,1159010200,202,20160203.0,개별난방,아파트,단일계약,6.0,0.0,231.0
A10027633,1159010200,582,20160127.0,개별난방,아파트,단일계약,16.0,0.0,745.0
A10025768,1159010200,893,20181203.0,개별난방,아파트,종합계약,21.0,0.0,1156.0
A10027424,1159010200,471,20160826.0,개별난방,아파트,단일계약,13.0,0.0,549.0
A10024365,1159010200,950,20210218.0,개별난방,아파트,종합계약,31.0,0.0,1136.0
A15606006,1159010400,134,20040807.0,개별난방,아파트,단일계약,2.0,5.0,89.0
A15606002,1159010400,306,20000809.0,개별난방,아파트,단일계약,7.0,42.0,283.0
A15606007,1159010400,523,20111104.0,개별난방,아파트,종합계약,10.0,6.0,631.0
A15606001,1159010400,272,20041230.0,개별난방,아파트,단일계약,13.0,81.0,201.0
A15605102,1159010400,247,20040807.0,개별난방,아파트,종합계약,8.0,13.0,310.0
A15606004,1159010400,765,19930626.0,중앙난방,아파트,종합계약,16.0,357.0,135.0
A15676702,1159010400,176,20061103.0,개별난방,아파트,단일계약,2.0,5.0,120.0
A15606003,1159010400,477,20041021.0,개별난방,아파트,단일계약,14.0,14.0,567.0
A15606005,1159010400,161,19990430.0,개별난방,아파트,단일계약,4.0,16.0,148.0
A10026873,1159010400,123,19920309.0,개별난방,아파트,단일계약,5.0,20.0,37.0
A15679103,1159010500,206,20031226.0,개별난방,아파트,단일계약,6.0,56.0,167.0
A15679109,1159010500,963,20121224.0,개별난방,아파트,종합계약,34.0,0.0,1239.0
A15679104,1159010500,346,19971014.0,개별난방,아파트,단일계약,2.0,100.0,38.0
A15679108,1159010500,863,20120802.0,개별난방,아파트,종합계약,33.0,0.0,1155.0
A15607001,1159010500,423,20031104.0,개별난방,아파트,종합계약,13.0,108.0,324.0
A15679105,1159010500,660,19880829.0,중앙난방,아파트,종합계약,21.0,375.0,197.0
A15685702,1159010500,960,19880907.0,중앙난방,아파트,단일계약,26.0,626.0,128.0
A15679107,1159010500,655,20110916.0,개별난방,아파트,종합계약,20.0,0.0,807.0
A10025770,1159010500,1073,20191224.0,개별난방,아파트,종합계약,78.0,0.0,1338.0
A10025867,1159010500,545,20181129.0,개별난방,아파트,종합계약,20.0,0.0,700.0
A10023350,1159010500,1772,20230227.0,개별난방,아파트,종합계약,72.0,0.0,2269.0
